id,duplicate_hash,source_hash,source_identical_highres,resize_collision,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path,conflicting_task_labels
11346,cf8b03410be3a36b8b34ac44f4ad4359,9f15bb419c7c3f7ca5d5bec8e96f2966,True,False,Men,Apparel,Bottomwear,Jeans,Blue,Spring,2013,Casual,Lee Men Blue Zed Fit Jeans,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11346.jpg,True
11347,cf8b03410be3a36b8b34ac44f4ad4359,9f15bb419c7c3f7ca5d5bec8e96f2966,True,False,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2017,Casual,Lee Men Elvira Rinse Blue Chicago Fit Jeans,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11347.jpg,True
1165,db3ae1a3683beb8030aa14691a4dc214,3e76bf8784467e982eb4f66c14509c0c,True,False,Men,Apparel,Topwear,Tshirts,Blue,Summer,2013,Sports,Nike Mean Team India Cricket Jersey,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1165.jpg,True
5062,db3ae1a3683beb8030aa14691a4dc214,3e76bf8784467e982eb4f66c14509c0c,True,False,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Being Human Men Black Dial Steel Plated Strap Watch,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\5062.jpg,True
12345,228b9460815b5979f7213477f73d2206,2b155e08cafa99211294d10378c50193,True,False,Women,Apparel,Saree,Sarees,Maroon,Spring,2018,Ethnic,Xoxo Women Maroon Pure Georgette Solid Ready-to-wear Saree,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\12345.jpg,True
12346,228b9460815b5979f7213477f73d2206,2b155e08cafa99211294d10378c50193,True,False,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011,Formal,Reebok Women Grey Solid V-Neck T-shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\12346.jpg,True
13306,f601c0dbb8274aa561ad50cc432ca654,af532067d20b8456415d47955a66224e,True,False,Boys,Apparel,Bottomwear,Trousers,Black,Fall,2011,Casual,Gini and Jony Kids Solid Black Trousers,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\13306.jpg,True
13307,f601c0dbb8274aa561ad50cc432ca654,af532067d20b8456415d47955a66224e,True,False,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Casual,Gini and Jony Kids Solid Black Trousers,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\13307.jpg,True
18580,5ec8676a94f82f2bb47c827383bf8917,2a7bd8ff316a90021a51b2118113ef43,True,False,Men,Accessories,Socks,Socks,White,Summer,2010,Sports,Puma Men Sport Quarters Pack of 3 Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\18580.jpg,True
18592,5ec8676a94f82f2bb47c827383bf8917,2a7bd8ff316a90021a51b2118113ef43,True,False,Men,Accessories,Socks,Socks,White,Fall,2011,Sports,Puma Men Sport Quarters Pack of 3 Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\18592.jpg,True
