id,duplicate_hash,source_hash,source_identical_highres,resize_collision,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path,conflicting_task_labels
10184,cd7046212d4a30648be04ef3a0b226a8,26077e28823040ad49cbd8ead1b5d5f2,True,False,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Indigo Nation Men  White Stripe Shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10184.jpg,False
10185,cd7046212d4a30648be04ef3a0b226a8,26077e28823040ad49cbd8ead1b5d5f2,True,False,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Indigo Nation Men Price catch White Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10185.jpg,False
10186,db972ba055fccf0676484478f5386115,b172b7d5898778e61d8149d2a865b030,True,False,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Indigo Nation Men Black & Blue Stripe Shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10186.jpg,False
10187,db972ba055fccf0676484478f5386115,b172b7d5898778e61d8149d2a865b030,True,False,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Indigo Nation Men Hot Stepper Black Blue Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10187.jpg,False
10188,a31e8e91b4a2508bc2a3bd93049e7add,a69da802f15159839e795737792c1cf1,True,False,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Indigo Nation Men   Blue & White Stripe Shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10188.jpg,False
10189,a31e8e91b4a2508bc2a3bd93049e7add,a69da802f15159839e795737792c1cf1,True,False,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Indigo Nation Men Hot Stepper Blue Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10189.jpg,False
10200,e59fe3e9272331940622cfb1d528770b,307c0226b52e2df64c31bb23989b17bd,True,False,Women,Accessories,Bags,Handbags,Beige,Winter,2015,Casual,Murcia Women Emma Beige Handbags,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10200.jpg,False
10244,e59fe3e9272331940622cfb1d528770b,307c0226b52e2df64c31bb23989b17bd,True,False,Women,Accessories,Bags,Handbags,Beige,Winter,2015,Casual,Murcia Women Emma Beige Handbags,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10244.jpg,False
10641,a3b99e732fd890b410d08e28c40ae6a0,92b0af222feb65851dd22abae35a433a,True,False,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Doodle Boy D Print Red T-shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10641.jpg,False
10642,a3b99e732fd890b410d08e28c40ae6a0,92b0af222feb65851dd22abae35a433a,True,False,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Doodle Boy D Print Red Tshirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10642.jpg,False
10643,f34fba797e8864bfc3cb6e76e1cfb2ee,aa3a8f54933e5de52a0e277c42d50dc5,True,False,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Doodle Boy D Print Blue Tshirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10643.jpg,False
10644,f34fba797e8864bfc3cb6e76e1cfb2ee,aa3a8f54933e5de52a0e277c42d50dc5,True,False,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Doodle Boy D Print Blue Tshirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10644.jpg,False
10645,64967e7cce3dad45e3ff9b0a0f7c2f33,1199ba684c43328eacefacb11cd079d9,True,False,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Doodle Boy Athlethic Red Tshirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10645.jpg,False
10646,64967e7cce3dad45e3ff9b0a0f7c2f33,1199ba684c43328eacefacb11cd079d9,True,False,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Doodle Boy Athlethic Red Tshirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10646.jpg,False
10654,1963086fa35e5458ea7f7a285fa373f1,ed468f6ec3ab4bacd149f56c74eb2aa3,True,False,Women,Apparel,Bottomwear,Skirts,Blue,Fall,2011,Casual,Doodle Girl Denim skirt with belt Blue Skirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10654.jpg,False
10655,1963086fa35e5458ea7f7a285fa373f1,ed468f6ec3ab4bacd149f56c74eb2aa3,True,False,Women,Apparel,Bottomwear,Skirts,Blue,Fall,2011,Casual,Doodle Girl Denim skirt with belt Blue Skirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10655.jpg,False
10683,40757fb6adc418fe420319b295d91d0f,d0efc560e09df4fb106ed49056ede689,True,False,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Doodle Boy Athlethic Blue Tshirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10683.jpg,False
10684,40757fb6adc418fe420319b295d91d0f,d0efc560e09df4fb106ed49056ede689,True,False,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Doodle Boy Athlethic Blue Tshirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10684.jpg,False
11041,18889cbe34d58b3be57d41e5cd4f64f0,3b05dbae0ddf15f75e7e9eaa37b94c85,True,False,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual,Scullers Men Purple Check Shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11041.jpg,False
11042,18889cbe34d58b3be57d41e5cd4f64f0,3b05dbae0ddf15f75e7e9eaa37b94c85,True,False,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual,Scullers Men Check Purple Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11042.jpg,False
11043,16df676a6f1326b842f2ca7583e2a2c5,d31f23ada9235e44ec86d33adff6011a,True,False,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Scullers Men Check White Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11043.jpg,False
11044,16df676a6f1326b842f2ca7583e2a2c5,d31f23ada9235e44ec86d33adff6011a,True,False,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Scullers Men Check White Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11044.jpg,False
11045,4c874d26c449c31acb5c922d81b04435,6a5522be33ec087f07674e36133ee20c,True,False,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Scullers Men Check White Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11045.jpg,False
11046,4c874d26c449c31acb5c922d81b04435,6a5522be33ec087f07674e36133ee20c,True,False,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Scullers Men Check White Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11046.jpg,False
11047,dbdc3de78c107cc178f9f4260ff74f94,94d76bd920ee3f161ed0b6169fc7e30b,True,False,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Scullers Men Check Red Shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11047.jpg,False
11048,dbdc3de78c107cc178f9f4260ff74f94,94d76bd920ee3f161ed0b6169fc7e30b,True,False,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Scullers Men Check Red Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11048.jpg,False
11049,fe0a9c0816674edca69f36c151041792,a957bcc3ec68d6fcb8a9c9ffc30f06ea,True,False,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Scullers Men Check Red Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11049.jpg,False
11050,fe0a9c0816674edca69f36c151041792,a957bcc3ec68d6fcb8a9c9ffc30f06ea,True,False,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Scullers Men Check Red Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11050.jpg,False
11051,1c625c31da1fd9d5d655d6070f46ae07,d4f2d229f22438dbd2d7ca15d1a53cea,True,False,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Scullers Men Check White Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11051.jpg,False
11052,1c625c31da1fd9d5d655d6070f46ae07,d4f2d229f22438dbd2d7ca15d1a53cea,True,False,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Scullers Men Check White Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11052.jpg,False
11053,cb500aa40f97678ae712ea7a5e2b4fee,1b5c1d072242f4a7504031ff6b438ee8,True,False,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Scullers Men Check Blue Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11053.jpg,False
11054,cb500aa40f97678ae712ea7a5e2b4fee,1b5c1d072242f4a7504031ff6b438ee8,True,False,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Scullers Men Check Blue Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11054.jpg,False
11055,518c3bd5fe2567c01aab8acdcf3ccdfb,fcae51afb9027ea04e00a363f85eacf8,True,False,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Scullers Men Check Blue Shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11055.jpg,False
11056,518c3bd5fe2567c01aab8acdcf3ccdfb,fcae51afb9027ea04e00a363f85eacf8,True,False,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Scullers Men Check Blue Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\11056.jpg,False
