id,split
1163,train
1164,train
1525,train
1526,val
1528,test
1529,train
1530,train
1531,train
1532,test
1533,train
1534,train
1535,train
1536,train
1537,train
1538,test
1539,train
1540,train
1541,train
1542,train
1543,train
1544,train
1545,test
1546,train
1547,train
1548,train
1549,train
1550,train
1551,train
1552,train
1553,train
1554,train
1555,train
1556,train
1557,train
1558,train
1559,train
1561,train
1562,train
1563,train
1565,val
1566,val
1567,val
1569,train
1570,train
1571,test
1572,train
1573,val
1575,train
1577,train
1578,test
1579,train
1580,train
1581,train
1582,val
1583,train
1584,train
1587,train
1588,train
1590,train
1591,train
1592,test
1594,val
1595,test
1596,train
1597,train
1598,train
1599,train
1603,train
1604,train
1605,train
1607,train
1608,val
1609,train
1610,train
1611,train
1612,train
1613,train
1614,train
1615,train
1616,train
1617,train
1618,test
1619,test
1620,val
1621,test
1622,train
1623,train
1624,train
1625,train
1626,val
1627,train
1628,train
1634,train
1635,train
1636,train
1637,train
1638,train
1641,train
1642,train
1644,val
1645,val
1646,train
1647,train
1648,train
1649,train
1651,train
1653,val
1654,val
1656,test
1657,train
1658,val
1662,train
1668,train
1670,train
1671,test
1673,train
1678,test
1689,test
1697,train
1727,train
1728,train
1729,train
1730,train
1731,train
1752,train
1754,test
1755,train
1756,val
1757,val
1758,train
1759,train
1760,train
1762,train
1763,train
1764,train
1765,val
1766,train
1782,train
1783,train
1784,train
1785,test
1786,train
1787,train
1788,train
1789,val
1790,train
1791,train
1792,val
1793,test
1794,val
1795,train
1796,test
1798,train
1799,val
1800,train
1801,train
1802,train
1803,train
1804,train
1805,train
1806,train
1807,test
1808,train
1809,val
1810,test
1811,train
1812,test
1813,val
1814,val
1827,train
1828,train
1831,train
1832,train
1833,val
1836,train
1841,train
1842,train
1844,test
1845,train
1846,train
1847,train
1848,train
1849,test
1852,train
1853,val
1854,train
1855,train
1856,train
1857,val
1859,train
1860,train
1861,train
1862,val
1863,train
1865,train
1866,train
1867,test
1868,val
1869,train
1870,train
1871,train
1872,train
1875,train
1876,train
1877,val
1879,train
1880,train
1881,train
1882,val
1883,test
1884,train
1885,test
1886,train
1887,val
1888,train
1889,train
1890,train
1891,train
1892,val
1895,val
1897,train
1902,val
1903,train
1904,train
1905,train
1906,train
1907,test
1909,train
1910,train
1911,val
1912,train
1913,test
1915,test
1916,val
1917,train
1918,train
1919,train
1920,train
1922,test
1923,train
1924,val
1925,train
1926,train
1927,train
1928,train
1929,train
1930,train
1931,train
1932,train
1933,train
1934,train
1935,val
1936,train
1937,train
1938,train
1939,train
1941,train
1942,train
1943,train
1944,train
1945,train
1946,test
1947,train
1948,train
1949,train
1950,train
1951,val
1962,train
1963,train
1964,test
1966,val
1972,train
1973,val
1976,train
1977,train
1978,train
1981,train
1982,train
1983,train
1984,train
1985,train
1986,train
1988,val
1989,train
1990,train
1991,train
1992,train
1993,train
1994,train
1995,val
1996,val
1997,train
1998,train
1999,train
2001,train
2002,train
2003,test
2004,train
2005,train
2006,train
2007,train
2008,train
2009,train
2010,train
2011,train
2012,train
2014,train
2015,train
2023,train
2024,train
2025,test
2026,val
2027,train
2028,val
2029,train
2030,train
2031,train
2032,train
2033,train
2034,train
2035,train
2036,test
2037,train
2038,train
2039,train
2040,train
2041,train
2042,train
2044,train
2045,train
2046,train
2047,train
2048,train
2049,train
2050,train
2051,train
2052,train
2053,train
2054,test
2055,train
2056,train
2057,train
2058,test
2059,train
2060,train
2061,train
2062,train
2065,train
2069,val
2078,train
2089,val
2090,test
2091,test
2092,train
2093,train
2094,train
2095,train
2096,train
2097,test
2098,test
2099,train
2100,train
2101,train
2102,val
2103,train
2104,train
2105,train
2106,test
2107,train
2108,test
2109,val
2110,train
2111,train
2112,train
2113,train
2114,train
2115,train
2116,train
2117,train
2118,train
2119,test
2120,train
2121,train
2122,train
2123,train
2124,train
2125,train
2126,train
2127,train
2128,train
2129,val
2130,train
2131,val
2132,train
2133,train
2134,train
2135,train
2136,train
2137,test
2138,train
2139,train
2140,train
2141,train
2142,train
2143,train
2144,train
2145,test
2146,train
2147,train
2148,train
2149,train
2150,train
2151,train
2152,val
2153,train
2154,test
2155,test
2156,train
2157,train
2158,val
2159,val
2160,test
2161,train
2162,val
2163,train
2164,train
2165,val
2166,test
2167,val
2168,train
2169,train
2170,train
2171,train
2172,test
2176,train
2177,train
2179,test
2180,train
2181,train
2182,train
2183,train
2184,train
2185,train
2187,train
2188,train
2189,train
2190,train
2191,val
2192,test
2193,train
2194,train
2195,val
2196,train
2197,train
2198,train
2199,train
2200,train
2201,train
2202,train
2203,train
2204,train
2205,train
2206,train
2207,train
2208,train
2209,val
2210,train
2211,test
2212,val
2213,train
2214,test
2215,train
2216,test
2217,train
2218,train
2219,train
2220,test
2221,test
2222,test
2223,train
2224,train
2225,train
2226,test
2227,val
2228,train
2229,train
2230,val
2231,val
2232,val
2233,train
2234,train
2235,train
2237,val
2238,val
2239,train
2240,train
2241,train
2242,train
2243,train
2244,val
2245,train
2246,val
2247,train
2248,train
2249,train
2250,train
2251,train
2252,train
2253,train
2254,val
2255,train
2256,train
2257,train
2259,train
2260,train
2261,train
2262,train
2263,val
2264,train
2265,train
2266,val
2267,train
2268,train
2269,train
2270,train
2271,train
2272,train
2273,train
2274,val
2275,train
2276,train
2278,test
2279,train
2280,val
2282,train
2283,train
2284,train
2285,train
2286,train
2287,train
2288,train
2289,train
2290,test
