id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path,duplicate_hash,source_identical_highres,resize_collision,conflicting_task_labels,split_group,use_for_supervised
1163,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Sports,Nike Sahara Team India Fanwear Round Neck Jersey,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1163.jpg,,False,False,False,G01071,True
1164,Men,Apparel,Topwear,Tshirts,Blue,Winter,2015,Sports,Nike Men Blue T20 Indian Cricket Jersey,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1164.jpg,,False,False,False,G01079,True
1165,Men,Apparel,Topwear,Tshirts,Blue,Summer,2013,Sports,Nike Mean Team India Cricket Jersey,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1165.jpg,db3ae1a3683beb8030aa14691a4dc214,True,False,True,G01090,False
1525,Unisex,Accessories,Bags,Backpacks,Navy Blue,Fall,2010,Casual,Puma Deck Navy Blue Backpack,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1525.jpg,,False,False,False,G03140,True
1526,Unisex,Accessories,Bags,Backpacks,Black,Fall,2010,Sports,Puma Big Cat Backpack Black,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1526.jpg,,False,False,False,G03151,True
1528,Men,Apparel,Topwear,Jackets,Black,Fall,2010,Sports,Puma Men Ferrari Black Fleece Jacket,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1528.jpg,,False,False,False,G03169,True
1529,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Casual,Ferrari Tee,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1529.jpg,,False,False,False,G03179,True
1530,Men,Apparel,Topwear,Jackets,Red,Fall,2010,Sports,Puma Men Ferrari Track Jacket,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1530.jpg,,False,False,False,G03190,True
1531,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Men Grey Solid Round Neck T-Shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1531.jpg,,False,False,False,G03200,True
1532,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Men Grey Leaping Cat T-shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1532.jpg,,False,False,False,G03208,True
1533,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Casual,Puma Men Cat Red T-shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1533.jpg,,False,False,False,G03215,True
1534,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Casual,Puma Men Black Leaping Cat T-shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1534.jpg,,False,False,False,G03221,True
1535,Unisex,Accessories,Headwear,Caps,Black,Fall,2010,Sports,Puma Unisex Logo Cap,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1535.jpg,,False,False,False,G03231,True
1536,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Puma Men Black Net Jersey,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1536.jpg,,False,False,False,G03235,True
1537,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Puma Men Red Net Jersey,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1537.jpg,,False,False,False,G03240,True
1538,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,Puma Men Ferrari Track Black T-shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1538.jpg,,False,False,False,G03251,True
1539,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Men Ferrari Grey T-shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1539.jpg,,False,False,False,G03257,True
1540,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,Puma Men Ferrari Vintage Black Polo T-shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1540.jpg,,False,False,False,G03265,True
1541,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Ballistic Spike White Green Shoe,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1541.jpg,,False,False,False,G03273,True
1542,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Ballistic Rubber Shoe,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1542.jpg,,False,False,False,G03282,True
1543,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010,Casual,Puma Men Basket-Biz Sneaker,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1543.jpg,,False,False,False,G03283,True
1544,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010,Casual,Puma Men's Basket Bump Sneaker,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1544.jpg,,False,False,False,G03288,True
1545,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010,Casual,Puma Men's Speed Cat Shoe,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1545.jpg,,False,False,False,G03290,True
