,precision,recall,f1-score,support
Accessory Gift Set,0.8333333333333334,1.0,0.9090909090909091,15.0
Backpacks,0.8878504672897196,0.9313725490196079,0.9090909090909091,102.0
Bangle,0.5,0.6,0.5454545454545454,5.0
Basketballs,1.0,0.5,0.6666666666666666,2.0
Belts,0.9912280701754386,0.9912280701754386,0.9912280701754386,114.0
Booties,0.5,1.0,0.6666666666666666,1.0
Boxers,1.0,0.8,0.8888888888888888,5.0
Bra,0.9767441860465116,0.9767441860465116,0.9767441860465116,43.0
Bracelet,0.75,0.5,0.6,6.0
Briefs,0.9666666666666667,0.9157894736842105,0.9405405405405406,95.0
Camisoles,1.0,1.0,1.0,2.0
Capris,0.8888888888888888,0.6956521739130435,0.7804878048780488,23.0
Caps,0.9696969696969697,0.8421052631578947,0.9014084507042254,38.0
Casual Shoes,0.848404255319149,0.8328981723237598,0.8405797101449275,383.0
Churidar,0.3333333333333333,0.25,0.2857142857142857,4.0
Clutches,0.8095238095238095,0.53125,0.6415094339622641,32.0
Cufflinks,1.0,1.0,1.0,5.0
Deodorant,0.9523809523809523,0.9523809523809523,0.9523809523809523,42.0
Dresses,0.7,0.8571428571428571,0.7706422018348624,49.0
Duffel Bag,0.75,0.5,0.6,12.0
Dupatta,0.875,0.4375,0.5833333333333334,16.0
Earrings,0.9761904761904762,1.0,0.9879518072289156,82.0
Flats,0.5882352941176471,0.16666666666666666,0.2597402597402597,60.0
Flip Flops,0.8682170542635659,0.9105691056910569,0.8888888888888888,123.0
Formal Shoes,0.9101123595505618,0.9310344827586207,0.9204545454545454,87.0
Foundation and Primer,0.0,0.0,0.0,1.0
Fragrance Gift Set,1.0,0.42857142857142855,0.6,7.0
Free Gifts,0.0,0.0,0.0,10.0
Gloves,1.0,0.3333333333333333,0.5,3.0
Handbags,0.8376068376068376,0.9560975609756097,0.8929384965831435,205.0
Heels,0.7444444444444445,0.8993288590604027,0.8145896656534954,149.0
Innerwear Vests,0.7941176470588235,0.7714285714285715,0.782608695652174,35.0
Jackets,0.7777777777777778,0.4375,0.56,32.0
Jeans,0.85,0.85,0.85,80.0
Jeggings,0.0,0.0,0.0,3.0
Jewellery Set,1.0,0.5,0.6666666666666666,4.0
Jumpsuit,0.0,0.0,0.0,2.0
Kajal and Eyeliner,0.0,0.0,0.0,2.0
Kurta Sets,0.6428571428571429,0.9,0.75,10.0
Kurtas,0.8795180722891566,0.9864864864864865,0.9299363057324841,222.0
Kurtis,0.8235294117647058,0.4827586206896552,0.6086956521739131,29.0
Laptop Bag,0.0,0.0,0.0,11.0
Leggings,0.6666666666666666,0.7272727272727273,0.6956521739130435,22.0
Lip Liner,0.5,1.0,0.6666666666666666,1.0
Lipstick,1.0,1.0,1.0,2.0
