,precision,recall,f1-score,support
Accessory Gift Set,0.8,0.26666666666666666,0.4,15.0
Backpacks,0.8481012658227848,0.6568627450980392,0.7403314917127072,102.0
Bangle,0.0,0.0,0.0,5.0
Basketballs,0.0,0.0,0.0,2.0
Belts,0.8083333333333333,0.8508771929824561,0.8290598290598291,114.0
Booties,0.0,0.0,0.0,1.0
Boxers,1.0,0.2,0.3333333333333333,5.0
Bra,0.6428571428571429,0.4186046511627907,0.5070422535211268,43.0
Bracelet,0.0,0.0,0.0,6.0
Briefs,0.7605633802816901,0.5684210526315789,0.6506024096385542,95.0
Camisoles,0.0,0.0,0.0,2.0
Capris,0.3333333333333333,0.21739130434782608,0.2631578947368421,23.0
Caps,0.7272727272727273,0.631578947368421,0.676056338028169,38.0
Casual Shoes,0.47451669595782076,0.7049608355091384,0.5672268907563025,383.0
Churidar,0.0,0.0,0.0,4.0
Clutches,0.7142857142857143,0.15625,0.2564102564102564,32.0
Cufflinks,0.0,0.0,0.0,5.0
Deodorant,0.5681818181818182,0.5952380952380952,0.5813953488372093,42.0
Dresses,0.23076923076923078,0.061224489795918366,0.0967741935483871,49.0
Duffel Bag,0.0,0.0,0.0,12.0
Dupatta,0.0,0.0,0.0,16.0
Earrings,0.631578947368421,0.14634146341463414,0.2376237623762376,82.0
Flats,0.0,0.0,0.0,60.0
Flip Flops,0.7142857142857143,0.4878048780487805,0.5797101449275363,123.0
Formal Shoes,0.54,0.3103448275862069,0.39416058394160586,87.0
Foundation and Primer,0.0,0.0,0.0,1.0
Fragrance Gift Set,0.0,0.0,0.0,7.0
Free Gifts,0.0,0.0,0.0,10.0
Gloves,0.0,0.0,0.0,3.0
Handbags,0.5909090909090909,0.7609756097560976,0.6652452025586354,205.0
Heels,0.4838709677419355,0.40268456375838924,0.43956043956043955,149.0
Innerwear Vests,0.7272727272727273,0.22857142857142856,0.34782608695652173,35.0
Jackets,0.4,0.125,0.19047619047619047,32.0
Jeans,0.5822784810126582,0.575,0.5786163522012578,80.0
Jeggings,0.0,0.0,0.0,3.0
Jewellery Set,0.0,0.0,0.0,4.0
Jumpsuit,0.0,0.0,0.0,2.0
Kajal and Eyeliner,0.0,0.0,0.0,2.0
Kurta Sets,0.0,0.0,0.0,10.0
Kurtas,0.5382165605095541,0.7612612612612613,0.6305970149253731,222.0
Kurtis,0.0,0.0,0.0,29.0
Laptop Bag,0.0,0.0,0.0,11.0
Leggings,0.6,0.13636363636363635,0.2222222222222222,22.0
Lip Liner,0.0,0.0,0.0,1.0
Lipstick,0.0,0.0,0.0,2.0
Lounge Pants,0.0,0.0,0.0,7.0
Lounge Shorts,0.0,0.0,0.0,4.0
Messenger Bag,0.0,0.0,0.0,6.0
Mobile Pouch,0.0,0.0,0.0,6.0
Mufflers,0.0,0.0,0.0,6.0
Nail Polish,0.0,0.0,0.0,3.0
Necklace and Chains,0.0,0.0,0.0,9.0
Night suits,0.0,0.0,0.0,10.0
Nightdress,0.0,0.0,0.0,6.0
Patiala,0.0,0.0,0.0,4.0
Pendant,0.0,0.0,0.0,7.0
Perfume and Body Mist,0.375,0.189873417721519,0.25210084033613445,79.0
Ring,0.0,0.0,0.0,6.0
Rompers,0.0,0.0,0.0,1.0
Rucksacks,0.0,0.0,0.0,1.0
Salwar,0.0,0.0,0.0,4.0
Sandals,0.475,0.3089430894308943,0.37438423645320196,123.0
Sarees,0.0,0.0,0.0,21.0
Scarves,0.0,0.0,0.0,16.0
Shirts,0.7252964426877471,0.8321995464852607,0.7750791974656811,441.0
Shoe Accessories,0.0,0.0,0.0,3.0
Shorts,0.5952380952380952,0.6666666666666666,0.6289308176100629,75.0
Skirts,1.0,0.11764705882352941,0.21052631578947367,17.0
Socks,0.6909090909090909,0.4318181818181818,0.5314685314685315,88.0
Sports Sandals,0.0,0.0,0.0,9.0
Sports Shoes,0.5584795321637427,0.6701754385964912,0.6092503987240829,285.0
Stockings,0.0,0.0,0.0,3.0
Stoles,0.0,0.0,0.0,13.0
Sunglasses,0.8597560975609756,0.9463087248322147,0.9009584664536742,149.0
Suspenders,0.0,0.0,0.0,6.0
Sweaters,0.25,0.05,0.08333333333333333,40.0
Sweatshirts,0.5714285714285714,0.2,0.2962962962962963,40.0
Swimwear,0.0,0.0,0.0,2.0
Ties,0.6470588235294118,0.3548387096774194,0.4583333333333333,31.0
Tops,0.461864406779661,0.47186147186147187,0.4668094218415418,231.0
Track Pants,0.40476190476190477,0.3953488372093023,0.4,43.0
Tracksuits,0.0,0.0,0.0,4.0
Travel Accessory,0.0,0.0,0.0,2.0
Trousers,0.46153846153846156,0.6575342465753424,0.5423728813559322,73.0
Trunk,0.5,0.25,0.3333333333333333,20.0
Tshirts,0.6848772763262074,0.9057591623036649,0.7799819657348963,955.0
Tunics,0.0,0.0,0.0,25.0
Waist Pouch,0.0,0.0,0.0,2.0
Waistcoat,0.0,0.0,0.0,2.0
Wallets,0.65625,0.8898305084745762,0.7553956834532374,118.0
Watches,0.685,0.8535825545171339,0.7600554785020804,321.0
Water Bottle,0.0,0.0,0.0,2.0
accuracy,0.6194722474977252,0.6194722474977252,0.6194722474977252,0.6194722474977252
macro avg,0.2643378895012996,0.20059577461472866,0.21028303012188657,5495.0
weighted avg,0.5746510800581426,0.6194722474977252,0.5779630184526282,5495.0
