,precision,recall,f1-score,support
Accessory Gift Set,0.8,0.26666666666666666,0.4,15.0
Backpacks,0.8481012658227848,0.6568627450980392,0.7403314917127072,102.0
Bangle,0.0,0.0,0.0,5.0
Basketballs,0.0,0.0,0.0,2.0
Belts,0.8016528925619835,0.8508771929824561,0.825531914893617,114.0
Booties,0.0,0.0,0.0,1.0
Boxers,1.0,0.2,0.3333333333333333,5.0
Bra,0.6428571428571429,0.4186046511627907,0.5070422535211268,43.0
Bracelet,0.0,0.0,0.0,6.0
Briefs,0.7681159420289855,0.5578947368421052,0.6463414634146342,95.0
Camisoles,0.0,0.0,0.0,2.0
Capris,0.35714285714285715,0.21739130434782608,0.2702702702702703,23.0
Caps,0.696969696969697,0.6052631578947368,0.647887323943662,38.0
Casual Shoes,0.48056537102473496,0.7101827676240209,0.5732349841938883,383.0
Churidar,0.0,0.0,0.0,4.0
Clutches,0.7142857142857143,0.15625,0.2564102564102564,32.0
Cufflinks,0.0,0.0,0.0,5.0
Deodorant,0.5555555555555556,0.5952380952380952,0.5747126436781609,42.0
Dresses,0.23076923076923078,0.061224489795918366,0.0967741935483871,49.0
Duffel Bag,0.0,0.0,0.0,12.0
Dupatta,0.0,0.0,0.0,16.0
Earrings,0.6666666666666666,0.14634146341463414,0.24,82.0
Flats,0.0,0.0,0.0,60.0
Flip Flops,0.6976744186046512,0.4878048780487805,0.5741626794258373,123.0
Formal Shoes,0.5576923076923077,0.3333333333333333,0.4172661870503597,87.0
Foundation and Primer,0.0,0.0,0.0,1.0
Fragrance Gift Set,0.0,0.0,0.0,7.0
Free Gifts,0.0,0.0,0.0,10.0
Gloves,0.0,0.0,0.0,3.0
Handbags,0.5954198473282443,0.7609756097560976,0.6680942184154176,205.0
Heels,0.48031496062992124,0.40939597315436244,0.4420289855072464,149.0
Innerwear Vests,0.6666666666666666,0.22857142857142856,0.3404255319148936,35.0
Jackets,0.4,0.125,0.19047619047619047,32.0
Jeans,0.5844155844155844,0.5625,0.5732484076433121,80.0
Jeggings,0.0,0.0,0.0,3.0
Jewellery Set,0.0,0.0,0.0,4.0
Jumpsuit,0.0,0.0,0.0,2.0
Kajal and Eyeliner,0.0,0.0,0.0,2.0
Kurta Sets,0.0,0.0,0.0,10.0
Kurtas,0.5382165605095541,0.7612612612612613,0.6305970149253731,222.0
Kurtis,0.0,0.0,0.0,29.0
Laptop Bag,0.0,0.0,0.0,11.0
Leggings,0.6666666666666666,0.18181818181818182,0.2857142857142857,22.0
Lip Liner,0.0,0.0,0.0,1.0
Lipstick,0.0,0.0,0.0,2.0
Lounge Pants,0.0,0.0,0.0,7.0
Lounge Shorts,0.0,0.0,0.0,4.0
Messenger Bag,0.0,0.0,0.0,6.0
Mobile Pouch,0.0,0.0,0.0,6.0
Mufflers,0.0,0.0,0.0,6.0
Nail Polish,0.0,0.0,0.0,3.0
Necklace and Chains,0.0,0.0,0.0,9.0
Night suits,0.0,0.0,0.0,10.0
Nightdress,0.0,0.0,0.0,6.0
Patiala,0.0,0.0,0.0,4.0
Pendant,0.0,0.0,0.0,7.0
Perfume and Body Mist,0.3684210526315789,0.17721518987341772,0.23931623931623933,79.0
Ring,0.0,0.0,0.0,6.0
Rompers,0.0,0.0,0.0,1.0
Rucksacks,0.0,0.0,0.0,1.0
Salwar,0.0,0.0,0.0,4.0
Sandals,0.46835443037974683,0.3008130081300813,0.36633663366336633,123.0
Sarees,0.0,0.0,0.0,21.0
Scarves,0.0,0.0,0.0,16.0
Shirts,0.7229862475442044,0.8344671201814059,0.7747368421052632,441.0
Shoe Accessories,0.0,0.0,0.0,3.0
Shorts,0.6071428571428571,0.68,0.6415094339622641,75.0
Skirts,1.0,0.11764705882352941,0.21052631578947367,17.0
Socks,0.6666666666666666,0.4318181818181818,0.5241379310344828,88.0
Sports Sandals,0.0,0.0,0.0,9.0
Sports Shoes,0.5689149560117303,0.6807017543859649,0.6198083067092651,285.0
Stockings,0.0,0.0,0.0,3.0
Stoles,0.0,0.0,0.0,13.0
Sunglasses,0.8650306748466258,0.9463087248322147,0.9038461538461539,149.0
Suspenders,0.0,0.0,0.0,6.0
Sweaters,0.3333333333333333,0.075,0.12244897959183673,40.0
Sweatshirts,0.5714285714285714,0.2,0.2962962962962963,40.0
Swimwear,0.0,0.0,0.0,2.0
Ties,0.6470588235294118,0.3548387096774194,0.4583333333333333,31.0
Tops,0.4602510460251046,0.47619047619047616,0.46808510638297873,231.0
Track Pants,0.40476190476190477,0.3953488372093023,0.4,43.0
Tracksuits,0.0,0.0,0.0,4.0
Travel Accessory,0.0,0.0,0.0,2.0
Trousers,0.46601941747572817,0.6575342465753424,0.5454545454545454,73.0
Trunk,0.5,0.25,0.3333333333333333,20.0
Tshirts,0.6865079365079365,0.9057591623036649,0.781038374717833,955.0
Tunics,0.0,0.0,0.0,25.0
Waist Pouch,0.0,0.0,0.0,2.0
Waistcoat,0.0,0.0,0.0,2.0
Wallets,0.6521739130434783,0.8898305084745762,0.7526881720430108,118.0
Watches,0.6875,0.8566978193146417,0.7628294036061026,321.0
Water Bottle,0.0,0.0,0.0,2.0
accuracy,0.6211101000909918,0.6211101000909918,0.6211101000909918,0.6211101000909918
macro avg,0.26550327369051985,0.2013437905956626,0.21124575033889934,5495.0
weighted avg,0.5762439893201127,0.6211101000909918,0.5795536260530304,5495.0
