,precision,recall,f1-score,support
Accessory Gift Set,0.8333333333333334,1.0,0.9090909090909091,15.0
Backpacks,0.9238095238095239,0.9509803921568627,0.9371980676328503,102.0
Bangle,0.625,1.0,0.7692307692307693,5.0
Basketballs,1.0,0.5,0.6666666666666666,2.0
Belts,1.0,1.0,1.0,114.0
Booties,0.5,1.0,0.6666666666666666,1.0
Boxers,1.0,1.0,1.0,5.0
Bra,0.9767441860465116,0.9767441860465116,0.9767441860465116,43.0
Bracelet,1.0,0.5,0.6666666666666666,6.0
Briefs,0.9680851063829787,0.9578947368421052,0.9629629629629629,95.0
Camisoles,1.0,0.5,0.6666666666666666,2.0
Capris,0.7894736842105263,0.6521739130434783,0.7142857142857143,23.0
Caps,0.918918918918919,0.8947368421052632,0.9066666666666666,38.0
Casual Shoes,0.8469387755102041,0.8668407310704961,0.8567741935483871,383.0
Churidar,0.4,0.5,0.4444444444444444,4.0
Clutches,0.8076923076923077,0.65625,0.7241379310344828,32.0
Cufflinks,1.0,1.0,1.0,5.0
Deodorant,0.9111111111111111,0.9761904761904762,0.9425287356321839,42.0
Dresses,0.7419354838709677,0.9387755102040817,0.8288288288288288,49.0
Duffel Bag,0.75,0.5,0.6,12.0
Dupatta,0.9285714285714286,0.8125,0.8666666666666667,16.0
Earrings,1.0,1.0,1.0,82.0
Flats,0.5757575757575758,0.31666666666666665,0.40860215053763443,60.0
Flip Flops,0.905511811023622,0.9349593495934959,0.92,123.0
Formal Shoes,0.8736842105263158,0.9540229885057471,0.9120879120879121,87.0
Foundation and Primer,1.0,1.0,1.0,1.0
Fragrance Gift Set,0.75,0.42857142857142855,0.5454545454545454,7.0
Free Gifts,0.0,0.0,0.0,10.0
Gloves,1.0,0.6666666666666666,0.8,3.0
Handbags,0.8539823008849557,0.9414634146341463,0.8955916473317865,205.0
Heels,0.7797619047619048,0.8791946308724832,0.8264984227129337,149.0
Innerwear Vests,0.90625,0.8285714285714286,0.8656716417910447,35.0
Jackets,0.7241379310344828,0.65625,0.6885245901639344,32.0
Jeans,0.918918918918919,0.85,0.8831168831168831,80.0
Jeggings,1.0,0.3333333333333333,0.5,3.0
Jewellery Set,1.0,0.75,0.8571428571428571,4.0
Jumpsuit,0.0,0.0,0.0,2.0
Kajal and Eyeliner,1.0,0.5,0.6666666666666666,2.0
Kurta Sets,0.625,1.0,0.7692307692307693,10.0
