,precision,recall,f1-score,support
Accessory Gift Set,1.0,0.13333333333333333,0.23529411764705882,15.0
Backpacks,0.07355021216407355,0.5098039215686274,0.12855377008652658,102.0
Bangle,0.0,0.0,0.0,5.0
Basketballs,0.0,0.0,0.0,2.0
Belts,0.0,0.0,0.0,114.0
Booties,0.0,0.0,0.0,1.0
Boxers,0.0,0.0,0.0,5.0
Bra,0.06309148264984227,0.46511627906976744,0.1111111111111111,43.0
Bracelet,0.0,0.0,0.0,6.0
Briefs,0.03765060240963856,0.2631578947368421,0.06587615283267458,95.0
Camisoles,0.0,0.0,0.0,2.0
Capris,0.0,0.0,0.0,23.0
Caps,0.0,0.0,0.0,38.0
Casual Shoes,0.4418604651162791,0.04960835509138381,0.0892018779342723,383.0
Churidar,0.0,0.0,0.0,4.0
Clutches,0.0,0.0,0.0,32.0
Cufflinks,0.0,0.0,0.0,5.0
Deodorant,0.0,0.0,0.0,42.0
Dresses,0.0,0.0,0.0,49.0
Duffel Bag,0.0,0.0,0.0,12.0
Dupatta,0.0,0.0,0.0,16.0
Earrings,1.0,0.14634146341463414,0.2553191489361702,82.0
Flats,0.0,0.0,0.0,60.0
Flip Flops,0.00821917808219178,0.024390243902439025,0.012295081967213115,123.0
Formal Shoes,0.375,0.034482758620689655,0.06315789473684211,87.0
Foundation and Primer,0.0,0.0,0.0,1.0
Fragrance Gift Set,0.0,0.0,0.0,7.0
Free Gifts,0.0,0.0,0.0,10.0
Gloves,0.0,0.0,0.0,3.0
Handbags,0.15714285714285714,0.1073170731707317,0.12753623188405797,205.0
Heels,0.0,0.0,0.0,149.0
Innerwear Vests,0.0,0.0,0.0,35.0
Jackets,0.037037037037037035,0.1875,0.061855670103092786,32.0
Jeans,0.2,0.075,0.10909090909090909,80.0
Jeggings,0.0,0.0,0.0,3.0
Jewellery Set,1.0,0.25,0.4,4.0
Jumpsuit,0.0,0.0,0.0,2.0
Kajal and Eyeliner,0.0,0.0,0.0,2.0
Kurta Sets,0.0,0.0,0.0,10.0
Kurtas,1.0,0.0045045045045045045,0.008968609865470852,222.0
Kurtis,0.0,0.0,0.0,29.0
Laptop Bag,0.00468384074941452,0.18181818181818182,0.0091324200913242,11.0
Leggings,0.0,0.0,0.0,22.0
Lip Liner,0.0,0.0,0.0,1.0
Lipstick,0.0,0.0,0.0,2.0
Lounge Pants,0.0,0.0,0.0,7.0
Lounge Shorts,0.0,0.0,0.0,4.0
Messenger Bag,0.0,0.0,0.0,6.0
Mobile Pouch,0.0,0.0,0.0,6.0
Mufflers,0.0,0.0,0.0,6.0
Nail Polish,0.0,0.0,0.0,3.0
Necklace and Chains,0.0,0.0,0.0,9.0
Night suits,0.0,0.0,0.0,10.0
Nightdress,0.0,0.0,0.0,6.0
Patiala,0.0,0.0,0.0,4.0
Pendant,0.0,0.0,0.0,7.0
Perfume and Body Mist,0.0392156862745098,0.02531645569620253,0.03076923076923077,79.0
Ring,0.0,0.0,0.0,6.0
Rompers,0.0,0.0,0.0,1.0
Rucksacks,0.0,0.0,0.0,1.0
Salwar,0.0,0.0,0.0,4.0
Sandals,0.0,0.0,0.0,123.0
Sarees,0.0,0.0,0.0,21.0
Scarves,0.0,0.0,0.0,16.0
Shirts,0.6262626262626263,0.14058956916099774,0.22962962962962963,441.0
Shoe Accessories,0.0,0.0,0.0,3.0
Shorts,0.1834862385321101,0.26666666666666666,0.21739130434782608,75.0
Skirts,0.14285714285714285,0.058823529411764705,0.08333333333333333,17.0
Socks,1.0,0.022727272727272728,0.044444444444444446,88.0
Sports Sandals,0.0,0.0,0.0,9.0
Sports Shoes,0.2344213649851632,0.2771929824561403,0.2540192926045016,285.0
Stockings,0.0,0.0,0.0,3.0
Stoles,0.0,0.0,0.0,13.0
Sunglasses,0.0,0.0,0.0,149.0
Suspenders,0.0,0.0,0.0,6.0
Sweaters,0.3333333333333333,0.025,0.046511627906976744,40.0
Sweatshirts,0.0,0.0,0.0,40.0
Swimwear,0.0,0.0,0.0,2.0
Ties,0.0,0.0,0.0,31.0
Tops,0.08,0.05194805194805195,0.06299212598425197,231.0
Track Pants,0.0,0.0,0.0,43.0
Tracksuits,0.0,0.0,0.0,4.0
Travel Accessory,0.0,0.0,0.0,2.0
Trousers,0.20689655172413793,0.2465753424657534,0.225,73.0
Trunk,0.046948356807511735,0.5,0.08583690987124463,20.0
Tshirts,0.5115681233933161,0.4167539267015707,0.4593190998268898,955.0
Tunics,0.0,0.0,0.0,25.0
Waist Pouch,0.0,0.0,0.0,2.0
Waistcoat,0.0,0.0,0.0,2.0
Wallets,0.6,0.2542372881355932,0.35714285714285715,118.0
Watches,0.2403846153846154,0.3115264797507788,0.27137042062415195,321.0
Water Bottle,0.0,0.0,0.0,2.0
accuracy,0.1654231119199272,0.1654231119199272,0.1654231119199272,0.1654231119199272
macro avg,0.10482184472723696,0.05467099537339052,0.043969057312739805,5495.0
weighted avg,0.3136957464378768,0.1654231119199272,0.16933747889382353,5495.0
