category,n,count_spring,p_spring,count_summer,p_summer,count_fall,p_fall,count_winter,p_winter
dress,46017,11734,0.2549922861302449,19278,0.41891745072901504,10185,0.22133373894526412,4820,0.10475652419547597
bag,42580,11185,0.26268081908698104,16715,0.39254179973699044,10147,0.23830546684200637,4533,0.10647191433402217
shirt,31833,8772,0.2755598831548199,11857,0.3724597166818482,7762,0.24383578854791596,3442,0.10814461161541603
skirt,31529,7959,0.25243395807566676,12170,0.38597659594710304,7902,0.25062632797386863,3498,0.11096311800336156
boots,29197,5745,0.1967740830793466,5947,0.2036916543953974,10634,0.3641998561693093,6871,0.2353344063559467
top,27353,6812,0.2490404649632635,13431,0.49098950908359834,5344,0.1953796103373908,1766,0.06459041561574734
shoes,23917,6205,0.25943731449354124,9518,0.397934868943606,5712,0.23882780820199825,2482,0.10380000836085448
jacket,21543,6129,0.28449436116396715,4808,0.22318652248572887,6946,0.3224114725947928,3660,0.1699076437555112
jeans,20945,5901,0.28173182490811016,5694,0.27185068499689724,6017,0.28726908205642276,3333,0.15914840803856986
shorts,18111,4251,0.23472260557548993,10157,0.56075075903947,2887,0.1594258901462876,816,0.04510074523875242
pants,16564,4609,0.2782472235634959,4859,0.29333655239014966,4767,0.2877836793819411,2329,0.14063254466441333
heels,16266,4534,0.2787338660110633,6670,0.41001843884449907,3626,0.2229256299938537,1436,0.0883220651505839
sweater,15137,2850,0.18829667789445875,2371,0.15666072254144375,6078,0.40149263588930717,3838,0.2535499636747903
blouse,14299,4136,0.2892400195763127,5115,0.35768719848982733,3679,0.2572886806963574,1369,0.09578410123750263
hat,14225,2977,0.20929088481270644,4526,0.3181530676786844,4217,0.2964368543116171,2505,0.17611919319699207
blazer,12946,4144,0.32007722007722006,3454,0.2667953667953668,3761,0.2905019305019305,1587,0.12262548262548263
sunglasses,12241,3140,0.2565128623928134,6063,0.49522253981216824,2188,0.1787668436096366,850,0.06949775418538179
coat,11531,1905,0.16523623753792804,1257,0.10905938448201127,3850,0.33385348938014736,4519,0.3918508885999133
necklace,9013,2261,0.25085948763446825,4058,0.45014971720084285,1874,0.20794055672618386,820,0.09105023843850504
belt,8821,2460,0.2788668555240793,3622,0.41053824362606234,1870,0.2120113314447592,869,0.09858356940509914
cardigan,8050,2134,0.26508567171591757,1947,0.24186739508318847,2514,0.3122671964241371,1455,0.18077973677675688
tights,7821,1967,0.25150159744408945,1129,0.14440894568690096,2783,0.3557827476038339,1942,0.24830670926517573
sandals,7214,1789,0.24799113327791633,4627,0.6411748406760875,680,0.0943474646716542,118,0.016486561374341922
scarf,7059,1460,0.2068526122044457,1490,0.21110009910802774,2391,0.33866628911227525,1718,0.2433809995752513
wedges,6106,1666,0.27283142389525367,2856,0.4675941080196399,1164,0.190671031096563,420,0.06890343698854337
leggings,5971,1433,0.24,1524,0.25523012552301255,1893,0.31698744769874476,1121,0.18778242677824267
vest,4908,1124,0.22903094462540716,1819,0.3705211726384365,1338,0.2725977198697068,627,0.1278501628664495
flats,4809,1273,0.26469977145231666,2267,0.4712237689590692,919,0.1911489715354249,350,0.07292748805318928
purse,4293,1070,0.24924365836630208,1793,0.4175005818012567,1047,0.2438910868047475,383,0.08936467302769374
sneakers,3948,1057,0.26771255060728744,1678,0.4248481781376518,798,0.2021761133603239,415,0.10526315789473684
bracelet,3640,850,0.2335345773874863,1914,0.5255214050493963,665,0.18276619099890232,211,0.05817782656421515
pumps,3308,892,0.2696256038647343,1353,0.40881642512077293,775,0.23429951690821257,288,0.08725845410628019
socks,2957,787,0.26612630867950016,897,0.3032759202971969,881,0.2978723404255319,392,0.13272543059777103
clutch,1882,505,0.2682926829268293,826,0.4384941675503712,387,0.20572640509013787,164,0.08748674443266172
watch,1811,404,0.2231404958677686,957,0.5278236914600551,310,0.17134986225895316,140,0.07768595041322314
earrings,1783,382,0.21432568550643535,904,0.506435366536094,319,0.17907106883044208,178,0.10016787912702854
romper,1777,445,0.25042111173498033,1005,0.5648512071869736,248,0.13980909601347558,79,0.044918585064570464
ring,1696,413,0.24352941176470588,834,0.49117647058823527,298,0.17588235294117646,151,0.08941176470588236
sweatshirt,1420,322,0.22682584269662923,344,0.2422752808988764,448,0.31530898876404495,306,0.21558988764044945
swimwear,715,62,0.08762169680111266,614,0.8553546592489569,30,0.043115438108484005,9,0.013908205841446454
bra,628,156,0.24841772151898733,340,0.5395569620253164,90,0.1439873417721519,42,0.0680379746835443
tie,502,141,0.28063241106719367,163,0.3241106719367589,135,0.26877470355731226,63,0.12648221343873517
gloves,491,85,0.17373737373737375,69,0.1414141414141414,173,0.3515151515151515,164,0.3333333333333333
backpack,368,84,0.22849462365591397,151,0.40860215053763443,95,0.25806451612903225,38,0.10483870967741936
tunic,262,52,0.19924812030075187,100,0.37969924812030076,86,0.32706766917293234,24,0.09398496240601503
jumpsuit,249,57,0.22924901185770752,115,0.45849802371541504,53,0.2134387351778656,24,0.09881422924901186
wallet,134,31,0.2318840579710145,60,0.4420289855072464,21,0.15942028985507245,22,0.16666666666666666
suspenders,123,38,0.30708661417322836,29,0.23622047244094488,33,0.2677165354330709,23,0.1889763779527559
pendant,98,29,0.29411764705882354,39,0.39215686274509803,22,0.22549019607843138,8,0.08823529411764706
camisole,55,14,0.2542372881355932,26,0.4576271186440678,13,0.23728813559322035,2,0.05084745762711865
