configuration,seed,mean macro-F1,usage macro-F1,gender macro-F1,exact match,best epoch,epochs run
base,42,82.09,85.01,79.16,83.04,36,44
base,7,81.44,84.25,78.64,81.25,13,21
base,13,81.52,84.54,78.49,82.56,33,41
balanced,42,80.97,84.67,77.26,82.02,29,37
balanced,7,81.54,84.18,78.89,82.45,42,50
balanced,13,81.3,84.77,77.84,81.64,27,35
balanced_aug,42,80.82,83.65,77.98,80.25,45,50
balanced_aug,7,80.1,84.58,75.63,80.27,41,49
balanced_aug,13,79.97,83.7,76.23,80.35,48,50
class_weighted,42,81.88,84.37,79.39,80.85,33,41
class_weighted,7,81.4,84.09,78.71,81.25,47,50
class_weighted,13,80.99,84.51,77.47,81.04,49,50
