id,articleType,subCategory,masterCategory,baseColour,gender,usage,productDisplayName
1163,Tshirts,Topwear,Apparel,Blue,Men,Sports,Nike Sahara Team India Fanwear Round Neck Jersey
1164,Tshirts,Topwear,Apparel,Blue,Men,Sports,Nike Men Blue T20 Indian Cricket Jersey
1165,Tshirts,Topwear,Apparel,Blue,Men,Sports,Nike Mean Team India Cricket Jersey
1525,Backpacks,Bags,Accessories,Navy Blue,Unisex,Casual,Puma Deck Navy Blue Backpack
1526,Backpacks,Bags,Accessories,Black,Unisex,Sports,Puma Big Cat Backpack Black
1528,Jackets,Topwear,Apparel,Black,Men,Sports,Puma Men Ferrari Black Fleece Jacket
1529,Tshirts,Topwear,Apparel,Red,Men,Casual,Ferrari Tee
1530,Jackets,Topwear,Apparel,Red,Men,Sports,Puma Men Ferrari Track Jacket
1531,Tshirts,Topwear,Apparel,Grey,Men,Casual,Puma Men Grey Solid Round Neck T-Shirt
1532,Tshirts,Topwear,Apparel,Grey,Men,Casual,Puma Men Grey Leaping Cat T-shirt
1533,Tshirts,Topwear,Apparel,Red,Men,Casual,Puma Men Cat Red T-shirt
1534,Tshirts,Topwear,Apparel,Black,Men,Casual,Puma Men Black Leaping Cat T-shirt
1535,Caps,Headwear,Accessories,Black,Unisex,Sports,Puma Unisex Logo Cap
1536,Tshirts,Topwear,Apparel,Black,Men,Sports,Puma Men Black Net Jersey
1537,Tshirts,Topwear,Apparel,Red,Men,Sports,Puma Men Red Net Jersey
1538,Tshirts,Topwear,Apparel,Blue,Men,Casual,Puma Men Ferrari Track Black T-shirt
1539,Tshirts,Topwear,Apparel,Grey,Men,Casual,Puma Men Ferrari Grey T-shirt
1540,Tshirts,Topwear,Apparel,Blue,Men,Casual,Puma Men Ferrari Vintage Black Polo T-shirt
1541,Sports Shoes,Shoes,Footwear,White,Men,Sports,Puma Men's Ballistic Spike White Green Shoe
1542,Sports Shoes,Shoes,Footwear,White,Men,Sports,Puma Men's Ballistic Rubber Shoe
1543,Casual Shoes,Shoes,Footwear,Black,Men,Casual,Puma Men Basket-Biz Sneaker
1544,Casual Shoes,Shoes,Footwear,White,Men,Casual,Puma Men's Basket Bump Sneaker
1545,Casual Shoes,Shoes,Footwear,White,Men,Casual,Puma Men's Speed Cat Shoe
1546,Casual Shoes,Shoes,Footwear,White,Men,Casual,Puma Men's Furore White Shoe
1547,Casual Shoes,Shoes,Footwear,Black,Men,Casual,Puma Men's Ducati Sneaker
1548,Sports Shoes,Shoes,Footwear,White,Men,Sports,Puma Men's Cell Exsis Sneaker
1549,Sports Shoes,Shoes,Footwear,White,Men,Sports,Puma Men's Jiyu Slip On Sneaker
1550,Footballs,Sports Equipment,Sporting Goods,White,Unisex,Sports,Puma Cat Trainer-WBL Football
1551,Footballs,Sports Equipment,Sporting Goods,Orange,Unisex,Sports,Puma Power Cat Trainer-OB Football
1552,Footballs,Sports Equipment,Sporting Goods,White,Unisex,Sports,Puma Power Cat Trainer-WR Football
1553,Footballs,Sports Equipment,Sporting Goods,White,Unisex,Sports,Puma Power Cat Hard Ground Football
1554,Water Bottle,Water Bottle,Accessories,Blue,Unisex,Casual,Quechua  Blue Sipper
1555,Water Bottle,Water Bottle,Accessories,Purple,Unisex,Sports,Quechua Red Sipper
1556,Backpacks,Bags,Accessories,Black,Unisex,Sports,Quechua Forclaz Large  Backpack - 50 ltr Orange
1557,Backpacks,Bags,Accessories,Black,Unisex,Travel,Quechua Spacious Blue-Black Backpack
1558,Water Bottle,Water Bottle,Accessories,Blue,Unisex,Sports,Quechua Easy-to-Carry Blue Water Bottle
1559,Backpacks,Bags,Accessories,Blue,Unisex,Travel,Quechua Blue Light Backpack
1561,Tshirts,Topwear,Apparel,White,Women,Sports,Quechua Women Sweat Proof White T-shirt
1562,Tshirts,Topwear,Apparel,Grey,Men,Sports,Quechua Men Sweat Proof Grey T-shirt
1563,Tshirts,Topwear,Apparel,Blue,Men,Sports,Quechua Men Sweat Proof Blue T-shirt
1565,Backpacks,Bags,Accessories,Green,Unisex,Travel,Quechua Green Light Backpack
1566,Caps,Headwear,Accessories,Black,Men,Sports,Artengo Men Black Cap
1567,Shorts,Bottomwear,Apparel,Black,Men,Sports,Artengo Men Training Shorts
1569,Shorts,Bottomwear,Apparel,Black,Men,Sports,Artengo Men Black Tennis Shorts
1570,Tshirts,Topwear,Apparel,Black,Women,Sports,Artengo Women Tennis Singlet
1571,Sports Shoes,Shoes,Footwear,White,Men,Sports,Kalenji Men's Super Soft Sports Shoes
1572,Track Pants,Bottomwear,Apparel,Black,Men,Sports,Kalenji Mens Essential Training Track Pants
1573,Track Pants,Bottomwear,Apparel,Grey,Women,Sports,Kalenji Women Athletes Grey Track Pants
1575,Tshirts,Topwear,Apparel,White,Men,Casual,Kipsta Men Sports White T-shirt
