articleType,Queries,MeanP10,ClassSize
Accessory Gift Set,23,100.0,106
Backpacks,24,100.0,710
Bangle,24,100.0,58
Bra,23,100.0,297
Basketballs,8,100.0,13
Belts,26,100.0,795
Booties,12,100.0,12
Caps,22,100.0,274
Churidar,17,100.0,30
Camisoles,6,100.0,15
Bracelet,20,100.0,51
Duffel Bag,23,100.0,86
Cufflinks,24,100.0,44
Handbags,24,100.0,1439
Gloves,8,100.0,20
Leggings,18,100.0,159
Kurta Sets,24,100.0,75
Jewellery Set,24,100.0,45
Jeggings,12,100.0,25
Kajal and Eyeliner,7,100.0,13
Jumpsuit,6,100.0,11
Earrings,24,100.0,245
Dupatta,22,100.0,116
Fragrance Gift Set,23,100.0,55
Foundation and Primer,8,100.0,12
Lipstick,9,100.0,15
Tracksuits,18,100.0,28
Socks,20,100.0,614
Skirts,25,100.0,117
Stockings,13,100.0,25
Stoles,28,100.0,90
Swimwear,15,100.0,17
Ties,27,100.0,215
Suspenders,25,100.0,40
Sunglasses,22,100.0,1047
Waistcoat,10,100.0,14
Waist Pouch,10,100.0,17
Water Bottle,6,100.0,11
Watches,25,100.0,2252
Track Pants,30,100.0,295
Travel Accessory,11,100.0,13
Scarves,25,100.0,110
Shoe Accessories,15,100.0,23
Ring,27,100.0,86
Salwar,20,100.0,32
Rucksacks,4,100.0,11
Pendant,29,100.0,122
Night suits,22,100.0,69
Necklace and Chains,26,100.0,62
Nightdress,23,100.0,39
Patiala,14,100.0,27
Mufflers,22,100.0,38
Nail Polish,10,100.0,19
Messenger Bag,27,100.0,43
Mobile Pouch,31,100.0,47
Lounge Shorts,24,100.0,34
Lounge Pants,26,100.0,53
Lip Liner,7,100.0,12
Boxers,27,99.3,39
Briefs,20,99.0,668
Sarees,20,99.0,154
Laptop Bag,20,99.0,79
Capris,29,99.0,161
Wallets,29,98.6,829
Shorts,21,98.6,526
Sports Sandals,24,98.3,63
Rompers,10,97.0,12
Innerwear Vests,20,95.0,242
Jeans,26,94.6,558
Trunk,20,94.0,140
Deodorant,20,93.0,293
Shirts,22,92.7,3087
Dresses,23,92.2,345
Kurtas,24,91.2,1556
Sweaters,29,90.3,276
Perfume and Body Mist,28,90.0,557
Formal Shoes,27,89.6,610
Jackets,20,89.5,228
Clutches,30,89.3,223
Sweatshirts,27,88.5,280
Trousers,19,88.4,513
Tshirts,25,88.4,6780
Tunics,26,88.1,175
Sandals,29,86.9,865
Kurtis,27,82.6,203
Flip Flops,27,81.9,863
Sports Shoes,28,78.6,1991
Free Gifts,26,78.1,69
Tights,5,78.0,9
Heels,25,73.2,1048
Casual Shoes,28,70.4,2683
Clothing Set,5,70.0,8
Footballs,5,70.0,8
Blazers,4,70.0,8
Tops,25,64.4,1614
Umbrellas,2,45.0,6
Lip Gloss,5,44.0,6
Flats,28,43.2,418
Lip Plumper,3,30.0,4
Eyeshadow,3,30.0,5
Highlighter and Blush,4,30.0,4
Compact,3,30.0,4
Salwar and Dupatta,4,17.5,7
Headband,4,12.5,7
Rain Trousers,2,10.0,2
Concealer,1,10.0,2
Lehenga Choli,1,10.0,2
Wristbands,3,6.7,6
Ipad,1,0.0,1
Key chain,1,0.0,2
Cushion Covers,1,0.0,1
Body Wash and Scrub,1,0.0,1
Baby Dolls,2,0.0,2
Hat,1,0.0,3
Nehru Jackets,1,0.0,5
Shoe Laces,1,0.0,1
Shapewear,1,0.0,2
Rain Jacket,1,0.0,2
Robe,1,0.0,2
Lounge Tshirts,1,0.0,1
Ties and Cufflinks,1,0.0,1
Shrug,2,0.0,3
Tablet Sleeve,3,0.0,3
