id,kmeans_cluster
1163,1
1164,1
1165,68
1525,75
1526,12
1528,68
1529,31
1530,31
1531,114
1532,106
1533,31
1534,15
1535,95
1536,15
1537,31
1538,15
1539,106
1540,15
1541,19
1542,19
1543,67
1544,19
1545,16
1546,16
1547,67
1548,16
1549,16
1550,57
1551,57
1552,57
1553,57
1554,93
1555,93
1556,12
1557,12
1558,93
1559,75
1561,110
1562,114
1563,114
1565,8
1566,95
1567,21
1569,21
1570,62
1571,19
1572,28
1573,50
1575,79
1577,93
1578,31
1579,107
1580,62
1581,62
1582,62
1583,62
1584,34
1587,16
1588,79
1590,2
1591,86
1592,58
1594,19
1595,101
1596,93
1597,54
1598,70
1599,71
1603,107
1604,50
1605,28
1607,50
1608,28
1609,102
1610,107
1611,68
1612,79
1613,79
1614,79
1615,45
1616,10
1617,31
1618,19
1619,73
1620,21
1621,21
1622,107
1623,98
1624,12
1625,31
1626,57
1627,57
1628,93
1634,2
1635,58
1636,19
1637,19
1638,73
1641,19
1642,119
1644,98
1645,80
1646,53
1647,8
1648,88
1649,109
1651,110
1653,6
1654,19
1656,1
1657,19
1658,1
1662,107
1668,31
1670,18
1671,15
1673,68
1678,108
1689,79
1697,12
1727,119
1728,30
1729,16
1730,2
1731,19
1752,31
1754,15
1755,31
1756,47
1757,68
1758,47
1759,41
1760,79
1762,82
1763,102
1764,86
1765,34
1766,114
1782,46
1783,46
1784,19
1785,19
1786,19
1787,19
1788,19
1789,119
1790,117
1791,95
1792,75
1793,8
1794,12
1795,12
1796,114
1798,101
1799,4
1800,12
1801,88
1802,109
1803,62
1804,21
1805,36
1806,46
1807,31
1808,93
1809,82
1810,31
1811,31
1812,106
1813,114
1814,90
1827,19
1828,19
1831,19
1832,119
1833,119
1836,19
1841,19
1842,19
1844,41
1845,15
1846,114
1847,41
1848,15
1849,47
1852,41
1853,112
1854,52
1855,106
1856,31
1857,15
1859,31
1860,106
1861,79
1862,106
1863,90
1865,79
1866,31
1867,114
1868,79
1869,114
1870,15
1871,47
1872,79
1875,108
1876,55
1877,106
1879,31
1880,41
1881,106
1882,31
1883,50
1884,28
1885,74
1886,106
1887,108
1888,41
1889,41
1890,31
1891,79
1892,107
1895,68
1897,114
1902,114
1903,112
1904,114
1905,114
1906,79
1907,80
1909,1
1910,80
1911,1
1912,47
1913,80
1915,93
1916,2
1917,16
1918,75
1919,119
1920,119
1922,15
1923,19
1924,79
1925,12
1926,15
1927,75
1928,108
1929,36
1930,12
1931,41
1932,6
1933,12
1934,12
1935,12
1936,12
1937,2
1938,114
1939,70
1941,88
1942,79
1943,115
1944,114
1945,108
1946,108
1947,114
1948,15
1949,79
1950,15
1951,58
1962,19
1963,19
1964,119
1966,101
1972,79
1973,106
1976,74
1977,74
1978,117
1981,57
1982,0
1983,82
1984,110
1985,98
1986,82
1988,98
1989,62
