cluster,size,dominant_type,purity,distinct_types
0,206,Trunk,0.6699,5
1,297,Tshirts,0.8923,9
2,858,Casual Shoes,0.5443,6
3,1149,Watches,0.9774,5
4,66,Tracksuits,0.4242,9
5,169,Dresses,0.3728,13
6,374,Casual Shoes,0.8529,5
7,365,Kurtas,0.6822,10
8,139,Handbags,0.6259,10
9,399,Heels,0.406,8
10,473,Shirts,0.9429,7
11,788,Belts,0.9937,3
12,502,Backpacks,0.9223,11
13,344,Perfume and Body Mist,0.9651,7
14,651,Sunglasses,0.9892,4
15,600,Tshirts,0.9367,7
16,294,Casual Shoes,0.4524,9
17,220,Clutches,0.6182,6
18,277,Sweatshirts,0.2744,7
19,1291,Sports Shoes,0.7188,6
20,233,Tops,0.4034,13
21,290,Shorts,0.8966,7
22,465,Socks,0.9828,8
23,227,Tshirts,0.7048,8
24,121,Pendant,0.8843,5
25,217,Ties,0.9816,4
26,306,Bra,0.9673,6
27,451,Kurtas,0.8337,7
28,218,Track Pants,0.5734,11
29,278,Briefs,0.9748,3
30,495,Flip Flops,0.8768,7
31,549,Tshirts,0.8925,9
32,266,Tops,0.3609,9
33,88,Kurta Sets,0.8523,9
34,321,Tops,0.4424,12
35,184,Jeans,0.7065,6
36,733,Formal Shoes,0.5484,8
37,300,Wallets,0.9267,8
38,305,Kurtas,0.6557,10
39,402,Shirts,0.9677,7
40,1084,Watches,0.9825,6
41,344,Tshirts,0.8866,6
42,397,Heels,0.6096,6
43,264,Earrings,0.928,6
44,112,Bangle,0.5089,7
45,309,Tshirts,0.9482,4
46,463,Sandals,0.7235,8
47,351,Tshirts,0.7037,14
48,241,Tops,0.4357,14
49,310,Wallets,0.9258,9
50,196,Track Pants,0.6429,8
51,306,Trousers,0.7353,4
52,318,Tshirts,0.5566,6
53,149,Scarves,0.6443,9
54,410,Handbags,0.7317,11
55,384,Shirts,0.625,7
56,113,Accessory Gift Set,0.9381,5
57,69,Gloves,0.2899,15
58,237,Casual Shoes,0.6709,7
59,110,Necklace and Chains,0.5182,6
60,289,Shirts,0.8754,9
61,776,Heels,0.7281,7
62,314,Tops,0.5924,15
63,313,Jeans,0.9457,7
64,88,Ring,0.9773,3
65,175,Sarees,0.8686,7
66,209,Dupatta,0.5359,9
67,349,Flip Flops,0.6275,10
68,356,Sweatshirts,0.2388,13
69,218,Handbags,0.8349,12
70,181,Handbags,0.7901,8
71,213,Handbags,0.8638,7
72,251,Wallets,0.6853,8
73,157,Shorts,0.4395,17
74,157,Shorts,0.6815,8
75,183,Backpacks,0.8415,12
76,344,Kurtas,0.8081,7
77,40,Suspenders,1.0,1
78,305,Sandals,0.718,8
79,703,Tshirts,0.9587,5
80,296,Tshirts,0.8784,8
81,250,Deodorant,0.5,4
82,374,Tops,0.4599,9
83,289,Shirts,0.9446,7
84,229,Trousers,0.9389,5
85,450,Casual Shoes,0.5244,8
86,198,Capris,0.4242,11
87,315,Deodorant,0.5206,4
88,119,Handbags,0.7815,10
89,227,Dresses,0.6652,13
90,245,Tshirts,0.9061,6
91,76,Night suits,0.8816,7
92,45,Cufflinks,0.9778,2
93,77,Shoe Accessories,0.2987,15
94,154,Tshirts,0.7403,9
95,257,Caps,0.9728,5
96,361,Briefs,0.9945,2
97,232,Kurtas,0.5388,7
98,290,Tshirts,0.7276,17
99,150,Socks,0.96,3
100,175,Leggings,0.7086,10
101,181,Innerwear Vests,0.8619,6
102,315,Tops,0.4984,11
103,27,Camisoles,0.4444,5
104,61,Salwar,0.5246,4
105,324,Handbags,0.8981,8
106,510,Tshirts,0.8922,7
107,289,Shirts,0.3322,12
108,338,Tshirts,0.8639,7
109,375,Casual Shoes,0.5547,7
110,362,Tshirts,0.4945,9
111,707,Shirts,0.9844,5
112,220,Tshirts,0.8864,7
113,211,Kurtas,0.6256,12
114,567,Tshirts,0.9436,5
115,151,Handbags,0.543,11
116,405,Sunglasses,0.9926,2
117,244,Tshirts,0.627,17
118,82,Nail Polish,0.2317,14
119,735,Casual Shoes,0.5333,4
