articleType,labelled_rows,graded_rows,labelled_mean_conf,graded_mean_conf,conf_drop
Perfume and Body Mist,149,395,0.883,0.557,0.326
Pendant,59,61,0.848,0.562,0.286
Sports Shoes,552,50,0.851,0.646,0.204
Night suits,25,70,0.796,0.642,0.155
Shirts,885,148,0.909,0.76,0.149
Socks,180,85,0.918,0.785,0.134
Tshirts,1983,312,0.905,0.771,0.134
Clutches,48,53,0.828,0.708,0.12
Wallets,256,149,0.885,0.781,0.105
Earrings,107,187,0.939,0.842,0.097
Deodorant,93,104,0.822,0.728,0.094
Kurtas,465,288,0.869,0.788,0.082
Sarees,46,280,0.903,0.828,0.076
Tops,503,239,0.756,0.682,0.075
Jeans,169,67,0.817,0.75,0.067
Casual Shoes,789,152,0.84,0.795,0.045
Dresses,99,261,0.76,0.716,0.044
Briefs,187,187,0.94,0.91,0.03
Flats,94,107,0.585,0.558,0.027
Handbags,426,338,0.874,0.85,0.024
Heels,301,257,0.764,0.741,0.023
Ties,59,50,0.97,0.95,0.02
Bra,82,190,0.942,0.925,0.017
Watches,654,310,0.935,0.921,0.014
Formal Shoes,176,67,0.868,0.885,-0.017
