articleType,recall,eval_rows,source,graded_prior_pct
Accessory Gift Set,1.0,15,adopted test split,0.1056435311728674
Backpacks,0.9207920792079208,101,adopted test split,0.4633988751978831
Bangle,0.6970000000000001,33,out-of-fold CV,0.27126927932140854
Basketballs,0.7778,9,out-of-fold CV,0.09442811932323006
Belts,1.0,113,adopted test split,0.5190432283220383
Booties,1.0,8,out-of-fold CV,0.07107929976471254
Boxers,0.68,25,out-of-fold CV,0.31553433400559067
Bra,0.9285714285714286,42,adopted test split,4.857478366985685
Bracelet,0.2857,42,out-of-fold CV,0.4743942858974041
Briefs,0.9263157894736842,95,adopted test split,4.2381278462498315
Camisoles,0.3,10,out-of-fold CV,0.09442811932323006
Capris,0.391304347826087,23,adopted test split,0.2836782380971763
Caps,0.8974358974358975,39,adopted test split,0.17988570336924709
Casual Shoes,0.8328981723237598,383,adopted test split,2.059933216645732
Churidar,0.6,20,out-of-fold CV,0.148737513731503
Clutches,0.5806451612903226,31,adopted test split,1.4727640060415368
Cufflinks,1.0,32,out-of-fold CV,0.45617482734041476
Deodorant,0.9523809523809523,42,adopted test split,2.15732776150292
Dresses,0.7346938775510204,49,adopted test split,5.632850500682929
Duffel Bag,0.6666666666666666,12,adopted test split,0.11083633636657977
Dupatta,0.7058823529411765,17,adopted test split,0.11177530631336698
Earrings,1.0,82,adopted test split,2.8138362732670217
Flats,0.4,60,adopted test split,4.907281145071517
Flip Flops,0.8943089430894309,123,adopted test split,0.5628289488131769
Formal Shoes,0.9080459770114943,87,adopted test split,1.5367307278381113
Foundation and Primer,0.875,8,out-of-fold CV,0.08256235423761696
Fragrance Gift Set,0.375,8,adopted test split,0.1290462961507298
Free Gifts,0.0,10,adopted test split,0.6947089231555624
Gloves,0.9375,16,out-of-fold CV,0.12534953375027152
Handbags,0.9121951219512195,205,adopted test split,6.718788485660082
Heels,0.785234899328859,149,adopted test split,3.721702088260117
Innerwear Vests,0.8529411764705882,34,adopted test split,0.16553779309422703
Jackets,0.5151515151515151,33,adopted test split,1.2514069686826916
Jeans,0.8875,80,adopted test split,1.078162447863846
Jeggings,0.0556,18,out-of-fold CV,0.21510436752607545
Jewellery Set,0.875,16,out-of-fold CV,0.4912232882550757
Jumpsuit,0.125,8,out-of-fold CV,0.07107929976471254
Kajal and Eyeliner,1.0,8,out-of-fold CV,0.08256235423761696
Kurta Sets,1.0,10,adopted test split,0.6332378259747645
Kurtas,0.9596412556053812,223,adopted test split,4.813506018664848
Kurtis,0.27586206896551724,29,adopted test split,0.16396341494839872
Laptop Bag,0.36363636363636365,11,adopted test split,0.11959887928337024
Leggings,0.7391304347826086,23,adopted test split,0.6471729062464247
Lip Liner,0.5,8,out-of-fold CV,0.07107929976471254
Lipstick,1.0,10,out-of-fold CV,0.10665028815731208
Lounge Pants,0.125,8,adopted test split,0.21348770648985754
Lounge Shorts,0.1364,22,out-of-fold CV,0.29074814623556483
Messenger Bag,0.16666666666666666,6,adopted test split,0.1978296841349849
Mobile Pouch,0.7142857142857143,7,adopted test split,0.3948137468304102
Mufflers,0.5417000000000001,24,out-of-fold CV,0.09877819509686236
Nail Polish,0.9231,13,out-of-fold CV,0.14524709961772167
Necklace and Chains,1.0,9,adopted test split,0.6371299971673422
Night suits,0.7,10,adopted test split,0.7325847291566873
Nightdress,0.16666666666666666,6,adopted test split,0.35483409597946125
Patiala,0.9,20,out-of-fold CV,0.20034874166765343
Pendant,0.6666666666666666,6,adopted test split,0.9528430392695144
Perfume and Body Mist,0.8860759493670886,79,adopted test split,9.099220039564734
Ring,0.8448,58,out-of-fold CV,0.47781508712145687
Rompers,0.8889,9,out-of-fold CV,0.07107929976471254
Rucksacks,0.0,8,out-of-fold CV,0.08256235423761696
Salwar,0.7143,21,out-of-fold CV,0.1471233791791143
Sandals,0.8617886178861789,123,adopted test split,0.5821849722729034
Sarees,0.9545454545454546,22,adopted test split,2.094908580262586
Scarves,0.7333333333333333,15,adopted test split,0.095310744277965
Shirts,0.9546485260770975,441,adopted test split,2.011406535061678
Shoe Accessories,0.3333,15,out-of-fold CV,0.1864052517188557
Shorts,0.9333333333333333,75,adopted test split,0.34298814384725207
Skirts,0.7647058823529411,17,adopted test split,0.20491635430346572
Socks,0.9772727272727273,88,adopted test split,1.5818877305002261
Sports Sandals,0.2222222222222222,9,adopted test split,0.22143720966254538
Sports Shoes,0.8415492957746479,284,adopted test split,1.2980641720602122
Stockings,0.619,21,out-of-fold CV,0.11363779321904653
Stoles,0.8461538461538461,13,adopted test split,0.08223588931860068
Sunglasses,1.0,149,adopted test split,0.6832396801638081
Suspenders,0.9523999999999999,21,out-of-fold CV,0.10629771158785024
Sweaters,0.6153846153846154,39,adopted test split,0.18052587787096647
Sweatshirts,0.6,40,adopted test split,0.1824405020464107
Swimwear,0.2727,11,out-of-fold CV,0.11920655538581953
Ties,1.0,30,adopted test split,1.325400700878334
Tops,0.7652173913043478,230,adopted test split,4.232460616750198
Track Pants,0.9047619047619048,42,adopted test split,0.19247472965896328
Tracksuits,0.95,20,out-of-fold CV,0.16321773115723776
Travel Accessory,0.0,9,out-of-fold CV,0.09442811932323006
Trousers,0.8904109589041096,73,adopted test split,0.3347783212551636
Trunk,1.0,20,adopted test split,0.11240697001648473
Tshirts,0.9504132231404959,968,adopted test split,4.417796757053835
Tunics,0.4,25,adopted test split,0.9889678922024683
Waist Pouch,0.0833,12,out-of-fold CV,0.13207773046228988
Waistcoat,0.3333,9,out-of-fold CV,0.09442811932323006
Wallets,0.9830508474576272,118,adopted test split,2.497283947448153
Watches,0.9906832298136646,322,adopted test split,5.83775139530825
Water Bottle,0.375,8,out-of-fold CV,0.07107929976471254
