articleType,train_rows,train_prior_pct,argmax_raw_pct,argmax_adjusted_pct,em_prior_pct,em_unguarded_pct,bbse_prior_pct,bbse_condition_number,bbse_smallest_singular
Perfume and Body Mist,399,1.4513,6.7765,5.7814,9.0992,0.1499,4.9169,5.666812284221422e+18,0.0
Handbags,1029,3.7428,5.7986,5.5241,6.7188,1.6956,3.0327,5.666812284221422e+18,0.0
Watches,1609,5.8524,5.3182,5.2496,5.8378,0.0,4.302,5.666812284221422e+18,0.0
Dresses,247,0.8984,4.4776,4.409,5.6329,1.6577,3.7576,5.666812284221422e+18,0.0
Flats,299,1.0875,1.8356,2.093,4.9073,1.0939,3.0753,5.666812284221422e+18,0.0
Bra,213,0.7747,3.2596,3.2596,4.8575,2.7371,3.0035,5.666812284221422e+18,0.0
Kurtas,1111,4.041,4.9408,4.6663,4.8135,0.0866,3.9101,5.666812284221422e+18,0.0
Tshirts,4843,17.6154,5.3525,4.7521,4.4178,0.0,3.8691,5.666812284221422e+18,0.0
Briefs,478,1.7386,3.2081,3.2081,4.2381,1.6061,3.0878,5.666812284221422e+18,0.0
Tops,1154,4.1974,4.1002,3.8772,4.2325,0.0,4.6738,5.666812284221422e+18,0.0
Heels,750,2.728,4.409,4.0659,3.7217,1.4734,3.5626,5.666812284221422e+18,0.0
Earrings,138,0.5019,3.2081,3.0709,2.8138,2.5212,3.2803,5.666812284221422e+18,0.0
Wallets,593,2.1569,2.5562,2.4189,2.4973,0.036,2.1914,5.666812284221422e+18,0.0
Deodorant,210,0.7638,1.7842,1.6984,2.1573,0.3931,1.4234,5.666812284221422e+18,0.0
Sarees,110,0.4001,4.8036,4.7349,2.0949,4.1982,3.8543,5.666812284221422e+18,0.0
Casual Shoes,1917,6.9727,2.6077,2.4704,2.0599,0.0,1.8954,5.666812284221422e+18,0.0
Shirts,2205,8.0202,2.539,2.3846,2.0114,0.0,2.0613,5.666812284221422e+18,0.0
Socks,438,1.5931,1.4582,1.3553,1.5819,0.109,1.3301,5.666812284221422e+18,0.0
Formal Shoes,436,1.5859,1.1494,1.1837,1.5367,0.2564,1.1269,5.666812284221422e+18,0.0
Clutches,160,0.582,0.9092,0.9436,1.4728,0.3717,1.1173,5.666812284221422e+18,0.0
Ties,154,0.5601,0.8578,0.8578,1.3254,0.3579,0.8931,5.666812284221422e+18,0.0
Sports Shoes,1423,5.1759,0.8578,0.8063,1.2981,0.0,0.5941,5.666812284221422e+18,0.0
Jackets,163,0.5929,0.7034,0.7548,1.2514,0.0794,1.4022,5.666812284221422e+18,0.0
Jeans,399,1.4513,1.1494,1.0808,1.0782,0.094,0.0,5.666812284221422e+18,0.0
Tunics,125,0.4547,0.4632,0.6348,0.989,0.0,1.018,5.666812284221422e+18,0.0
Pendant,60,0.2182,1.0465,1.098,0.9528,0.3207,0.6808,5.666812284221422e+18,0.0
Night suits,49,0.1782,1.2009,1.1837,0.7326,0.0709,0.0,5.666812284221422e+18,0.0
Free Gifts,50,0.1819,0.0343,0.1029,0.6947,0.0,0.7006,5.666812284221422e+18,0.0
Sunglasses,749,2.7243,0.4804,0.4632,0.6832,0.0,0.3096,5.666812284221422e+18,0.0
Leggings,114,0.4147,0.4804,0.446,0.6472,0.0,0.0,5.666812284221422e+18,0.0
Necklace and Chains,44,0.16,1.3381,1.3896,0.6371,1.186,1.4898,5.666812284221422e+18,0.0
Kurta Sets,55,0.2001,0.4804,0.4632,0.6332,0.0,0.0,5.666812284221422e+18,0.0
Sandals,619,2.2515,0.6862,0.7034,0.5822,0.0,0.4457,5.666812284221422e+18,0.0
Flip Flops,617,2.2442,0.8406,0.8406,0.5628,0.0,0.4384,5.666812284221422e+18,0.0
Belts,569,2.0696,0.5833,0.6004,0.519,0.0,0.313,5.666812284221422e+18,0.0
Jewellery Set,36,0.1309,0.3088,0.326,0.4912,0.0506,0.3803,5.666812284221422e+18,0.0
Ring,84,0.3055,0.3946,0.4117,0.4778,0.0,0.0,5.666812284221422e+18,0.0
Bracelet,40,0.1455,0.326,0.326,0.4744,0.2751,0.6225,5.666812284221422e+18,0.0
Backpacks,508,1.8477,0.4632,0.4289,0.4634,0.0,0.1217,5.666812284221422e+18,0.0
Cufflinks,34,0.1237,0.995,0.9779,0.4562,1.0909,0.7418,5.666812284221422e+18,0.0
Mobile Pouch,33,0.12,0.1544,0.2059,0.3948,0.0,0.3478,5.666812284221422e+18,0.0
Nightdress,28,0.1018,0.3774,0.5661,0.3548,0.4988,2.4056,5.666812284221422e+18,0.0
Shorts,376,1.3676,0.3431,0.3431,0.343,0.0,0.0,5.666812284221422e+18,0.0
Trousers,367,1.3349,0.3431,0.3431,0.3348,0.0,0.2087,5.666812284221422e+18,0.0
Boxers,28,0.1018,0.223,0.223,0.3155,0.1147,0.2849,5.666812284221422e+18,0.0
Lounge Shorts,24,0.0873,0.0858,0.1029,0.2907,0.0,0.0,5.666812284221422e+18,0.0
Capris,115,0.4183,0.2745,0.2916,0.2837,0.0009,0.0971,5.666812284221422e+18,0.0
Bangle,48,0.1746,0.1201,0.1201,0.2713,0.0,0.0,5.666812284221422e+18,0.0
Sports Sandals,45,0.1637,0.0343,0.0343,0.2214,0.0,0.1086,5.666812284221422e+18,0.0
Jeggings,19,0.0691,0.0343,0.1029,0.2151,0.0,0.0,5.666812284221422e+18,0.0
Lounge Pants,38,0.1382,0.0343,0.0343,0.2135,0.0,0.0,5.666812284221422e+18,0.0
Skirts,83,0.3019,0.1544,0.1716,0.2049,0.0,0.0,5.666812284221422e+18,0.0
Patiala,19,0.0691,0.1716,0.1716,0.2003,0.0,0.0461,5.666812284221422e+18,0.0
Messenger Bag,31,0.1128,0.0172,0.0172,0.1978,0.0,0.2313,5.666812284221422e+18,0.0
Track Pants,211,0.7675,0.0515,0.0515,0.1925,0.0,0.0,5.666812284221422e+18,0.0
Shoe Accessories,17,0.0618,0.4117,0.6004,0.1864,0.0,1.183,5.666812284221422e+18,0.0
Sweatshirts,200,0.7275,0.0515,0.0515,0.1824,0.0,0.0,5.666812284221422e+18,0.0
Sweaters,197,0.7165,0.0343,0.0515,0.1805,0.0,0.0,5.666812284221422e+18,0.0
Caps,196,0.7129,0.1887,0.1887,0.1799,0.0,0.0974,5.666812284221422e+18,0.0
Innerwear Vests,174,0.6329,0.1029,0.1029,0.1655,0.0,0.1793,5.666812284221422e+18,0.0
Kurtis,145,0.5274,0.1372,0.2916,0.164,0.0,0.1449,5.666812284221422e+18,0.0
Tracksuits,20,0.0727,0.0515,0.0686,0.1632,0.0,0.0,5.666812284221422e+18,0.0
Churidar,22,0.08,0.0,0.0,0.1487,0.0,0.1183,5.666812284221422e+18,0.0
Salwar,22,0.08,0.0,0.0,0.1471,0.0,0.0,5.666812284221422e+18,0.0
Nail Polish,14,0.0509,1.9729,2.1616,0.1452,0.6225,1.5182,5.666812284221422e+18,0.0
Waist Pouch,13,0.0473,0.0172,0.0686,0.1321,0.0206,0.0,5.666812284221422e+18,0.0
Fragrance Gift Set,40,0.1455,0.1029,0.1372,0.129,0.0,0.0,5.666812284221422e+18,0.0
Gloves,14,0.0509,0.0,0.0515,0.1253,0.0,0.0407,5.666812284221422e+18,0.0
Laptop Bag,57,0.2073,0.0343,0.0686,0.1196,0.0,0.0,5.666812284221422e+18,0.0
Swimwear,12,0.0436,0.0172,0.0515,0.1192,0.0,0.3261,5.666812284221422e+18,0.0
Stockings,14,0.0509,0.0,0.0,0.1136,0.0,12.2943,5.666812284221422e+18,0.0
Trunk,100,0.3637,0.0858,0.0858,0.1124,0.0,0.0,5.666812284221422e+18,0.0
Dupatta,83,0.3019,0.0515,0.1372,0.1118,0.0,0.2262,5.666812284221422e+18,0.0
Duffel Bag,62,0.2255,0.0858,0.1201,0.1108,0.0,0.0669,5.666812284221422e+18,0.0
Lipstick,11,0.04,4.6663,5.0437,0.1067,9.2527,2.3657,5.666812284221422e+18,0.0
Suspenders,30,0.1091,0.0,0.0,0.1063,0.0,0.0,5.666812284221422e+18,0.0
Accessory Gift Set,76,0.2764,0.223,0.1544,0.1056,0.0,0.1469,5.666812284221422e+18,0.0
Mufflers,28,0.1018,0.0,0.0,0.0988,0.0,0.0501,5.666812284221422e+18,0.0
Scarves,79,0.2873,0.0,0.0343,0.0953,0.0,0.0022,5.666812284221422e+18,0.0
Basketballs,10,0.0364,0.223,0.2573,0.0944,0.0,0.1314,5.666812284221422e+18,0.0
Travel Accessory,10,0.0364,0.0,0.0172,0.0944,0.0,0.0558,5.666812284221422e+18,0.0
Waistcoat,10,0.0364,0.0,0.0,0.0944,0.0,0.2567,5.666812284221422e+18,0.0
Camisoles,10,0.0364,0.0,0.0,0.0944,0.0,0.0,5.666812284221422e+18,0.0
Foundation and Primer,9,0.0327,0.8235,1.8528,0.0826,22.7363,0.9873,5.666812284221422e+18,0.0
Rucksacks,9,0.0327,0.0,0.0,0.0826,0.0,0.2982,5.666812284221422e+18,0.0
Kajal and Eyeliner,9,0.0327,2.7277,2.9851,0.0826,7.7385,4.2114,5.666812284221422e+18,0.0
Stoles,64,0.2328,0.0343,0.0686,0.0822,0.0,0.0182,5.666812284221422e+18,0.0
Booties,8,0.0291,0.0,0.0,0.0711,0.0,0.0482,5.666812284221422e+18,0.0
Rompers,8,0.0291,0.0,0.0172,0.0711,0.0,0.0434,5.666812284221422e+18,0.0
Lip Liner,8,0.0291,1.3038,1.3724,0.0711,20.0635,1.2206,5.666812284221422e+18,0.0
Jumpsuit,8,0.0291,0.0515,0.1372,0.0711,17.0403,0.4857,5.666812284221422e+18,0.0
Water Bottle,8,0.0291,0.0,0.0,0.0711,0.0,0.1293,5.666812284221422e+18,0.0
