checkpoint,severity,ingest,rows,accuracy,weighted_f1,macro_f1,balanced_acc,top3_acc,mean_conf
task1_cnn.pt,clean,squash,790,87.85,87.45,72.27,74.95,97.85,0.83
task1_cnn.pt,clean,nobg,790,79.11,79.0,62.35,63.93,92.03,0.68
task1_cnn.pt,mild,squash,790,9.24,8.34,1.68,2.97,14.3,0.3
task1_cnn.pt,mild,nobg,790,31.9,33.96,15.27,15.8,43.04,0.4
task1_cnn.pt,moderate,squash,790,6.58,6.47,1.41,2.4,12.91,0.29
task1_cnn.pt,moderate,nobg,790,19.62,23.33,9.15,8.22,29.37,0.33
task1_cnn.pt,severe,squash,790,6.58,5.13,1.02,2.17,12.78,0.28
task1_cnn.pt,severe,nobg,790,10.51,10.56,5.17,5.07,16.2,0.32
candidate_cutout.pt,clean,squash,790,87.72,87.36,71.23,74.03,97.85,0.74
candidate_cutout.pt,clean,nobg,790,81.39,80.69,60.64,63.48,93.67,0.63
candidate_cutout.pt,mild,squash,790,4.68,5.12,0.91,2.09,10.63,0.3
candidate_cutout.pt,mild,nobg,790,31.01,36.05,17.42,17.76,40.63,0.38
candidate_cutout.pt,moderate,squash,790,4.05,4.7,0.82,2.71,7.34,0.33
candidate_cutout.pt,moderate,nobg,790,19.49,25.39,11.46,11.22,26.71,0.35
candidate_cutout.pt,severe,squash,790,3.16,3.02,0.53,1.31,8.23,0.32
candidate_cutout.pt,severe,nobg,790,9.11,10.38,5.07,4.13,14.94,0.31
candidate_webphoto.pt,clean,squash,790,85.06,83.78,67.79,69.74,97.22,0.72
candidate_webphoto.pt,clean,nobg,790,83.67,82.28,65.4,66.35,95.57,0.68
candidate_webphoto.pt,mild,squash,790,38.73,41.73,23.7,23.37,50.0,0.37
candidate_webphoto.pt,mild,nobg,790,52.41,53.85,36.37,38.15,65.57,0.47
candidate_webphoto.pt,moderate,squash,790,32.03,36.82,17.61,17.99,43.8,0.32
candidate_webphoto.pt,moderate,nobg,790,45.95,50.04,26.08,28.02,59.11,0.4
candidate_webphoto.pt,severe,squash,790,18.48,23.72,13.14,13.6,26.84,0.31
candidate_webphoto.pt,severe,nobg,790,24.81,29.02,16.94,18.95,35.7,0.28
