checkpoint,severity,ingest,rows,accuracy,weighted_f1,macro_f1,balanced_acc,top3_acc,mean_conf
candidate_webphoto.pt,clean,squash,790,85.06,83.78,67.79,69.74,97.22,0.72
candidate_webphoto.pt,clean,nobg,790,83.67,82.28,65.4,66.35,95.57,0.68
candidate_webphoto.pt,mild,squash,790,38.73,41.73,23.7,23.37,50.0,0.37
candidate_webphoto.pt,mild,nobg,790,52.41,53.85,36.37,38.15,65.57,0.47
candidate_webphoto.pt,moderate,squash,790,32.03,36.82,17.61,17.99,43.8,0.32
candidate_webphoto.pt,moderate,nobg,790,45.95,50.04,26.08,28.02,59.11,0.4
candidate_webphoto.pt,severe,squash,790,18.48,23.72,13.14,13.6,26.84,0.31
candidate_webphoto.pt,severe,nobg,790,24.81,29.02,16.94,18.95,35.7,0.28
candidate_webphoto_strong.pt,clean,squash,790,80.76,80.2,61.75,65.66,94.56,0.53
candidate_webphoto_strong.pt,clean,nobg,790,80.51,80.15,62.41,64.72,93.42,0.51
candidate_webphoto_strong.pt,mild,squash,790,30.51,33.18,15.86,20.21,40.13,0.25
candidate_webphoto_strong.pt,mild,nobg,790,47.85,49.77,31.33,35.98,58.48,0.34
candidate_webphoto_strong.pt,moderate,squash,790,26.46,31.67,14.47,16.12,39.49,0.25
candidate_webphoto_strong.pt,moderate,nobg,790,43.04,47.18,22.77,24.38,54.3,0.31
candidate_webphoto_strong.pt,severe,squash,790,16.71,21.31,8.91,11.13,24.05,0.26
candidate_webphoto_strong.pt,severe,nobg,790,24.05,28.13,16.05,20.52,32.53,0.23
