scenario,repeat,alpha,n,true_shift_tv,estimate_error_tv,em_iters,em_converged,accuracy,weighted_f1,macro_f1,caveat
null,0,0.0,4000,5.2,4.08,53,True,88.12,87.67,74.43,no shift; correction must not hurt
null,0,0.25,4000,5.2,4.08,53,True,88.08,87.62,75.31,no shift; correction must not hurt
null,0,0.5,4000,5.2,4.08,53,True,88.15,87.72,74.93,no shift; correction must not hurt
null,0,0.75,4000,5.2,4.08,53,True,88.2,87.76,75.03,no shift; correction must not hurt
null,0,1.0,4000,5.2,4.08,53,True,88.08,87.55,74.55,no shift; correction must not hurt
null,1,0.0,4000,4.44,3.66,45,True,87.58,86.98,72.81,no shift; correction must not hurt
null,1,0.25,4000,4.44,3.66,45,True,87.6,86.99,72.63,no shift; correction must not hurt
null,1,0.5,4000,4.44,3.66,45,True,87.6,86.97,72.46,no shift; correction must not hurt
null,1,0.75,4000,4.44,3.66,45,True,87.58,86.96,72.16,no shift; correction must not hurt
null,1,1.0,4000,4.44,3.66,45,True,87.67,87.03,71.97,no shift; correction must not hurt
null,2,0.0,4000,3.77,3.74,56,True,88.15,87.39,70.03,no shift; correction must not hurt
null,2,0.25,4000,3.77,3.74,56,True,88.15,87.36,70.44,no shift; correction must not hurt
null,2,0.5,4000,3.77,3.74,56,True,88.17,87.39,70.54,no shift; correction must not hurt
null,2,0.75,4000,3.77,3.74,56,True,88.15,87.33,70.03,no shift; correction must not hurt
null,2,1.0,4000,3.77,3.74,56,True,88.08,87.25,70.4,no shift; correction must not hurt
null,3,0.0,4000,4.4,3.97,61,True,88.67,88.09,75.22,no shift; correction must not hurt
null,3,0.25,4000,4.4,3.97,61,True,88.67,88.09,75.22,no shift; correction must not hurt
null,3,0.5,4000,4.4,3.97,61,True,88.7,88.15,75.61,no shift; correction must not hurt
null,3,0.75,4000,4.4,3.97,61,True,88.55,88.02,75.7,no shift; correction must not hurt
null,3,1.0,4000,4.4,3.97,61,True,88.42,87.87,75.02,no shift; correction must not hurt
null,4,0.0,4000,5.46,3.72,68,True,88.72,88.2,73.37,no shift; correction must not hurt
null,4,0.25,4000,5.46,3.72,68,True,88.8,88.28,73.51,no shift; correction must not hurt
null,4,0.5,4000,5.46,3.72,68,True,88.75,88.21,73.36,no shift; correction must not hurt
null,4,0.75,4000,5.46,3.72,68,True,88.62,88.09,73.2,no shift; correction must not hurt
null,4,1.0,4000,5.46,3.72,68,True,88.55,87.99,72.87,no shift; correction must not hurt
null,5,0.0,4000,4.53,3.77,44,True,87.95,87.39,69.98,no shift; correction must not hurt
null,5,0.25,4000,4.53,3.77,44,True,87.95,87.4,69.81,no shift; correction must not hurt
null,5,0.5,4000,4.53,3.77,44,True,87.95,87.42,70.2,no shift; correction must not hurt
null,5,0.75,4000,4.53,3.77,44,True,88.02,87.51,71.47,no shift; correction must not hurt
null,5,1.0,4000,4.53,3.77,44,True,88.02,87.54,71.33,no shift; correction must not hurt
null,6,0.0,4000,4.2,4.21,55,True,86.9,86.23,72.39,no shift; correction must not hurt
null,6,0.25,4000,4.2,4.21,55,True,86.85,86.18,72.42,no shift; correction must not hurt
null,6,0.5,4000,4.2,4.21,55,True,86.9,86.23,71.7,no shift; correction must not hurt
null,6,0.75,4000,4.2,4.21,55,True,86.92,86.27,71.36,no shift; correction must not hurt
null,6,1.0,4000,4.2,4.21,55,True,86.72,86.09,71.56,no shift; correction must not hurt
null,7,0.0,4000,4.33,3.53,58,True,88.35,87.97,71.14,no shift; correction must not hurt
null,7,0.25,4000,4.33,3.53,58,True,88.35,87.94,70.78,no shift; correction must not hurt
null,7,0.5,4000,4.33,3.53,58,True,88.35,87.92,71.05,no shift; correction must not hurt
null,7,0.75,4000,4.33,3.53,58,True,88.33,87.87,71.05,no shift; correction must not hurt
null,7,1.0,4000,4.33,3.53,58,True,88.45,88.03,71.55,no shift; correction must not hurt
synthetic_common,0,0.0,4000,71.41,33.15,42,True,78.8,81.45,75.31,classes with >=25 eval rows only; duplication-free
synthetic_common,0,0.25,4000,71.41,33.15,42,True,81.03,83.03,77.24,classes with >=25 eval rows only; duplication-free
synthetic_common,0,0.5,4000,71.41,33.15,42,True,82.85,84.31,78.97,classes with >=25 eval rows only; duplication-free
synthetic_common,0,0.75,4000,71.41,33.15,42,True,84.2,85.13,80.24,classes with >=25 eval rows only; duplication-free
synthetic_common,0,1.0,4000,71.41,33.15,42,True,84.78,85.35,81.13,classes with >=25 eval rows only; duplication-free
synthetic_common,1,0.0,4000,72.03,34.36,42,True,78.97,82.06,76.28,classes with >=25 eval rows only; duplication-free
synthetic_common,1,0.25,4000,72.03,34.36,42,True,81.12,83.69,77.76,classes with >=25 eval rows only; duplication-free
synthetic_common,1,0.5,4000,72.03,34.36,42,True,82.67,84.5,79.02,classes with >=25 eval rows only; duplication-free
synthetic_common,1,0.75,4000,72.03,34.36,42,True,84.2,85.52,80.17,classes with >=25 eval rows only; duplication-free
synthetic_common,1,1.0,4000,72.03,34.36,42,True,84.67,85.69,80.69,classes with >=25 eval rows only; duplication-free
synthetic_common,2,0.0,4000,72.95,33.97,43,True,78.57,81.51,75.68,classes with >=25 eval rows only; duplication-free
synthetic_common,2,0.25,4000,72.95,33.97,43,True,80.88,83.22,77.84,classes with >=25 eval rows only; duplication-free
synthetic_common,2,0.5,4000,72.95,33.97,43,True,82.58,84.25,79.09,classes with >=25 eval rows only; duplication-free
synthetic_common,2,0.75,4000,72.95,33.97,43,True,83.95,85.04,80.77,classes with >=25 eval rows only; duplication-free
synthetic_common,2,1.0,4000,72.95,33.97,43,True,84.4,85.31,81.86,classes with >=25 eval rows only; duplication-free
synthetic_common,3,0.0,4000,72.27,32.98,44,True,77.53,80.88,74.61,classes with >=25 eval rows only; duplication-free
synthetic_common,3,0.25,4000,72.27,32.98,44,True,80.42,83.12,77.01,classes with >=25 eval rows only; duplication-free
synthetic_common,3,0.5,4000,72.27,32.98,44,True,82.3,84.28,78.68,classes with >=25 eval rows only; duplication-free
synthetic_common,3,0.75,4000,72.27,32.98,44,True,83.65,85.13,80.23,classes with >=25 eval rows only; duplication-free
synthetic_common,3,1.0,4000,72.27,32.98,44,True,84.72,85.86,81.02,classes with >=25 eval rows only; duplication-free
synthetic_common,4,0.0,4000,71.21,32.46,42,True,79.05,81.81,76.04,classes with >=25 eval rows only; duplication-free
synthetic_common,4,0.25,4000,71.21,32.46,42,True,81.05,83.21,77.66,classes with >=25 eval rows only; duplication-free
synthetic_common,4,0.5,4000,71.21,32.46,42,True,82.4,83.96,78.65,classes with >=25 eval rows only; duplication-free
synthetic_common,4,0.75,4000,71.21,32.46,42,True,83.35,84.46,79.67,classes with >=25 eval rows only; duplication-free
synthetic_common,4,1.0,4000,71.21,32.46,42,True,84.38,85.16,80.57,classes with >=25 eval rows only; duplication-free
synthetic_common,5,0.0,4000,72.11,33.42,41,True,78.88,82.0,75.84,classes with >=25 eval rows only; duplication-free
synthetic_common,5,0.25,4000,72.11,33.42,41,True,81.23,83.65,77.5,classes with >=25 eval rows only; duplication-free
synthetic_common,5,0.5,4000,72.11,33.42,41,True,83.15,84.9,78.93,classes with >=25 eval rows only; duplication-free
synthetic_common,5,0.75,4000,72.11,33.42,41,True,84.95,86.07,80.55,classes with >=25 eval rows only; duplication-free
synthetic_common,5,1.0,4000,72.11,33.42,41,True,85.38,86.16,81.93,classes with >=25 eval rows only; duplication-free
synthetic_common,6,0.0,4000,71.53,33.23,43,True,78.95,81.84,74.96,classes with >=25 eval rows only; duplication-free
synthetic_common,6,0.25,4000,71.53,33.23,43,True,81.12,83.44,76.8,classes with >=25 eval rows only; duplication-free
synthetic_common,6,0.5,4000,71.53,33.23,43,True,82.55,84.25,78.07,classes with >=25 eval rows only; duplication-free
synthetic_common,6,0.75,4000,71.53,33.23,43,True,83.75,84.95,79.26,classes with >=25 eval rows only; duplication-free
synthetic_common,6,1.0,4000,71.53,33.23,43,True,84.4,85.32,80.45,classes with >=25 eval rows only; duplication-free
synthetic_common,7,0.0,4000,71.92,34.3,42,True,79.15,81.67,75.43,classes with >=25 eval rows only; duplication-free
synthetic_common,7,0.25,4000,71.92,34.3,42,True,81.03,82.97,76.75,classes with >=25 eval rows only; duplication-free
synthetic_common,7,0.5,4000,71.92,34.3,42,True,82.47,83.94,78.09,classes with >=25 eval rows only; duplication-free
synthetic_common,7,0.75,4000,71.92,34.3,42,True,83.75,84.75,79.67,classes with >=25 eval rows only; duplication-free
synthetic_common,7,1.0,4000,71.92,34.3,42,True,84.85,85.51,81.15,classes with >=25 eval rows only; duplication-free
reversed,0,0.0,4000,89.1,74.88,38,True,58.27,61.89,54.96,extreme shift; stress test
reversed,0,0.25,4000,89.1,74.88,38,True,61.8,65.95,59.85,extreme shift; stress test
reversed,0,0.5,4000,89.1,74.88,38,True,64.9,68.3,62.86,extreme shift; stress test
reversed,0,0.75,4000,89.1,74.88,38,True,65.72,68.79,63.2,extreme shift; stress test
reversed,0,1.0,4000,89.1,74.88,38,True,65.72,68.78,64.08,extreme shift; stress test
reversed,1,0.0,4000,88.96,74.36,38,True,60.95,63.87,54.94,extreme shift; stress test
reversed,1,0.25,4000,88.96,74.36,38,True,63.45,66.74,59.41,extreme shift; stress test
reversed,1,0.5,4000,88.96,74.36,38,True,66.57,69.34,63.58,extreme shift; stress test
reversed,1,0.75,4000,88.96,74.36,38,True,67.53,70.11,64.91,extreme shift; stress test
reversed,1,1.0,4000,88.96,74.36,38,True,67.58,70.07,65.25,extreme shift; stress test
reversed,2,0.0,4000,89.2,73.86,38,True,59.9,63.41,55.19,extreme shift; stress test
reversed,2,0.25,4000,89.2,73.86,38,True,61.8,66.01,59.15,extreme shift; stress test
