repeat,file,ingest,truth,truth_family,predicted,confidence,predicted_family,top3,correct,family_correct,in_top3
0,1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,nobg,Dresses,Dress,Dresses,0.3432,Dress,Dresses | Kurta Sets | Sarees,True,True,True
0,1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,squash,Dresses,Dress,Dresses,0.138,Topwear,Dresses | Shirts | Tops,True,False,True
0,25637193-carousel-block-earrings-v1.webp,nobg,Earrings,Jewellery,Sunglasses,0.3935,Eyewear,Sunglasses | Socks | Scarves,False,False,False
0,25637193-carousel-block-earrings-v1.webp,squash,Earrings,Jewellery,Kurtas,0.2045,Topwear,Kurtas | Dupatta | Stoles,False,False,False
0,3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,nobg,Socks,Socks,Socks,0.9707,Socks,Socks | Sports Shoes | Watches,True,True,True
0,3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,squash,Socks,Socks,Socks,0.9655,Socks,Socks | Watches | Deodorant,True,True,True
0,4793e3cb1e694edeb25651fb1ae578e6.jpg,nobg,Ties,Ties,Watches,0.5139,Watches,Watches | Free Gifts | Dresses,False,False,False
0,4793e3cb1e694edeb25651fb1ae578e6.jpg,squash,Ties,Ties,Shirts,0.4864,Topwear,Shirts | Ties | Kurtas,False,False,True
0,600_google-pattern-socks.jpg,nobg,Socks,Socks,Socks,0.8035,Socks,Socks | Flip Flops | Jeans,True,True,True
0,600_google-pattern-socks.jpg,squash,Socks,Socks,Socks,0.9207,Socks,Socks | Jeans | Flip Flops,True,True,True
0,83123110.webp,nobg,Earrings,Jewellery,Watches,0.3168,Watches,Watches | Sandals | Flip Flops,False,False,False
0,83123110.webp,squash,Earrings,Jewellery,Sandals,0.1938,Sandal,Sandals | Watches | Heels,False,False,False
0,ae9d94dee29112613a6fae774382a2d4.jpg,nobg,Jackets,Topwear,Kurtas,0.224,Topwear,Kurtas | Dresses | Nightdress,False,True,False
0,ae9d94dee29112613a6fae774382a2d4.jpg,squash,Jackets,Topwear,Ties,0.1056,Jewellery,Ties | Earrings | Dresses,False,False,False
0,Afternoon_ensemble_MET_63.212a-b_CP4.jpg,nobg,Dresses,Dress,Backpacks,0.751,Bags,Backpacks | Sarees | Free Gifts,False,False,False
0,Afternoon_ensemble_MET_63.212a-b_CP4.jpg,squash,Dresses,Dress,Backpacks,0.6609,Bags,Backpacks | Scarves | Dresses,False,False,True
0,Collier_ruban_or_vermeil_2.webp,nobg,Necklace and Chains,Jewellery,Briefs,0.3102,Innerwear,Briefs | Heels | Sunglasses,False,False,False
