source,id,image_path,proposed_articleType,proposed_confidence,top3,retrieval_neighbours,CONFIRM_articleType
input_images,1017_women_0023_a36fe2486db54e83b62813b56147a042_master,A2_FashionDataset\input_images\1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,Dupatta,0.2209,Dupatta 0.22 | Stoles 0.09 | Sarees 0.04,Stoles | Scarves | Stoles,
input_images,25637193-carousel-block-earrings-v1,A2_FashionDataset\input_images\25637193-carousel-block-earrings-v1.webp,Dresses,0.2116,Dresses 0.21 | Nightdress 0.08 | Mufflers 0.06,Sandals | Casual Shoes | Flats,
input_images,2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8,A2_FashionDataset\input_images\2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,Socks,0.0991,Socks 0.10 | Perfume and Body Mist 0.09 | Foundation and Primer 0.09,Watches | Jewellery Set | Jewellery Set,
input_images,3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard,A2_FashionDataset\input_images\3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,Socks,0.6607,Socks 0.66 | Tshirts 0.13 | Sports Shoes 0.03,Socks | Socks | Socks,
input_images,4130636080047_004_b14,A2_FashionDataset\input_images\4130636080047_004_b14.webp,Briefs,0.5216,Briefs 0.52 | Sports Shoes 0.23 | Caps 0.03,Shirts | Tops | Tops,
input_images,4793e3cb1e694edeb25651fb1ae578e6,A2_FashionDataset\input_images\4793e3cb1e694edeb25651fb1ae578e6.jpg,Watches,0.1877,Watches 0.19 | Flip Flops 0.16 | Briefs 0.08,Mobile Pouch | Backpacks | Mobile Pouch,
input_images,509,A2_FashionDataset\input_images\509.png,Watches,0.1572,Watches 0.16 | Socks 0.12 | Necklace and Chains 0.06,Socks | Socks | Socks,
input_images,600_google-pattern-socks,A2_FashionDataset\input_images\600_google-pattern-socks.jpg,Socks,0.2929,Socks 0.29 | Watches 0.14 | Leggings 0.09,Socks | Socks | Socks,
input_images,83123110,A2_FashionDataset\input_images\83123110.webp,Scarves,0.1547,Scarves 0.15 | Watches 0.12 | Tshirts 0.12,Heels | Heels | Heels,
input_images,ae9d94dee29112613a6fae774382a2d4,A2_FashionDataset\input_images\ae9d94dee29112613a6fae774382a2d4.jpg,Sports Shoes,0.3619,Sports Shoes 0.36 | Bra 0.24 | Caps 0.07,Dresses | Dresses | Handbags,
input_images,Afternoon_ensemble_MET_63.212a-b_CP4,A2_FashionDataset\input_images\Afternoon_ensemble_MET_63.212a-b_CP4.jpg,Backpacks,0.2752,Backpacks 0.28 | Sarees 0.17 | Bra 0.06,Backpacks | Backpacks | Backpacks,
input_images,Collier_ruban_or_vermeil_2,A2_FashionDataset\input_images\Collier_ruban_or_vermeil_2.webp,Briefs,0.5925,Briefs 0.59 | Bracelet 0.03 | Casual Shoes 0.03,Tshirts | Briefs | Briefs,
input_images,d8ff992811e561202194328c9562a843,A2_FashionDataset\input_images\d8ff992811e561202194328c9562a843.jpg,Tshirts,0.1414,Tshirts 0.14 | Handbags 0.10 | Laptop Bag 0.10,Belts | Duffel Bag | Belts,
input_images,giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571,A2_FashionDataset\input_images\giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,Briefs,0.3717,Briefs 0.37 | Socks 0.09 | Bra 0.08,Sunglasses | Sunglasses | Socks,
input_images,images (1),A2_FashionDataset\input_images\images (1).jpg,Sarees,0.2938,Sarees 0.29 | Dresses 0.04 | Track Pants 0.04,Perfume and Body Mist | Night suits | Night suits,
input_images,images (10),A2_FashionDataset\input_images\images (10).jpg,Tshirts,0.1814,Tshirts 0.18 | Bra 0.10 | Innerwear Vests 0.03,Trunk | Casual Shoes | Shorts,
input_images,images (11),A2_FashionDataset\input_images\images (11).jpg,Laptop Bag,0.1263,Laptop Bag 0.13 | Shirts 0.10 | Handbags 0.05,Handbags | Messenger Bag | Handbags,
input_images,images (2),A2_FashionDataset\input_images\images (2).jpg,Sports Shoes,0.1898,Sports Shoes 0.19 | Socks 0.09 | Boxers 0.09,Socks | Socks | Socks,
input_images,images (3),A2_FashionDataset\input_images\images (3).jpg,Bra,0.1987,Bra 0.20 | Casual Shoes 0.19 | Watches 0.10,Casual Shoes | Heels | Heels,
input_images,images (4),A2_FashionDataset\input_images\images (4).jpg,Casual Shoes,0.1595,Casual Shoes 0.16 | Capris 0.09 | Briefs 0.07,Briefs | Briefs | Briefs,
input_images,images (5),A2_FashionDataset\input_images\images (5).jpg,Jewellery Set,0.229,Jewellery Set 0.23 | Necklace and Chains 0.12 | Pendant 0.10,Briefs | Briefs | Briefs,
input_images,images (6),A2_FashionDataset\input_images\images (6).jpg,Socks,0.1332,Socks 0.13 | Fragrance Gift Set 0.08 | Dupatta 0.06,Heels | Casual Shoes | Casual Shoes,
input_images,images (7),A2_FashionDataset\input_images\images (7).jpg,Socks,0.1894,Socks 0.19 | Dresses 0.08 | Bra 0.08,Scarves | Scarves | Scarves,
input_images,images (8),A2_FashionDataset\input_images\images (8).jpg,Handbags,0.1078,Handbags 0.11 | Socks 0.09 | Accessory Gift Set 0.07,Duffel Bag | Handbags | Duffel Bag,
input_images,images (9),A2_FashionDataset\input_images\images (9).jpg,Tshirts,0.081,Tshirts 0.08 | Flip Flops 0.06 | Briefs 0.06,Casual Shoes | Casual Shoes | Casual Shoes,
input_images,images,A2_FashionDataset\input_images\images.jpg,Briefs,0.4563,Briefs 0.46 | Tshirts 0.11 | Bra 0.07,Sports Shoes | Caps | Caps,
input_images,istockphoto-1018293976-612x612,A2_FashionDataset\input_images\istockphoto-1018293976-612x612.jpg,Briefs,0.2102,Briefs 0.21 | Nightdress 0.14 | Bra 0.08,Bra | Formal Shoes | Bra,
input_images,mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1,A2_FashionDataset\input_images\mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,Sarees,0.6671,Sarees 0.67 | Sweatshirts 0.03 | Heels 0.02,Sarees | Sarees | Sarees,
input_images,nike-5644799_640,A2_FashionDataset\input_images\nike-5644799_640.jpg,Tshirts,0.124,Tshirts 0.12 | Basketballs 0.08 | Nightdress 0.05,Wallets | Tshirts | Handbags,
input_images,sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd,A2_FashionDataset\input_images\sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,Tshirts,0.065,Tshirts 0.06 | Accessory Gift Set 0.06 | Kurta Sets 0.05,Shirts | Shirts | Shirts,
input_images,The_dress_blueblackwhitegold,A2_FashionDataset\input_images\The_dress_blueblackwhitegold.jpg,Tshirts,0.0803,Tshirts 0.08 | Fragrance Gift Set 0.06 | Caps 0.05,Watches | Watches | Tshirts,
images_test,56950,A2_FashionDataset\FashionDataset\test\images_test\56950.jpg,Heels,0.5341,Heels 0.53 | Flats 0.42 | Travel Accessory 0.00,Flats | Heels | Heels,
images_test,56235,A2_FashionDataset\FashionDataset\test\images_test\56235.jpg,Jumpsuit,0.1629,Jumpsuit 0.16 | Tracksuits 0.07 | Necklace and Chains 0.06,Night suits | Night suits | Night suits,
images_test,55964,A2_FashionDataset\FashionDataset\test\images_test\55964.jpg,Socks,0.285,Socks 0.29 | Necklace and Chains 0.06 | Water Bottle 0.03,Socks | Socks | Socks,
images_test,59607,A2_FashionDataset\FashionDataset\test\images_test\59607.jpg,Free Gifts,0.4521,Free Gifts 0.45 | Sarees 0.31 | Jumpsuit 0.03,Sarees | Sarees | Sarees,
images_test,55456,A2_FashionDataset\FashionDataset\test\images_test\55456.jpg,Pendant,0.1079,Pendant 0.11 | Lipstick 0.09 | Foundation and Primer 0.06,Lipstick | Concealer | Concealer,
images_test,55461,A2_FashionDataset\FashionDataset\test\images_test\55461.jpg,Pendant,0.108,Pendant 0.11 | Lipstick 0.09 | Foundation and Primer 0.06,Lipstick | Concealer | Concealer,
images_test,55335,A2_FashionDataset\FashionDataset\test\images_test\55335.jpg,Trunk,0.083,Trunk 0.08 | Bra 0.08 | Messenger Bag 0.08,Fragrance Gift Set | Earrings | Earrings,
images_test,52393,A2_FashionDataset\FashionDataset\test\images_test\52393.jpg,Dresses,0.2678,Dresses 0.27 | Sarees 0.15 | Nightdress 0.13,Kurtas | Sarees | Sarees,
images_test,56606,A2_FashionDataset\FashionDataset\test\images_test\56606.jpg,Socks,0.1593,Socks 0.16 | Backpacks 0.09 | Mufflers 0.07,Heels | Flats | Heels,
images_test,55245,A2_FashionDataset\FashionDataset\test\images_test\55245.jpg,Watches,0.2826,Watches 0.28 | Socks 0.11 | Free Gifts 0.07,Water Bottle | Water Bottle | Deodorant,
images_test,58487,A2_FashionDataset\FashionDataset\test\images_test\58487.jpg,Wallets,0.9685,Wallets 0.97 | Innerwear Vests 0.00 | Laptop Bag 0.00,Wallets | Wallets | Wallets,
images_test,59859,A2_FashionDataset\FashionDataset\test\images_test\59859.jpg,Perfume and Body Mist,0.1295,Perfume and Body Mist 0.13 | Foundation and Primer 0.09 | Pendant 0.07,Perfume and Body Mist | Perfume and Body Mist | Deodorant,
images_test,57871,A2_FashionDataset\FashionDataset\test\images_test\57871.jpg,Deodorant,0.6356,Deodorant 0.64 | Perfume and Body Mist 0.25 | Shoe Accessories 0.01,Perfume and Body Mist | Perfume and Body Mist | Deodorant,
images_test,54388,A2_FashionDataset\FashionDataset\test\images_test\54388.jpg,Handbags,0.1689,Handbags 0.17 | Laptop Bag 0.06 | Travel Accessory 0.04,Wallets | Wallets | Wallets,
images_test,53382,A2_FashionDataset\FashionDataset\test\images_test\53382.jpg,Sandals,0.8371,Sandals 0.84 | Sports Sandals 0.07 | Flats 0.01,Sandals | Sandals | Sandals,
images_test,52976,A2_FashionDataset\FashionDataset\test\images_test\52976.jpg,Sarees,0.8315,Sarees 0.83 | Free Gifts 0.02 | Fragrance Gift Set 0.01,Sarees | Sarees | Sarees,
images_test,59945,A2_FashionDataset\FashionDataset\test\images_test\59945.jpg,Casual Shoes,0.9116,Casual Shoes 0.91 | Sports Shoes 0.01 | Formal Shoes 0.00,Casual Shoes | Casual Shoes | Casual Shoes,
images_test,52173,A2_FashionDataset\FashionDataset\test\images_test\52173.jpg,Tops,0.1186,Tops 0.12 | Socks 0.11 | Tshirts 0.07,Socks | Watches | Watches,
images_test,55247,A2_FashionDataset\FashionDataset\test\images_test\55247.jpg,Casual Shoes,0.3493,Casual Shoes 0.35 | Belts 0.27 | Swimwear 0.03,Compact | Compact | Compact,
images_test,54849,A2_FashionDataset\FashionDataset\test\images_test\54849.jpg,Necklace and Chains,0.804,Necklace and Chains 0.80 | Jewellery Set 0.05 | Bra 0.02,Necklace and Chains | Necklace and Chains | Necklace and Chains,
images_test,55834,A2_FashionDataset\FashionDataset\test\images_test\55834.jpg,Foundation and Primer,0.11,Foundation and Primer 0.11 | Bra 0.11 | Perfume and Body Mist 0.09,Fragrance Gift Set | Fragrance Gift Set | Fragrance Gift Set,
images_test,59119,A2_FashionDataset\FashionDataset\test\images_test\59119.jpg,Jackets,0.5222,Jackets 0.52 | Dupatta 0.08 | Gloves 0.05,Jackets | Jackets | Tshirts,
images_test,54886,A2_FashionDataset\FashionDataset\test\images_test\54886.jpg,Jewellery Set,0.234,Jewellery Set 0.23 | Watches 0.08 | Necklace and Chains 0.06,Jewellery Set | Jewellery Set | Jewellery Set,
images_test,56008,A2_FashionDataset\FashionDataset\test\images_test\56008.jpg,Foundation and Primer,0.1025,Foundation and Primer 0.10 | Lipstick 0.10 | Earrings 0.09,Lip Gloss | Lipstick | Lipstick,
images_test,53555,A2_FashionDataset\FashionDataset\test\images_test\53555.jpg,Boxers,0.1557,Boxers 0.16 | Shirts 0.14 | Sarees 0.07,Briefs | Boxers | Boxers,
images_test,59218,A2_FashionDataset\FashionDataset\test\images_test\59218.jpg,Fragrance Gift Set,0.0918,Fragrance Gift Set 0.09 | Capris 0.08 | Watches 0.07,Watches | Watches | Watches,
images_test,56713,A2_FashionDataset\FashionDataset\test\images_test\56713.jpg,Kurtas,0.6824,Kurtas 0.68 | Dresses 0.08 | Handbags 0.02,Kurtas | Kurtas | Kurtas,
images_test,55098,A2_FashionDataset\FashionDataset\test\images_test\55098.jpg,Shoe Accessories,0.1826,Shoe Accessories 0.18 | Sandals 0.11 | Rompers 0.10,Compact | Compact | Compact,
