id,articleType,confidence,alt1,alt1_confidence,alt2,alt2_confidence,family,family_confidence,label_before_prior_correction,flags
52003,Jeans,0.161,Briefs,0.1521,Bra,0.0617,Bottomwear,0.2288,Tshirts,low_confidence|changed_by_prior
52017,Bra,0.4891,Briefs,0.1064,Nightdress,0.0827,Innerwear,0.6013,Sports Shoes,low_confidence|changed_by_prior
52021,Bra,0.3077,Nightdress,0.0593,Sarees,0.0551,Innerwear,0.3631,Shirts,low_confidence|changed_by_prior
52028,Kurtas,0.1401,Jackets,0.1388,Tunics,0.0913,Topwear,0.5125,Kurtis,low_confidence|changed_by_prior
52029,Jackets,0.7889,Sweatshirts,0.176,Watches,0.0049,Topwear,0.968,Sweatshirts,changed_by_prior
52051,Tshirts,0.3796,Tops,0.0608,Jackets,0.0403,Topwear,0.5514,Tshirts,low_confidence
52066,Tops,0.2922,Tshirts,0.2426,Jackets,0.0261,Topwear,0.6068,Tshirts,low_confidence|changed_by_prior
52077,Shirts,0.423,Tshirts,0.0572,Jackets,0.0534,Topwear,0.5641,Shirts,low_confidence
52083,Tops,0.4037,Tshirts,0.2705,Perfume and Body Mist,0.0121,Topwear,0.6981,Tshirts,low_confidence|changed_by_prior
52084,Tops,0.5681,Tshirts,0.2227,Perfume and Body Mist,0.0385,Topwear,0.8174,Tshirts,changed_by_prior
52086,Tshirts,0.2833,Tops,0.1438,Dresses,0.0476,Topwear,0.4952,Tshirts,low_confidence
52091,Tops,0.3511,Scarves,0.0781,Shirts,0.0689,Topwear,0.4847,Tops,low_confidence
52093,Tops,0.4241,Camisoles,0.1464,Tshirts,0.0714,Topwear,0.5086,Tops,low_confidence
52103,Nightdress,0.4984,Dresses,0.1674,Tunics,0.085,Loungewear and Nightwear,0.503,Nightdress,low_confidence
52106,Dresses,0.5706,Nightdress,0.2257,Kurtas,0.1432,Dress,0.5718,Kurtas,changed_by_prior
52109,Dresses,0.6506,Kurtas,0.1416,Tunics,0.1039,Dress,0.6527,Kurtas,changed_by_prior
52111,Tunics,0.3694,Tops,0.2329,Dresses,0.1096,Topwear,0.7721,Tops,low_confidence|changed_by_prior
52112,Nightdress,0.6937,Tops,0.0856,Kurtis,0.0649,Loungewear and Nightwear,0.6962,Kurtis,changed_by_prior
52113,Tunics,0.3471,Kurtas,0.2795,Tops,0.0928,Topwear,0.7745,Kurtas,low_confidence|changed_by_prior
52118,Nightdress,0.4092,Stoles,0.0864,Bra,0.0841,Loungewear and Nightwear,0.421,Stoles,low_confidence|changed_by_prior
52134,Lounge Shorts,0.2664,Shorts,0.1591,Leggings,0.0526,Bottomwear,0.3523,Shorts,low_confidence|family_disagrees|changed_by_prior
52135,Tshirts,0.457,Tops,0.1322,Perfume and Body Mist,0.0192,Topwear,0.6315,Tshirts,low_confidence
52145,Tops,0.4131,Tshirts,0.249,Perfume and Body Mist,0.0361,Topwear,0.6832,Tshirts,low_confidence|changed_by_prior
52155,Tops,0.3548,Dresses,0.3416,Night suits,0.0874,Topwear,0.4046,Tops,low_confidence
52158,Tops,0.2464,Dresses,0.1124,Nightdress,0.0833,Topwear,0.3305,Tops,low_confidence
52159,Dresses,0.2748,Shirts,0.152,Jackets,0.0812,Topwear,0.3829,Shirts,low_confidence|family_disagrees|changed_by_prior
52163,Tops,0.4527,Dresses,0.1649,Tshirts,0.1087,Topwear,0.5893,Tops,low_confidence
52164,Dresses,0.3539,Tops,0.3004,Night suits,0.0514,Dress,0.3618,Tops,low_confidence|changed_by_prior
52166,Pendant,0.4298,Necklace and Chains,0.0937,Jewellery Set,0.0732,Jewellery,0.6649,Pendant,low_confidence
52168,Perfume and Body Mist,0.3305,Earrings,0.0536,Ring,0.046,Fragrance,0.3425,Perfume and Body Mist,low_confidence
52169,Bracelet,0.1843,Caps,0.1079,Necklace and Chains,0.0692,Jewellery,0.4304,Caps,low_confidence|changed_by_prior
52172,Basketballs,0.1414,Swimwear,0.0731,Tops,0.0694,Bottomwear,0.173,Tops,low_confidence|family_disagrees|changed_by_prior
52173,Bra,0.0662,Nightdress,0.0512,Briefs,0.0451,Innerwear,0.1294,Sports Shoes,low_confidence|changed_by_prior
52176,Bracelet,0.3443,Pendant,0.0819,Necklace and Chains,0.0657,Jewellery,0.5618,Bracelet,low_confidence
52177,Flats,0.2017,Sports Shoes,0.0734,Nightdress,0.0688,Shoes,0.2804,Sports Shoes,low_confidence|changed_by_prior
52178,Pendant,0.1766,Earrings,0.1313,Casual Shoes,0.0779,Jewellery,0.3764,Casual Shoes,low_confidence|changed_by_prior
52179,Bracelet,0.2256,Earrings,0.2134,Necklace and Chains,0.1912,Jewellery,0.6984,Flip Flops,low_confidence|changed_by_prior
52182,Necklace and Chains,0.2189,Earrings,0.2026,Pendant,0.0766,Jewellery,0.5651,Sports Shoes,low_confidence|changed_by_prior
52185,Earrings,0.2493,Necklace and Chains,0.184,Pendant,0.1129,Jewellery,0.6265,Sports Shoes,low_confidence|changed_by_prior
52186,Earrings,0.3043,Pendant,0.0806,Sports Shoes,0.0582,Jewellery,0.5031,Sports Shoes,low_confidence|changed_by_prior
52190,Jewellery Set,0.244,Perfume and Body Mist,0.2212,Briefs,0.1064,Jewellery,0.3531,Jewellery Set,low_confidence
52191,Briefs,0.2877,Pendant,0.1816,Jewellery Set,0.1785,Jewellery,0.4714,Briefs,low_confidence|family_disagrees
52193,Bracelet,0.1217,Bra,0.1153,Earrings,0.0854,Jewellery,0.3458,Sports Shoes,low_confidence|changed_by_prior
52195,Earrings,0.1619,Sports Shoes,0.1608,Sarees,0.1179,Jewellery,0.4843,Sports Shoes,low_confidence|changed_by_prior
52209,Pendant,0.4863,Necklace and Chains,0.2697,Earrings,0.0467,Jewellery,0.8373,Pendant,low_confidence
52210,Necklace and Chains,0.3787,Pendant,0.3583,Sarees,0.0469,Jewellery,0.8026,Necklace and Chains,low_confidence
52211,Necklace and Chains,0.4646,Pendant,0.2954,Bracelet,0.0531,Jewellery,0.8366,Necklace and Chains,low_confidence
52222,Bra,0.1959,Handbags,0.0839,Perfume and Body Mist,0.072,Innerwear,0.2764,Handbags,low_confidence|changed_by_prior
52223,Pendant,0.3004,Necklace and Chains,0.1317,Sarees,0.0975,Jewellery,0.5057,Pendant,low_confidence
52224,Necklace and Chains,0.4112,Pendant,0.1944,Watches,0.0449,Jewellery,0.6563,Necklace and Chains,low_confidence
52228,Bra,0.4415,Perfume and Body Mist,0.0856,Earrings,0.0632,Innerwear,0.469,Sports Shoes,low_confidence|changed_by_prior
52230,Watches,0.2616,Shirts,0.1942,Necklace and Chains,0.1013,Watches,0.2616,Shirts,low_confidence|changed_by_prior
52254,Briefs,0.4767,Trunk,0.203,Boxers,0.133,Innerwear,0.8292,Trunk,low_confidence|changed_by_prior
52255,Boxers,0.5708,Briefs,0.232,Trunk,0.1127,Innerwear,0.9231,Trunk,changed_by_prior
52256,Boxers,0.4794,Trunk,0.3379,Briefs,0.1171,Innerwear,0.9407,Trunk,low_confidence|changed_by_prior
52257,Boxers,0.5603,Trunk,0.2252,Briefs,0.1513,Innerwear,0.9424,Trunk,changed_by_prior
52299,Shorts,0.273,Lounge Shorts,0.1751,Boxers,0.1672,Bottomwear,0.3932,Shorts,low_confidence
52303,Necklace and Chains,0.2682,Jewellery Set,0.1651,Pendant,0.13,Jewellery,0.597,Necklace and Chains,low_confidence
52313,Belts,0.1885,Shoe Accessories,0.0825,Bracelet,0.0665,Jewellery,0.1908,Belts,low_confidence|family_disagrees
52315,Bracelet,0.2576,Shoe Accessories,0.2003,Handbags,0.1049,Jewellery,0.3363,Belts,low_confidence|changed_by_prior
52316,Belts,0.3736,Shoe Accessories,0.1309,Travel Accessory,0.0779,Belts,0.3736,Belts,low_confidence
52317,Belts,0.2641,Shoe Accessories,0.113,Laptop Bag,0.0529,Belts,0.2641,Belts,low_confidence
52318,Bracelet,0.1492,Shoe Accessories,0.1348,Bangle,0.1247,Jewellery,0.3582,Belts,low_confidence|changed_by_prior
52320,Bracelet,0.2156,Bangle,0.139,Shoe Accessories,0.1046,Jewellery,0.4394,Belts,low_confidence|changed_by_prior
52322,Bracelet,0.3477,Shoe Accessories,0.0793,Belts,0.0664,Jewellery,0.4933,Belts,low_confidence|changed_by_prior
52323,Bracelet,0.3092,Bangle,0.2856,Ring,0.1888,Jewellery,0.8158,Bangle,low_confidence|changed_by_prior
52324,Mobile Pouch,0.149,Belts,0.1175,Shoe Accessories,0.083,Bags,0.24,Belts,low_confidence|changed_by_prior
52325,Travel Accessory,0.1189,Bracelet,0.0999,Swimwear,0.0699,Jewellery,0.1905,Tshirts,low_confidence|family_disagrees|changed_by_prior
52326,Belts,0.1287,Bracelet,0.1253,Shoe Accessories,0.0825,Jewellery,0.2488,Belts,low_confidence|family_disagrees
52327,Belts,0.1832,Travel Accessory,0.1036,Swimwear,0.0695,Belts,0.1832,Belts,low_confidence
52328,Handbags,0.1044,Bracelet,0.1018,Basketballs,0.07,Jewellery,0.1887,Belts,low_confidence|family_disagrees|changed_by_prior
52329,Belts,0.199,Basketballs,0.0898,Bracelet,0.0654,Belts,0.199,Belts,low_confidence
52351,Dresses,0.3107,Nightdress,0.2233,Tunics,0.0347,Dress,0.3136,Nightdress,low_confidence|changed_by_prior
52352,Dresses,0.6065,Kurtas,0.1845,Nightdress,0.0305,Dress,0.6108,Kurtas,changed_by_prior
52355,Sarees,0.3305,Nightdress,0.107,Dresses,0.1041,Saree,0.3305,Sarees,low_confidence
52359,Nightdress,0.1725,Dresses,0.17,Night suits,0.0485,Loungewear and Nightwear,0.2306,Nightdress,low_confidence
52375,Dresses,0.4602,Nightdress,0.2626,Jumpsuit,0.0706,Dress,0.5309,Nightdress,low_confidence|changed_by_prior
52378,Dresses,0.5181,Nightdress,0.3773,Sarees,0.0122,Dress,0.5269,Nightdress,changed_by_prior
52379,Dresses,0.4512,Nightdress,0.4384,Bra,0.0112,Dress,0.4537,Nightdress,low_confidence|changed_by_prior
52381,Night suits,0.4272,Dresses,0.3203,Sarees,0.0564,Loungewear and Nightwear,0.4554,Night suits,low_confidence
52382,Kurta Sets,0.3761,Kurtas,0.1812,Night suits,0.1218,Apparel Set,0.3761,Kurtas,low_confidence|changed_by_prior
52383,Night suits,0.385,Kurta Sets,0.2722,Dresses,0.1104,Loungewear and Nightwear,0.3988,Night suits,low_confidence
52385,Dresses,0.4499,Nightdress,0.137,Kurtas,0.1284,Dress,0.4553,Kurtas,low_confidence|changed_by_prior
52386,Dresses,0.5039,Nightdress,0.3932,Sarees,0.0263,Dress,0.508,Nightdress,changed_by_prior
52393,Dresses,0.2613,Nightdress,0.1221,Sarees,0.0972,Dress,0.3035,Tops,low_confidence|changed_by_prior
52402,Dresses,0.4965,Tunics,0.0493,Jumpsuit,0.047,Dress,0.5434,Dresses,low_confidence
52404,Dresses,0.612,Kurtas,0.1635,Nightdress,0.0493,Dress,0.6166,Kurtas,changed_by_prior
52417,Dresses,0.6552,Nightdress,0.1165,Tops,0.1073,Dress,0.6877,Tops,changed_by_prior
52420,Dresses,0.6011,Nightdress,0.3723,Tunics,0.0037,Dress,0.6021,Nightdress,changed_by_prior
52429,Dresses,0.5276,Nightdress,0.3365,Jumpsuit,0.0226,Dress,0.5502,Nightdress,changed_by_prior
52432,Dresses,0.2605,Tops,0.1964,Nightdress,0.0763,Dress,0.3311,Tops,low_confidence|changed_by_prior
52438,Nightdress,0.4412,Dresses,0.3626,Sarees,0.0711,Loungewear and Nightwear,0.4466,Nightdress,low_confidence
52443,Dresses,0.5704,Nightdress,0.3205,Sarees,0.0211,Dress,0.5846,Nightdress,changed_by_prior
52445,Nightdress,0.2972,Tops,0.2867,Dresses,0.0997,Loungewear and Nightwear,0.3238,Tops,low_confidence|changed_by_prior
52446,Dresses,0.4062,Nightdress,0.3213,Swimwear,0.0772,Dress,0.4229,Nightdress,low_confidence|changed_by_prior
52449,Nightdress,0.3262,Dresses,0.1593,Sarees,0.1562,Loungewear and Nightwear,0.3415,Nightdress,low_confidence
52450,Dresses,0.6018,Nightdress,0.3534,Sarees,0.0127,Dress,0.6023,Nightdress,changed_by_prior
52463,Night suits,0.4842,Jumpsuit,0.1427,Kurta Sets,0.1132,Loungewear and Nightwear,0.5555,Night suits,low_confidence
52472,Dresses,0.2391,Leggings,0.1205,Night suits,0.0659,Dress,0.244,Leggings,low_confidence|changed_by_prior
52473,Dresses,0.1584,Free Gifts,0.1451,Nightdress,0.1334,Dress,0.2325,Stoles,low_confidence|changed_by_prior
52474,Sarees,0.1758,Pendant,0.1034,Dresses,0.101,Jewellery,0.1992,Sarees,low_confidence|family_disagrees
52475,Dresses,0.314,Nightdress,0.2703,Sarees,0.0553,Dress,0.3297,Nightdress,low_confidence|changed_by_prior
52476,Dresses,0.2083,Sarees,0.1308,Capris,0.055,Dress,0.2204,Capris,low_confidence|changed_by_prior
52479,Nightdress,0.3199,Bra,0.2558,Camisoles,0.039,Loungewear and Nightwear,0.3656,Nightdress,low_confidence
52481,Dresses,0.534,Nightdress,0.4612,Tunics,0.0006,Dress,0.5342,Nightdress,changed_by_prior
52494,Leggings,0.2003,Dresses,0.1692,Nightdress,0.1048,Bottomwear,0.3149,Leggings,low_confidence
52495,Dresses,0.4479,Capris,0.0677,Kurta Sets,0.0489,Dress,0.4568,Capris,low_confidence|changed_by_prior
52499,Tunics,0.392,Dresses,0.184,Swimwear,0.0585,Topwear,0.5081,Tunics,low_confidence
52503,Dresses,0.1683,Sarees,0.108,Leggings,0.1072,Bottomwear,0.2256,Capris,low_confidence|family_disagrees|changed_by_prior
52505,Nightdress,0.464,Kurta Sets,0.1843,Night suits,0.0546,Loungewear and Nightwear,0.5198,Nightdress,low_confidence
52507,Dresses,0.4508,Jumpsuit,0.1521,Kurta Sets,0.1464,Dress,0.6028,Dresses,low_confidence
52508,Dresses,0.4317,Tunics,0.1358,Jewellery Set,0.059,Dress,0.4828,Dresses,low_confidence
52509,Kurtas,0.269,Nightdress,0.1728,Tops,0.0835,Topwear,0.4083,Kurtas,low_confidence
52510,Dresses,0.5328,Kurtas,0.1273,Nightdress,0.083,Dress,0.5512,Kurtas,changed_by_prior
52512,Dresses,0.1345,Nightdress,0.112,Tops,0.1088,Topwear,0.2584,Tops,low_confidence|family_disagrees|changed_by_prior
52513,Nightdress,0.3137,Dresses,0.2663,Free Gifts,0.0711,Loungewear and Nightwear,0.3202,Nightdress,low_confidence
52519,Nightdress,0.4099,Dresses,0.4075,Jumpsuit,0.0159,Dress,0.4234,Nightdress,low_confidence|family_disagrees
52524,Jeans,0.1501,Jeggings,0.1272,Leggings,0.0954,Bottomwear,0.5109,Jeans,low_confidence
52525,Leggings,0.4156,Jeggings,0.3101,Trousers,0.0982,Bottomwear,0.8861,Trousers,low_confidence|changed_by_prior
52536,Jeans,0.3895,Jeggings,0.349,Trousers,0.0983,Bottomwear,0.9367,Jeans,low_confidence
52539,Jeggings,0.6676,Jeans,0.2439,Leggings,0.0369,Bottomwear,0.9647,Jeans,changed_by_prior
52547,Jeans,0.4066,Jeggings,0.3897,Leggings,0.0568,Bottomwear,0.8775,Jeans,low_confidence
52553,Jeans,0.4011,Jeggings,0.0739,Trousers,0.0455,Bottomwear,0.6476,Jeans,low_confidence
52554,Jeans,0.4298,Jeggings,0.2975,Jewellery Set,0.024,Bottomwear,0.7734,Jeans,low_confidence
52557,Jeggings,0.2881,Jeans,0.146,Leggings,0.1169,Bottomwear,0.6855,Trousers,low_confidence|changed_by_prior
52558,Clutches,0.5274,Wallets,0.3363,Mobile Pouch,0.0361,Bags,0.5933,Wallets,changed_by_prior
52570,Clutches,0.4398,Handbags,0.2243,Perfume and Body Mist,0.0595,Bags,0.6906,Clutches,low_confidence
52576,Handbags,0.6482,Duffel Bag,0.178,Wallets,0.0237,Bags,0.8632,Duffel Bag,changed_by_prior
52581,Waist Pouch,0.413,Clutches,0.2943,Mobile Pouch,0.0644,Bags,0.7943,Waist Pouch,low_confidence
52582,Waist Pouch,0.3369,Handbags,0.1268,Clutches,0.0851,Bags,0.6846,Backpacks,low_confidence|changed_by_prior
52593,Clutches,0.4944,Handbags,0.2329,Mobile Pouch,0.095,Bags,0.9054,Clutches,low_confidence
52660,Laptop Bag,0.4916,Handbags,0.2691,Jackets,0.0621,Bags,0.8011,Laptop Bag,low_confidence
52785,Wallets,0.4316,Handbags,0.2666,Perfume and Body Mist,0.0518,Wallets,0.4316,Wallets,low_confidence
52822,Necklace and Chains,0.2119,Pendant,0.1067,Bracelet,0.0999,Jewellery,0.4807,Sports Shoes,low_confidence|changed_by_prior
52836,Necklace and Chains,0.143,Pendant,0.0935,Sandals,0.0886,Jewellery,0.3317,Sandals,low_confidence|changed_by_prior
52869,Earrings,0.4029,Perfume and Body Mist,0.1105,Bracelet,0.0752,Jewellery,0.5415,Earrings,low_confidence
52924,Sarees,0.4623,Free Gifts,0.0724,Kurta Sets,0.0498,Saree,0.4623,Sarees,low_confidence
53007,Sarees,0.4543,Dresses,0.171,Backpacks,0.0442,Saree,0.4543,Backpacks,low_confidence|changed_by_prior
53048,Sarees,0.2787,Night suits,0.1514,Free Gifts,0.1467,Saree,0.2787,Sarees,low_confidence
53050,Sarees,0.483,Free Gifts,0.1344,Night suits,0.1059,Saree,0.483,Sarees,low_confidence
53078,Clutches,0.2462,Wallets,0.1418,Duffel Bag,0.0939,Bags,0.4872,Duffel Bag,low_confidence|changed_by_prior
53079,Clutches,0.3441,Wallets,0.141,Handbags,0.1048,Bags,0.5513,Clutches,low_confidence
53080,Clutches,0.6629,Duffel Bag,0.167,Handbags,0.0583,Bags,0.8997,Duffel Bag,changed_by_prior
53081,Clutches,0.461,Handbags,0.4132,Duffel Bag,0.0163,Bags,0.8942,Handbags,low_confidence|changed_by_prior
53083,Jewellery Set,0.2215,Dresses,0.1747,Kurta Sets,0.1414,Jewellery,0.3429,Jewellery Set,low_confidence
53085,Pendant,0.2914,Necklace and Chains,0.122,Jewellery Set,0.0408,Jewellery,0.5231,Shirts,low_confidence|changed_by_prior
53086,Pendant,0.2456,Necklace and Chains,0.1491,Jewellery Set,0.0831,Jewellery,0.539,Sunglasses,low_confidence|changed_by_prior
53087,Pendant,0.3924,Necklace and Chains,0.1564,Bra,0.0509,Jewellery,0.6316,Pendant,low_confidence
53114,Tshirts,0.4132,Tops,0.1893,Perfume and Body Mist,0.0312,Topwear,0.6299,Tshirts,low_confidence
53117,Tops,0.4076,Tshirts,0.2942,Perfume and Body Mist,0.0151,Topwear,0.7305,Tshirts,low_confidence|changed_by_prior
53118,Tops,0.4148,Tshirts,0.3629,Perfume and Body Mist,0.0175,Topwear,0.8146,Tshirts,low_confidence|changed_by_prior
53120,Tshirts,0.4363,Tops,0.2665,Perfume and Body Mist,0.0206,Topwear,0.7222,Tshirts,low_confidence
53124,Tops,0.5612,Tshirts,0.1469,Camisoles,0.0197,Topwear,0.7307,Tshirts,changed_by_prior
53125,Tshirts,0.4633,Tops,0.224,Bra,0.0249,Topwear,0.7103,Tshirts,low_confidence
53126,Tshirts,0.4204,Tops,0.1968,Dresses,0.0663,Topwear,0.6763,Tshirts,low_confidence
53127,Flats,0.443,Casual Shoes,0.2544,Sports Sandals,0.161,Shoes,0.7188,Casual Shoes,low_confidence|changed_by_prior
53137,Flats,0.6718,Heels,0.2685,Shoe Accessories,0.0104,Shoes,0.9415,Heels,changed_by_prior
