articleType,rows,hits,oof_recall,oof_recall_lo,oof_recall_hi,test_rows_in_adopted_split,graded_rows,graded_rows_at_risk
Lipstick,10,10,100.0,72.25,100.0,2,294,0.0
Kajal and Eyeliner,8,8,100.0,67.56,100.0,2,174,0.0
Nail Polish,13,12,92.31,66.69,98.63,2,126,9.7
Foundation and Primer,8,7,87.5,52.91,97.76,1,108,13.5
Lip Liner,8,4,50.0,21.52,78.48,2,80,40.0
Cufflinks,32,32,100.0,89.28,100.0,5,57,0.0
Shoe Accessories,15,5,33.33,15.18,58.29,3,35,23.3
Ring,58,49,84.48,73.07,91.62,2,24,3.7
Bracelet,42,12,28.57,17.17,43.57,5,19,13.6
Jewellery Set,16,14,87.5,63.98,96.5,5,19,2.4
Basketballs,9,7,77.78,45.26,93.68,1,15,3.3
Boxers,25,17,68.0,48.41,82.8,5,13,4.2
Patiala,20,18,90.0,69.9,97.21,4,10,1.0
Jumpsuit,8,1,12.5,2.24,47.09,2,8,7.0
Bangle,33,23,69.7,52.66,82.62,5,7,2.1
Lounge Shorts,22,3,13.64,4.75,33.34,5,6,5.2
Jeggings,18,1,5.56,0.99,25.76,3,6,5.7
Waist Pouch,12,1,8.33,1.49,35.39,2,4,3.7
Tracksuits,20,19,95.0,76.39,99.11,4,4,0.2
Swimwear,11,3,27.27,9.75,56.57,2,3,2.2
Gloves,16,15,93.75,71.67,98.89,3,3,0.2
Travel Accessory,9,0,0.0,0.0,29.92,1,1,1.0
Rompers,9,8,88.89,56.5,98.01,1,1,0.1
Camisoles,10,3,30.0,10.78,60.32,2,0,0.0
Booties,8,8,100.0,67.56,100.0,2,0,0.0
Churidar,20,12,60.0,38.66,78.12,4,0,0.0
Salwar,21,15,71.43,50.04,86.19,5,0,0.0
Mufflers,24,13,54.17,35.07,72.11,5,0,0.0
Rucksacks,8,0,0.0,0.0,32.44,1,0,0.0
Stockings,21,13,61.9,40.88,79.25,3,0,0.0
Suspenders,21,20,95.24,77.33,99.15,5,0,0.0
Waistcoat,9,3,33.33,12.06,64.58,2,0,0.0
Water Bottle,8,3,37.5,13.68,69.43,2,0,0.0
