arm,benchmark,P@1,P@10,colour@10,colourfam@10,both@10,bothfam@10
C_encoder_clean,clean,83.0,81.64,58.49,61.31,47.6,49.98
C_encoder_clean,hard,9.1,9.1,22.48,24.92,2.81,3.12
C_encoder_clean,photo,10.85,11.84,29.7,32.22,5.24,5.66
C_encoder_clean,wild,10.0,9.21,20.62,22.77,3.55,3.87
C_encoder_clean,wildphoto,5.9,6.36,22.12,23.81,2.73,2.88
D_encoder_bgaug,clean,79.7,76.19,55.23,58.18,41.98,44.3
D_encoder_bgaug,hard,56.15,56.32,48.52,51.91,28.84,30.86
D_encoder_bgaug,photo,57.55,55.78,48.68,51.92,29.4,31.3
D_encoder_bgaug,wild,53.2,53.07,47.27,50.5,27.33,29.09
D_encoder_bgaug,wildphoto,52.8,51.62,45.36,48.22,26.2,27.67
