contrast,arm,control,benchmark,metric,arm_score,control_score,delta,ci_low,ci_high,p_value,significant,n_queries
P_minus_C,P_encoder_procedural,C_encoder_clean,clean,both@10,41.3,47.6,-6.3,-7.31,-5.3,0.0,True,2000
P_minus_C,P_encoder_procedural,C_encoder_clean,clean,type@10,76.35,81.64,-5.28,-6.19,-4.36,0.0,True,2000
P_minus_C,P_encoder_procedural,C_encoder_clean,clean,colour@10,53.4,58.49,-5.1,-6.1,-4.16,0.0,True,2000
P_minus_C,P_encoder_procedural,C_encoder_clean,hard,both@10,30.47,2.81,27.66,26.27,29.06,0.0,True,2000
P_minus_C,P_encoder_procedural,C_encoder_clean,hard,type@10,60.13,9.1,51.03,49.3,52.78,0.0,True,2000
P_minus_C,P_encoder_procedural,C_encoder_clean,hard,colour@10,48.0,22.48,25.52,23.91,27.27,0.0,True,2000
P_minus_C,P_encoder_procedural,C_encoder_clean,photo,both@10,17.98,5.24,12.74,11.58,13.97,0.0,True,2000
P_minus_C,P_encoder_procedural,C_encoder_clean,photo,type@10,42.22,11.85,30.37,28.64,32.16,0.0,True,2000
P_minus_C,P_encoder_procedural,C_encoder_clean,photo,colour@10,36.12,29.7,6.43,4.84,7.97,0.0,True,2000
P_minus_C,P_encoder_procedural,C_encoder_clean,wild,both@10,28.52,3.55,24.96,23.55,26.32,0.0,True,2000
P_minus_C,P_encoder_procedural,C_encoder_clean,wild,type@10,57.17,9.21,47.96,46.15,49.67,0.0,True,2000
P_minus_C,P_encoder_procedural,C_encoder_clean,wild,colour@10,46.31,20.62,25.7,24.0,27.4,0.0,True,2000
P_minus_C,P_encoder_procedural,C_encoder_clean,wildphoto,both@10,15.44,2.73,12.72,11.58,13.85,0.0,True,2000
P_minus_C,P_encoder_procedural,C_encoder_clean,wildphoto,type@10,36.54,6.36,30.18,28.44,31.91,0.0,True,2000
P_minus_C,P_encoder_procedural,C_encoder_clean,wildphoto,colour@10,33.95,22.12,11.83,10.27,13.42,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,clean,both@10,41.98,47.6,-5.62,-6.63,-4.65,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,clean,type@10,76.19,81.64,-5.45,-6.36,-4.56,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,clean,colour@10,55.23,58.49,-3.27,-4.19,-2.4,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,hard,both@10,28.84,2.81,26.03,24.65,27.45,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,hard,type@10,56.32,9.1,47.21,45.43,48.98,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,hard,colour@10,48.52,22.48,26.04,24.35,27.74,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,photo,both@10,29.4,5.24,24.17,22.74,25.62,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,photo,type@10,55.78,11.85,43.94,42.12,45.81,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,photo,colour@10,48.68,29.7,18.98,17.35,20.6,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,wild,both@10,27.33,3.55,23.78,22.37,25.13,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,wild,type@10,53.07,9.21,43.86,42.06,45.71,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,wild,colour@10,47.27,20.62,26.65,25.02,28.4,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,wildphoto,both@10,26.2,2.73,23.47,22.11,24.87,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,wildphoto,type@10,51.62,6.36,45.26,43.41,47.02,0.0,True,2000
D_minus_C,D_encoder_bgaug,C_encoder_clean,wildphoto,colour@10,45.36,22.12,23.24,21.58,24.89,0.0,True,2000
