arm,benchmark,index,P@1,P@10,colour@10,colourfam@10,both@10,bothfam@10
A_classical_clean,clean,exact,78.15,69.31,29.22,30.99,21.73,22.89
A_classical_clean,clean,kmeans,77.85,68.87,28.89,30.69,21.39,22.55
A_classical_clean,hard,exact,17.1,16.39,14.72,16.32,3.64,3.88
A_classical_clean,hard,kmeans,16.0,16.05,14.67,16.29,3.56,3.79
A_classical_clean,photo,exact,8.4,10.17,12.04,13.56,1.67,1.84
A_classical_clean,photo,kmeans,8.4,10.48,11.81,13.28,1.66,1.83
A_classical_clean,wild,exact,14.05,13.17,16.39,17.85,3.54,3.72
A_classical_clean,wild,kmeans,13.0,13.06,16.01,17.49,3.54,3.74
A_classical_clean,wildphoto,exact,7.6,8.58,14.59,15.8,1.77,1.91
A_classical_clean,wildphoto,kmeans,7.75,8.77,13.86,15.12,1.69,1.82
B_classical_bgaug,clean,exact,52.55,49.73,21.91,23.8,13.12,14.04
B_classical_bgaug,clean,kmeans,53.2,51.39,21.95,23.8,13.19,14.11
B_classical_bgaug,hard,exact,26.6,23.48,18.45,20.18,6.58,7.0
B_classical_bgaug,hard,kmeans,25.65,24.16,18.66,20.26,6.77,7.18
B_classical_bgaug,photo,exact,15.1,14.49,16.09,17.79,3.58,3.84
B_classical_bgaug,photo,kmeans,14.65,15.06,16.22,17.91,3.77,4.04
B_classical_bgaug,wild,exact,18.8,17.63,18.99,20.52,5.05,5.33
B_classical_bgaug,wild,kmeans,17.75,17.45,18.51,20.0,5.2,5.44
B_classical_bgaug,wildphoto,exact,11.2,10.88,17.31,18.93,3.04,3.28
B_classical_bgaug,wildphoto,kmeans,11.55,10.95,17.05,18.57,3.04,3.27
