file,segmentation,foreground%,subject_fill%,reverted
1017_women_0023_a36fe2486db54e83b6,grabcut+core,35.2,40.6,False
2b3f6ff00db7a1efae21d85cfb8995eaff,grabcut+core,31.7,27.7,False
3-Stripes_High_Crew_Socks_3_Pairs_,grabcut+core,48.2,45.9,False
4130636080047_004_b14.webp,grabcut+core,32.8,31.8,False
509.png,grabcut+core,27.5,34.9,False
600_google-pattern-socks.jpg,grabcut+core,38.7,23.6,False
Afternoon_ensemble_MET_63.212a-b_C,grabcut+core,39.6,39.4,False
Collier_ruban_or_vermeil_2.webp,grabcut+core,45.7,36.0,False
d8ff992811e561202194328c9562a843.j,grabcut+core,41.5,44.5,False
giay-local-brand-viet-nam_b140845b,grabcut+core,50.5,52.1,False
images (1).jpg,grabcut+core,36.8,41.6,False
images (2).jpg,grabcut+core,61.0,29.8,False
images (3).jpg,grabcut+core,33.5,33.2,False
images (4).jpg,grabcut+core,14.5,39.3,False
images (5).jpg,none (subject would be removed) -> reverted to crop,100.0,9.3,True
images (6).jpg,grabcut+core,44.6,46.6,False
images.jpg,grabcut+core,34.7,51.2,False
mygoods_34_475601_3x4-ezgif.com-av,grabcut+core,21.3,23.5,False
The_dress_blueblackwhitegold.jpg,grabcut+core,36.1,48.4,False
