query,source,rank,result_id,similarity,same_articleType,articleType,baseColour,visually_similar
55851.jpg,catalogue,1,49126,0.6837000250816345,True,Nail Polish,Navy Blue,
55851.jpg,catalogue,2,49073,0.6797000169754028,True,Nail Polish,Green,
55851.jpg,catalogue,3,49145,0.6787999868392944,True,Nail Polish,Blue,
55851.jpg,catalogue,4,49146,0.6747000217437744,True,Nail Polish,Green,
55851.jpg,catalogue,5,49125,0.6363000273704529,True,Nail Polish,Pink,
55851.jpg,catalogue,6,49127,0.6060000061988831,True,Nail Polish,Purple,
55851.jpg,catalogue,7,49108,0.592199981212616,True,Nail Polish,Black,
55851.jpg,catalogue,8,49147,0.5637000203132629,True,Nail Polish,Purple,
52801.jpg,catalogue,1,33375,0.9053999781608582,True,Wallets,Brown,
52801.jpg,catalogue,2,48145,0.9036999940872192,True,Wallets,Brown,
52801.jpg,catalogue,3,32603,0.892300009727478,True,Wallets,Brown,
52801.jpg,catalogue,4,20431,0.8895000219345093,True,Wallets,Brown,
52801.jpg,catalogue,5,25439,0.8884999752044678,True,Wallets,Brown,
52801.jpg,catalogue,6,14847,0.8877999782562256,True,Wallets,Brown,
52801.jpg,catalogue,7,36921,0.8822000026702881,True,Wallets,Brown,
52801.jpg,catalogue,8,21808,0.8810999989509583,True,Wallets,Brown,
52840.jpg,catalogue,1,48615,0.9606999754905701,True,Earrings,Silver,
52840.jpg,catalogue,2,43787,0.9444000124931335,True,Earrings,Green,
52840.jpg,catalogue,3,43790,0.9416999816894531,True,Earrings,Red,
52840.jpg,catalogue,4,43786,0.9412999749183655,True,Earrings,Black,
52840.jpg,catalogue,5,35333,0.9358999729156494,True,Earrings,Silver,
52840.jpg,catalogue,6,43870,0.930899977684021,True,Earrings,White,
52840.jpg,catalogue,7,48619,0.9064000248908997,True,Earrings,Silver,
52840.jpg,catalogue,8,43859,0.9061999917030334,True,Earrings,Gold,
57887.jpg,catalogue,1,25116,0.6316999793052673,True,Clutches,Silver,
57887.jpg,catalogue,2,23603,0.6119999885559082,False,Perfume and Body Mist,Brown,
57887.jpg,catalogue,3,44032,0.6111999750137329,False,Perfume and Body Mist,Silver,
57887.jpg,catalogue,4,42631,0.6069999933242798,False,Bracelet,Gold,
57887.jpg,catalogue,5,23586,0.6039999723434448,False,Perfume and Body Mist,Green,
57887.jpg,catalogue,6,25982,0.6032999753952026,False,Perfume and Body Mist,White,
57887.jpg,catalogue,7,45711,0.6026999950408936,False,Perfume and Body Mist,Blue,
57887.jpg,catalogue,8,44037,0.6014999747276306,False,Perfume and Body Mist,Silver,
57613.jpg,catalogue,1,29906,0.697700023651123,True,Watches,Gold,
57613.jpg,catalogue,2,44040,0.6434999704360962,False,Perfume and Body Mist,Gold,
57613.jpg,catalogue,3,30018,0.6363000273704529,True,Watches,White,
57613.jpg,catalogue,4,36508,0.6173999905586243,False,Handbags,Cream,
57613.jpg,catalogue,5,36698,0.6055999994277954,False,Perfume and Body Mist,Grey,
57613.jpg,catalogue,6,33454,0.6017000079154968,False,Handbags,Beige,
57613.jpg,catalogue,7,33444,0.6017000079154968,False,Handbags,Brown,
57613.jpg,catalogue,8,40513,0.6011000275611877,True,Watches,White,
57319.jpg,catalogue,1,50013,0.8783000111579895,True,Bra,Skin,
57319.jpg,catalogue,2,51205,0.8770999908447266,True,Bra,Skin,
57319.jpg,catalogue,3,51020,0.8601999878883362,True,Bra,Peach,
57319.jpg,catalogue,4,51051,0.8586000204086304,True,Bra,Green,
57319.jpg,catalogue,5,39542,0.8510000109672546,True,Bra,Cream,
57319.jpg,catalogue,6,50007,0.8452000021934509,True,Bra,Skin,
57319.jpg,catalogue,7,51784,0.8424000144004822,True,Bra,Beige,
57319.jpg,catalogue,8,50047,0.8379999995231628,True,Bra,Skin,
56403.jpg,catalogue,1,47608,0.9510999917984009,True,Heels,Blue,
56403.jpg,catalogue,2,23832,0.9472000002861023,True,Heels,Black,
56403.jpg,catalogue,3,47607,0.9442999958992004,False,Flats,Purple,
56403.jpg,catalogue,4,32849,0.942799985408783,True,Heels,Brown,
56403.jpg,catalogue,5,47609,0.9401999711990356,True,Heels,Maroon,
56403.jpg,catalogue,6,43949,0.9315999746322632,True,Heels,Black,
56403.jpg,catalogue,7,2610,0.9315999746322632,True,Heels,Black,
56403.jpg,catalogue,8,17001,0.930400013923645,False,Flats,Purple,
58076.jpg,catalogue,1,43859,0.9710999727249146,True,Earrings,Gold,
58076.jpg,catalogue,2,48613,0.9708999991416931,True,Earrings,Silver,
58076.jpg,catalogue,3,43857,0.9674999713897705,True,Earrings,Gold,
58076.jpg,catalogue,4,31714,0.967199981212616,True,Earrings,Silver,
58076.jpg,catalogue,5,42624,0.9656999707221985,True,Earrings,Gold,
58076.jpg,catalogue,6,46046,0.9653000235557556,True,Earrings,Gold,
58076.jpg,catalogue,7,43759,0.9641000032424927,True,Earrings,Gold,
58076.jpg,catalogue,8,46050,0.9624999761581421,True,Earrings,Gold,
58265.jpg,catalogue,1,47368,0.8083000183105469,True,Handbags,Brown,
58265.jpg,catalogue,2,25183,0.8051000237464905,True,Handbags,Brown,
58265.jpg,catalogue,3,2669,0.8021000027656555,True,Handbags,Brown,
58265.jpg,catalogue,4,10728,0.794700026512146,True,Handbags,Brown,
58265.jpg,catalogue,5,10248,0.7890999913215637,True,Handbags,Brown,
58265.jpg,catalogue,6,20599,0.7864999771118164,True,Handbags,Brown,
58265.jpg,catalogue,7,48183,0.779699981212616,True,Handbags,Brown,
58265.jpg,catalogue,8,33455,0.7677000164985657,True,Handbags,Brown,
57755.jpg,catalogue,1,48782,0.6601999998092651,True,Pendant,Silver,
57755.jpg,catalogue,2,48897,0.6287999749183655,True,Pendant,Silver,
57755.jpg,catalogue,3,27329,0.6287000179290771,False,Perfume and Body Mist,Orange,
57755.jpg,catalogue,4,45186,0.6236000061035156,False,Watches,White,
57755.jpg,catalogue,5,23572,0.6164000034332275,False,Perfume and Body Mist,Silver,
57755.jpg,catalogue,6,23528,0.6148999929428101,False,Deodorant,Silver,
57755.jpg,catalogue,7,10135,0.6057000160217285,False,Watches,Silver,
57755.jpg,catalogue,8,49882,0.5942000150680542,False,Watches,Gold,
55817.jpg,catalogue,1,43465,0.8234999775886536,True,Night suits,Pink,
55817.jpg,catalogue,2,36288,0.8050000071525574,True,Night suits,Pink,
55817.jpg,catalogue,3,45086,0.7777000069618225,True,Night suits,Pink,
55817.jpg,catalogue,4,43463,0.7699999809265137,True,Night suits,White,
55817.jpg,catalogue,5,42416,0.7549999952316284,False,Kurtas,Pink,
55817.jpg,catalogue,6,49784,0.7542999982833862,True,Night suits,White,
55817.jpg,catalogue,7,36276,0.7541999816894531,True,Night suits,White,
55817.jpg,catalogue,8,36269,0.7523000240325928,True,Night suits,White,
52779.jpg,catalogue,1,2311,0.736299991607666,True,Tshirts,Pink,
52779.jpg,catalogue,2,13395,0.7156000137329102,False,Shirts,Purple,
52779.jpg,catalogue,3,11047,0.7071999907493591,False,Shirts,Red,
52779.jpg,catalogue,4,11048,0.7071999907493591,False,Shirts,Red,
52779.jpg,catalogue,5,10789,0.7023000121116638,False,Shirts,Red,
52779.jpg,catalogue,6,6006,0.699400007724762,False,Shirts,Red,
52779.jpg,catalogue,7,11384,0.6905999779701233,False,Shirts,Red,
52779.jpg,catalogue,8,5970,0.6886000037193298,False,Shirts,Red,
