file,current_top,current_colour,current_similarity,current_coherence,places_top,places_colour,places_similarity,places_coherence,same_top
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,Stoles,Pink,0.637,0.67,Scarves,Grey,0.676,0.5,False
25637193-carousel-block-earrings-v1.webp,Sandals,White,0.692,0.17,Flats,White,0.733,0.33,False
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,Watches,White,0.653,0.17,Watches,Multi,0.642,0.33,True
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,Socks,White,0.773,1.0,Socks,White,0.769,1.0,True
4130636080047_004_b14.webp,Shirts,Blue,0.584,0.17,Stoles,Cream,0.665,0.67,False
4793e3cb1e694edeb25651fb1ae578e6.jpg,Mobile Pouch,Grey,0.643,0.5,Ties,Brown,0.644,1.0,False
509.png,Socks,Lavender,0.71,0.83,Socks,Lavender,0.699,1.0,True
600_google-pattern-socks.jpg,Socks,White,0.72,1.0,Socks,White,0.739,1.0,True
83123110.webp,Heels,Silver,0.673,0.83,Earrings,Silver,0.621,0.33,False
ae9d94dee29112613a6fae774382a2d4.jpg,Dresses,Blue,0.578,0.67,Briefs,Pink,0.664,0.17,False
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,Backpacks,Blue,0.758,1.0,Backpacks,Blue,0.737,1.0,True
Collier_ruban_or_vermeil_2.webp,Tshirts,Black,0.715,0.17,Tshirts,Black,0.67,0.17,True
d8ff992811e561202194328c9562a843.jpg,Belts,Black,0.721,0.83,Duffel Bag,Black,0.704,0.17,False
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,Sunglasses,Brown,0.596,0.5,Sunglasses,Brown,0.718,1.0,True
images (1).jpg,Perfume and Body Mist,Peach,0.652,0.67,Night suits,Yellow,0.721,0.67,False
images (10).jpg,Trunk,White,0.552,0.33,Track Pants,Grey Melange,0.492,0.17,False
images (11).jpg,Handbags,Green,0.678,0.5,Handbags,Multi,0.656,0.67,True
images (2).jpg,Socks,White,0.626,0.83,Booties,Pink,0.673,0.33,False
images (3).jpg,Casual Shoes,Khaki,0.7,0.33,Heels,White,0.7,0.5,False
images (4).jpg,Briefs,Navy Blue,0.686,1.0,Briefs,Black,0.621,0.83,True
images (5).jpg,Briefs,White,0.641,1.0,Jewellery Set,White,0.66,0.5,False
images (6).jpg,Heels,White,0.586,0.17,Casual Shoes,Pink,0.581,0.33,False
images (7).jpg,Bra,Black,0.662,1.0,Bra,Red,0.607,0.83,True
images (8).jpg,Duffel Bag,Blue,0.683,0.5,Handbags,Blue,0.666,0.5,False
images (9).jpg,Casual Shoes,Blue,0.662,1.0,Casual Shoes,Navy Blue,0.623,0.67,True
images.jpg,Sports Shoes,Blue,0.63,0.17,Scarves,Grey,0.64,0.5,False
istockphoto-1018293976-612x612.jpg,Bra,Beige,0.688,0.83,Sarees,Beige,0.628,0.67,False
mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,Sarees,Beige,0.608,1.0,Sarees,Beige,0.687,1.0,True
nike-5644799_640.jpg,Tshirts,Grey,0.749,1.0,Tshirts,Yellow,0.662,0.67,True
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,Shirts,Green,0.6,0.67,Tshirts,Green,0.614,0.33,False
The_dress_blueblackwhitegold.jpg,Handbags,Blue,0.708,0.5,Messenger Bag,Blue,0.614,0.5,False
