index,file,ground_truth,current_top1,current_top1_correct,current_top6_hit,current_correct_in_top6,current_P@6,current_first_correct_rank,current_top6,places_top1,places_top1_correct,places_top6_hit,places_correct_in_top6,places_P@6,places_first_correct_rank,places_top6,winner
0,1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,Dresses,Stoles,False,False,0,0.0,,Stoles | Scarves | Stoles | Dupatta | Stoles | Stoles,Perfume and Body Mist,False,False,0,0.0,,Perfume and Body Mist | Perfume and Body Mist | Perfume and Body Mist | Perfume and Body Mist | Perfume and Body Mist | Perfume and Body Mist,TIE
1,25637193-carousel-block-earrings-v1.webp,Earrings,Sandals,False,False,0,0.0,,Sandals | Casual Shoes | Flats | Heels | Casual Shoes | Flats,Shirts,False,False,0,0.0,,Shirts | Tshirts | Tshirts | Shirts | Tshirts | Shirts,TIE
3,3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,Socks,Socks,True,True,6,1.0,1.0,Socks | Socks | Socks | Socks | Socks | Socks,Socks,True,True,6,1.0,1.0,Socks | Socks | Socks | Socks | Socks | Socks,TIE
5,4793e3cb1e694edeb25651fb1ae578e6.jpg,Ties,Mobile Pouch,False,False,0,0.0,,Mobile Pouch | Backpacks | Mobile Pouch | Backpacks | Handbags | Mobile Pouch,Necklace and Chains,False,False,0,0.0,,Necklace and Chains | Pendant | Pendant | Pendant | Necklace and Chains | Necklace and Chains,TIE
7,600_google-pattern-socks.jpg,Socks,Socks,True,True,6,1.0,1.0,Socks | Socks | Socks | Socks | Socks | Socks,Tshirts,False,False,0,0.0,,Tshirts | Earrings | Earrings | Earrings | Earrings | Earrings,CURRENT
8,83123110.webp,Earrings,Heels,False,False,0,0.0,,Heels | Heels | Heels | Heels | Flats | Heels,Watches,False,True,1,0.16666666666666666,3.0,Watches | Perfume and Body Mist | Earrings | Jewellery Set | Watches | Jewellery Set,PLACES
10,Afternoon_ensemble_MET_63.212a-b_CP4.jpg,Dresses,Backpacks,False,False,0,0.0,,Backpacks | Backpacks | Backpacks | Backpacks | Backpacks | Backpacks,Clutches,False,False,0,0.0,,Clutches | Perfume and Body Mist | Wallets | Clutches | Perfume and Body Mist | Clutches,TIE
11,Collier_ruban_or_vermeil_2.webp,Necklace and Chains,Tshirts,False,False,0,0.0,,Tshirts | Briefs | Briefs | Briefs | Briefs | Briefs,Watches,False,False,0,0.0,,Watches | Tshirts | Tshirts | Briefs | Briefs | Briefs,TIE
14,images (1).jpg,Dresses,Perfume and Body Mist,False,False,0,0.0,,Perfume and Body Mist | Night suits | Night suits | Perfume and Body Mist | Perfume and Body Mist | Perfume and Body Mist,Wallets,False,False,0,0.0,,Wallets | Wallets | Wallets | Wallets | Wallets | Clutches,TIE
15,images (10).jpg,Sports Shoes,Trunk,False,True,2,0.3333333333333333,4.0,Trunk | Casual Shoes | Shorts | Sports Shoes | Trunk | Sports Shoes,Wallets,False,False,0,0.0,,Wallets | Wallets | Wallets | Wallets | Wallets | Wallets,CURRENT
16,images (11).jpg,Handbags,Handbags,True,True,3,0.5,1.0,Handbags | Messenger Bag | Handbags | Duffel Bag | Duffel Bag | Handbags,Clutches,False,False,0,0.0,,Clutches | Clutches | Clutches | Clutches | Clutches | Wallets,CURRENT
18,images (3).jpg,Caps,Casual Shoes,False,False,0,0.0,,Casual Shoes | Heels | Heels | Heels | Heels | Casual Shoes,Bra,False,False,0,0.0,,Bra | Bra | Bra | Bra | Bra | Bra,TIE
19,images (4).jpg,Necklace and Chains,Briefs,False,False,0,0.0,,Briefs | Briefs | Briefs | Briefs | Briefs | Briefs,Briefs,False,False,0,0.0,,Briefs | Bra | Tshirts | Bra | Handbags | Wallets,TIE
20,images (5).jpg,Necklace and Chains,Briefs,False,False,0,0.0,,Briefs | Briefs | Briefs | Briefs | Briefs | Briefs,Tops,False,False,0,0.0,,Tops | Jeggings | Briefs | Tshirts | Tshirts | Pendant,TIE
21,images (6).jpg,Heels,Heels,True,True,1,0.16666666666666666,1.0,Heels | Casual Shoes | Casual Shoes | Casual Shoes | Bra | Casual Shoes,Casual Shoes,False,True,3,0.5,4.0,Casual Shoes | Casual Shoes | Bra | Heels | Heels | Heels,PLACES
22,images (7).jpg,Ties,Bra,False,False,0,0.0,,Bra | Bra | Bra | Bra | Bra | Bra,Perfume and Body Mist,False,False,0,0.0,,Perfume and Body Mist | Perfume and Body Mist | Deodorant | Tshirts | Perfume and Body Mist | Tshirts,TIE
23,images (8).jpg,Earrings,Duffel Bag,False,False,0,0.0,,Duffel Bag | Handbags | Duffel Bag | Duffel Bag | Handbags | Caps,Tshirts,False,False,0,0.0,,Tshirts | Dresses | Handbags | Jackets | Tshirts | Tshirts,TIE
24,images (9).jpg,Sports Shoes,Casual Shoes,False,False,0,0.0,,Casual Shoes | Casual Shoes | Casual Shoes | Casual Shoes | Casual Shoes | Casual Shoes,Casual Shoes,False,False,0,0.0,,Casual Shoes | Casual Shoes | Heels | Umbrellas | Casual Shoes | Casual Shoes,TIE
28,nike-5644799_640.jpg,Sports Shoes,Tshirts,False,False,0,0.0,,Tshirts | Tshirts | Tshirts | Tshirts | Tshirts | Tshirts,Caps,False,False,0,0.0,,Caps | Shirts | Caps | Tshirts | Perfume and Body Mist | Perfume and Body Mist,TIE
