file,region,match,colour,similarity,coherence,vs whole,accepted
1017_women_0023_a36fe2486db54e,whole,Stoles,Lavender,0.672,0.33,0.0,False
1017_women_0023_a36fe2486db54e,upper,Bra,White,0.719,0.83,0.048,True
1017_women_0023_a36fe2486db54e,lower,Mufflers,Navy Blue,0.602,0.67,-0.07,False
1017_women_0023_a36fe2486db54e,top3,Bra,Black,0.706,1.0,0.034,True
1017_women_0023_a36fe2486db54e,mid3,Socks,White,0.647,1.0,-0.024,False
1017_women_0023_a36fe2486db54e,low3,Leggings,Black,0.648,0.5,-0.023,False
25637193-carousel-block-earrin,whole,Casual Shoes,White,0.686,0.33,0.0,False
25637193-carousel-block-earrin,upper,Sports Shoes,Purple,0.57,0.17,-0.116,False
25637193-carousel-block-earrin,lower,Socks,White,0.67,0.17,-0.016,False
25637193-carousel-block-earrin,top3,Handbags,Brown,0.664,1.0,-0.022,False
25637193-carousel-block-earrin,mid3,Sunglasses,Purple,0.609,0.83,-0.077,False
25637193-carousel-block-earrin,low3,Watches,White,0.719,0.5,0.033,True
2b3f6ff00db7a1efae21d85cfb8995,whole,Night suits,Yellow,0.725,0.17,0.0,False
2b3f6ff00db7a1efae21d85cfb8995,upper,Deodorant,Gold,0.587,0.67,-0.138,False
2b3f6ff00db7a1efae21d85cfb8995,lower,Clothing Set,White,0.586,0.17,-0.139,False
2b3f6ff00db7a1efae21d85cfb8995,top3,Socks,Cream,0.579,0.83,-0.146,False
2b3f6ff00db7a1efae21d85cfb8995,mid3,Tshirts,Yellow,0.696,0.33,-0.029,False
2b3f6ff00db7a1efae21d85cfb8995,low3,Boxers,Multi,0.582,0.17,-0.143,False
3-Stripes_High_Crew_Socks_3_Pa,whole,Socks,White,0.762,1.0,0.0,True
3-Stripes_High_Crew_Socks_3_Pa,upper,Sports Shoes,White,0.713,1.0,-0.049,False
3-Stripes_High_Crew_Socks_3_Pa,lower,Socks,White,0.694,1.0,-0.068,False
3-Stripes_High_Crew_Socks_3_Pa,top3,Socks,White,0.741,0.33,-0.021,False
3-Stripes_High_Crew_Socks_3_Pa,mid3,Watches,Silver,0.722,0.17,-0.04,False
3-Stripes_High_Crew_Socks_3_Pa,low3,Socks,White,0.707,1.0,-0.055,False
4130636080047_004_b14.webp,whole,Sarees,White,0.634,1.0,0.0,True
4130636080047_004_b14.webp,upper,Shirts,Black,0.659,0.33,0.025,False
4130636080047_004_b14.webp,lower,Socks,Beige,0.659,1.0,0.025,True
4130636080047_004_b14.webp,top3,Tshirts,Black,0.595,0.17,-0.039,False
4130636080047_004_b14.webp,mid3,Scarves,Brown,0.646,1.0,0.012,True
4130636080047_004_b14.webp,low3,Leggings,Brown,0.73,0.83,0.096,True
4793e3cb1e694edeb25651fb1ae578,whole,Backpacks,Grey,0.644,1.0,0.0,True
4793e3cb1e694edeb25651fb1ae578,upper,Backpacks,Black,0.706,0.83,0.062,True
4793e3cb1e694edeb25651fb1ae578,lower,Jewellery Set,Multi,0.526,0.33,-0.118,False
4793e3cb1e694edeb25651fb1ae578,top3,Backpacks,Black,0.597,1.0,-0.047,False
4793e3cb1e694edeb25651fb1ae578,mid3,Backpacks,White,0.594,0.83,-0.05,False
4793e3cb1e694edeb25651fb1ae578,low3,Kurtas,Beige,0.569,0.5,-0.075,False
509.png,whole,Socks,Lavender,0.729,0.5,0.0,True
509.png,upper,Socks,Lavender,0.667,0.5,-0.061,False
509.png,lower,Socks,Lavender,0.693,1.0,-0.036,False
509.png,top3,Sunglasses,Purple,0.701,0.83,-0.027,False
509.png,mid3,Scarves,Purple,0.607,0.5,-0.122,False
509.png,low3,Socks,Lavender,0.701,0.17,-0.028,False
600_google-pattern-socks.jpg,whole,Socks,White,0.633,0.5,0.0,True
600_google-pattern-socks.jpg,upper,Fragrance Gift Set,Red,0.626,0.5,-0.007,True
600_google-pattern-socks.jpg,lower,Leggings,Black,0.593,1.0,-0.04,False
600_google-pattern-socks.jpg,top3,Perfume and Body Mist,White,0.741,1.0,0.108,True
600_google-pattern-socks.jpg,mid3,Socks,Red,0.603,0.67,-0.03,False
600_google-pattern-socks.jpg,low3,Watches,White,0.531,0.67,-0.102,False
83123110.webp,whole,Earrings,Purple,0.64,0.5,0.0,True
83123110.webp,upper,Heels,Black,0.608,0.33,-0.032,False
83123110.webp,lower,Earrings,Black,0.696,0.33,0.055,False
83123110.webp,top3,Dupatta,Green,0.63,0.17,-0.01,False
83123110.webp,mid3,Flip Flops,Black,0.675,0.33,0.034,False
83123110.webp,low3,Heels,Black,0.612,0.83,-0.029,False
ae9d94dee29112613a6fae774382a2,whole,Heels,Beige,0.737,0.83,0.0,True
ae9d94dee29112613a6fae774382a2,upper,Sarees,Beige,0.688,1.0,-0.049,False
ae9d94dee29112613a6fae774382a2,lower,Lounge Pants,Multi,0.714,0.17,-0.023,False
ae9d94dee29112613a6fae774382a2,top3,Bra,Beige,0.619,1.0,-0.118,False
ae9d94dee29112613a6fae774382a2,mid3,Skirts,Cream,0.56,0.33,-0.177,False
ae9d94dee29112613a6fae774382a2,low3,Patiala,Beige,0.599,0.33,-0.138,False
