resolution,backgrounds,seed,benchmark,minutes,P@1,P@10,colour@10,both@10,colourfam@10,bothfam@10
60x80,mixed,42,clean,24.0,81.15,76.885,53.790000000000006,41.89,56.68,44.18
60x80,mixed,42,hard,24.0,55.85,55.690000000000005,46.57,28.12,49.84,30.014999999999997
60x80,mixed,42,photo,24.0,55.2,54.125,44.705,27.11,47.64,28.9
60x80,mixed,42,wild,24.0,52.55,52.51,44.875,25.8,47.795,27.334999999999997
60x80,mixed,42,wildphoto,24.0,50.64999999999999,49.395,42.18,24.025,44.98,25.650000000000002
120x160,mixed,42,clean,102.1,79.7,76.19,55.225,41.975,58.184999999999995,44.295
120x160,mixed,42,hard,102.1,56.15,56.315000000000005,48.515,28.845,51.910000000000004,30.855
120x160,mixed,42,photo,102.1,57.550000000000004,55.785,48.68,29.404999999999998,51.925,31.3
120x160,mixed,42,wild,102.1,53.2,53.07000000000001,47.27,27.33,50.495000000000005,29.095
120x160,mixed,42,wildphoto,102.1,52.800000000000004,51.61500000000001,45.355000000000004,26.195,48.22,27.67
120x160,procedural,42,clean,103.8,80.45,76.67500000000001,53.754999999999995,41.805,56.775,44.135000000000005
120x160,procedural,42,hard,103.8,60.199999999999996,59.49500000000001,47.910000000000004,30.125,51.005,31.990000000000002
120x160,procedural,42,photo,103.8,42.5,42.86,36.275,18.675,38.675,20.03
120x160,procedural,42,wild,103.8,58.699999999999996,56.78500000000001,46.239999999999995,27.765,49.230000000000004,29.5
120x160,procedural,42,wildphoto,103.8,37.5,37.475,33.76,16.189999999999998,35.91,17.26
