id,predicted type,baseline top-1,augmented top-1,agree on top-1,baseline coherence,augmented coherence
59267,Watches,Watches,Watches,True,1.0,1.0
58724,Tshirts,Tshirts,Tshirts,True,1.0,1.0
53680,Handbags,Handbags,Handbags,True,1.0,1.0
52862,Earrings,Earrings,Earrings,True,1.0,1.0
53777,Sports Shoes,Sports Shoes,Sports Shoes,True,1.0,1.0
57645,Kajal and Eyeliner,Ties,Ties,True,1.0,0.83
57200,Dresses,Dresses,Dresses,True,0.83,0.67
59883,Tops,Tops,Tops,True,1.0,1.0
57484,Flip Flops,Flip Flops,Flip Flops,True,1.0,1.0
58586,Necklace and Chains,Necklace and Chains,Necklace and Chains,True,0.83,0.83
59091,Bra,Bra,Bra,True,1.0,1.0
53815,Kurtas,Dresses,Kurtas,False,0.17,0.83
58460,Tshirts,Tshirts,Tshirts,True,1.0,0.83
57548,Bangle,Lip Gloss,Lip Gloss,True,0.83,0.67
54911,Tshirts,Tops,Tshirts,False,0.5,0.33
55955,Deodorant,Perfume and Body Mist,Perfume and Body Mist,True,0.5,0.33
