query,rank,id,articleType,baseColour,similarity
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,1,51017,Bra,Navy Blue,0.6456
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,2,17381,Mufflers,Navy Blue,0.6081
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,3,20063,Mufflers,Black,0.604
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,4,35100,Stoles,Lavender,0.6022
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,5,47664,Scarves,Grey,0.6011
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,6,51044,Baby Dolls,Navy Blue,0.6001
25637193-carousel-block-earrings-v1.webp,1,48022,Watches,White,0.6757
25637193-carousel-block-earrings-v1.webp,2,8132,Watches,White,0.6722
25637193-carousel-block-earrings-v1.webp,3,19253,Watches,Steel,0.6667
25637193-carousel-block-earrings-v1.webp,4,19263,Watches,White,0.655
25637193-carousel-block-earrings-v1.webp,5,31864,Watches,Silver,0.6312
25637193-carousel-block-earrings-v1.webp,6,10319,Watches,Steel,0.6154
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,1,40538,Watches,White,0.6461
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,2,48761,Jewellery Set,White,0.637
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,3,43705,Jewellery Set,White,0.6355
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,4,42611,Jewellery Set,Gold,0.6354
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,5,42614,Jewellery Set,Gold,0.6282
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,6,42612,Jewellery Set,Gold,0.6264
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,1,9363,Socks,White,0.7873
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,2,9352,Socks,White,0.7756
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,3,32472,Socks,White,0.7747
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,4,18950,Socks,White,0.7678
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,5,43557,Socks,White,0.7603
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,6,30545,Socks,White,0.7601
4130636080047_004_b14.webp,1,40537,Watches,White,0.6538
4130636080047_004_b14.webp,2,50406,Watches,Black,0.6501
4130636080047_004_b14.webp,3,6073,Tops,Black,0.6132
4130636080047_004_b14.webp,4,27878,Shirts,Blue,0.6076
4130636080047_004_b14.webp,5,29277,Shirts,Blue,0.604
4130636080047_004_b14.webp,6,4943,Shirts,White,0.6019
4793e3cb1e694edeb25651fb1ae578e6.jpg,1,39506,Backpacks,Black,0.6993
4793e3cb1e694edeb25651fb1ae578e6.jpg,2,1933,Backpacks,Grey,0.6705
4793e3cb1e694edeb25651fb1ae578e6.jpg,3,45019,Watches,Olive,0.6656
4793e3cb1e694edeb25651fb1ae578e6.jpg,4,6545,Backpacks,Green,0.6538
4793e3cb1e694edeb25651fb1ae578e6.jpg,5,30182,Backpacks,Olive,0.6443
4793e3cb1e694edeb25651fb1ae578e6.jpg,6,17149,Backpacks,Grey,0.6292
509.png,1,32172,Socks,Lavender,0.7111
509.png,2,12739,Socks,Pink,0.6399
509.png,3,32170,Socks,Pink,0.6368
509.png,4,32157,Socks,Lavender,0.6362
509.png,5,31244,Tshirts,Green,0.6264
509.png,6,19503,Socks,Purple,0.6179
600_google-pattern-socks.jpg,1,2622,Tshirts,Blue,0.6005
600_google-pattern-socks.jpg,2,46716,Perfume and Body Mist,White,0.5562
600_google-pattern-socks.jpg,3,43779,Earrings,White,0.55
600_google-pattern-socks.jpg,4,43831,Earrings,White,0.5482
600_google-pattern-socks.jpg,5,44176,Fragrance Gift Set,White,0.5371
600_google-pattern-socks.jpg,6,10569,Tops,White,0.5325
83123110.webp,1,43808,Earrings,Purple,0.6351
83123110.webp,2,40537,Watches,White,0.591
83123110.webp,3,18998,Scarves,Black,0.5846
83123110.webp,4,43795,Earrings,Gold,0.5749
83123110.webp,5,11381,Tops,Multi,0.566
83123110.webp,6,43768,Earrings,Black,0.5645
ae9d94dee29112613a6fae774382a2d4.jpg,1,4992,Dresses,Yellow,0.6145
ae9d94dee29112613a6fae774382a2d4.jpg,2,28991,Kurta Sets,Off White,0.5951
ae9d94dee29112613a6fae774382a2d4.jpg,3,8487,Dresses,Cream,0.5847
ae9d94dee29112613a6fae774382a2d4.jpg,4,25595,Kurta Sets,Cream,0.5811
ae9d94dee29112613a6fae774382a2d4.jpg,5,28976,Kurta Sets,Yellow,0.5744
ae9d94dee29112613a6fae774382a2d4.jpg,6,49930,Sarees,Yellow,0.5631
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,1,43567,Backpacks,Blue,0.7263
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,2,25866,Backpacks,Blue,0.7139
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,3,25865,Backpacks,Blue,0.7117
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,4,30723,Kurtas,Blue,0.6995
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,5,30726,Lehenga Choli,Blue,0.6976
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,6,37690,Backpacks,Blue,0.6905
Collier_ruban_or_vermeil_2.webp,1,13670,Footballs,Gold,0.6427
Collier_ruban_or_vermeil_2.webp,2,28886,Briefs,Skin,0.6061
Collier_ruban_or_vermeil_2.webp,3,51041,Briefs,White,0.5967
Collier_ruban_or_vermeil_2.webp,4,28891,Briefs,Skin,0.5869
Collier_ruban_or_vermeil_2.webp,5,28887,Briefs,Skin,0.581
Collier_ruban_or_vermeil_2.webp,6,31252,Tshirts,Green,0.5781
d8ff992811e561202194328c9562a843.jpg,1,2233,Sandals,Black,0.6277
d8ff992811e561202194328c9562a843.jpg,2,47090,Sandals,Green,0.6144
d8ff992811e561202194328c9562a843.jpg,3,2488,Sports Sandals,Black,0.5895
d8ff992811e561202194328c9562a843.jpg,4,5363,Sports Shoes,White,0.5694
d8ff992811e561202194328c9562a843.jpg,5,18161,Sandals,Green,0.567
d8ff992811e561202194328c9562a843.jpg,6,2487,Sandals,Black,0.5579
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,1,51153,Socks,Beige,0.6712
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,2,51167,Socks,Beige,0.6684
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,3,51336,Socks,Beige,0.647
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,4,51340,Socks,Beige,0.6371
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,5,37655,Socks,Cream,0.6276
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,6,51163,Socks,Beige,0.6212
images (1).jpg,1,43779,Earrings,White,0.6477
images (1).jpg,2,43831,Earrings,White,0.638
images (1).jpg,3,43816,Earrings,Olive,0.6311
images (1).jpg,4,43776,Earrings,White,0.5952
images (1).jpg,5,43817,Earrings,Red,0.5943
images (1).jpg,6,43844,Earrings,Gold,0.5931
images (10).jpg,1,2541,Casual Shoes,White,0.7021
images (10).jpg,2,2500,Casual Shoes,Navy Blue,0.6542
images (10).jpg,3,3509,Sandals,Blue,0.6315
images (10).jpg,4,2510,Casual Shoes,Black,0.6179
images (10).jpg,5,47122,Casual Shoes,Red,0.6142
images (10).jpg,6,29226,Flip Flops,Black,0.6062
images (11).jpg,1,39521,Messenger Bag,Green,0.6798
images (11).jpg,2,38316,Handbags,Green,0.6797
images (11).jpg,3,47090,Sandals,Green,0.6751
images (11).jpg,4,29071,Backpacks,Green,0.667
images (11).jpg,5,10216,Handbags,Green,0.664
images (11).jpg,6,10223,Handbags,Green,0.6553
images (2).jpg,1,14778,Shirts,Blue,0.6446
images (2).jpg,2,12681,Caps,Blue,0.6077
images (2).jpg,3,36087,Caps,Pink,0.6019
images (2).jpg,4,14763,Shirts,White,0.5958
images (2).jpg,5,14735,Shirts,White,0.5946
images (2).jpg,6,18212,Caps,White,0.5906
images (3).jpg,1,27452,Bra,White,0.5882
images (3).jpg,2,51811,Nightdress,White,0.5842
images (3).jpg,3,41140,Dresses,White,0.5823
images (3).jpg,4,31168,Dresses,White,0.5823
images (3).jpg,5,34167,Dresses,White,0.5823
images (3).jpg,6,50035,Bra,White,0.5819
images (4).jpg,1,14773,Shirts,Black,0.6904
images (4).jpg,2,1673,Tshirts,Black,0.6845
images (4).jpg,3,14013,Tshirts,Black,0.6708
images (4).jpg,4,18520,Jackets,Black,0.6648
images (4).jpg,5,10034,Tshirts,Black,0.6548
images (4).jpg,6,9980,Jackets,Black,0.6488
images (5).jpg,1,27953,Briefs,White,0.6413
images (5).jpg,2,31407,Briefs,White,0.6114
images (5).jpg,3,15799,Briefs,White,0.6094
images (5).jpg,4,34613,Briefs,White,0.6049
images (5).jpg,5,28063,Briefs,White,0.6035
images (5).jpg,6,43015,Briefs,White,0.5995
images (6).jpg,1,13640,Flats,Purple,0.7016
images (6).jpg,2,9056,Sports Shoes,Purple,0.6974
images (6).jpg,3,12422,Casual Shoes,Pink,0.6494
images (6).jpg,4,1951,Sports Shoes,Purple,0.6456
images (6).jpg,5,36331,Casual Shoes,Pink,0.6388
images (6).jpg,6,35554,Sandals,Pink,0.6283
images (7).jpg,1,48772,Pendant,Silver,0.5014
images (7).jpg,2,23610,Deodorant,White,0.4818
images (7).jpg,3,51455,Shrug,Pink,0.4653
images (7).jpg,4,5073,Watches,Pink,0.4638
images (7).jpg,5,18529,Watches,Red,0.4627
images (7).jpg,6,48023,Watches,Orange,0.4624
images (8).jpg,1,24646,Cufflinks,Blue,0.6175
images (8).jpg,2,24645,Cufflinks,Navy Blue,0.5844
images (8).jpg,3,43772,Earrings,Blue,0.5462
images (8).jpg,4,1620,Shorts,Blue,0.538
images (8).jpg,5,39059,Cufflinks,Blue,0.5262
images (8).jpg,6,46044,Earrings,Gold,0.5095
images (9).jpg,1,29260,Casual Shoes,Blue,0.683
images (9).jpg,2,7036,Casual Shoes,Blue,0.6758
images (9).jpg,3,31979,Sports Shoes,Grey,0.6635
images (9).jpg,4,6805,Casual Shoes,Blue,0.661
images (9).jpg,5,29266,Sports Shoes,Black,0.6595
images (9).jpg,6,29265,Sports Shoes,Blue,0.6592
images.jpg,1,12463,Stoles,Blue,0.6935
images.jpg,2,36750,Dresses,Navy Blue,0.6418
images.jpg,3,41141,Dresses,Blue,0.6282
images.jpg,4,7901,Tshirts,Cream,0.618
images.jpg,5,35102,Stoles,Navy Blue,0.6146
images.jpg,6,39157,Kurtas,Black,0.6131
istockphoto-1018293976-612x612.jpg,1,6488,Tshirts,White,0.6647
istockphoto-1018293976-612x612.jpg,2,43927,Heels,Gold,0.6527
istockphoto-1018293976-612x612.jpg,3,39599,Heels,White,0.6503
istockphoto-1018293976-612x612.jpg,4,5164,Tshirts,Grey,0.6491
istockphoto-1018293976-612x612.jpg,5,37967,Heels,White,0.6458
istockphoto-1018293976-612x612.jpg,6,41673,Heels,Gold,0.6338
mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,1,15337,Tracksuits,Olive,0.5706
mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,2,49165,Kajal and Eyeliner,Olive,0.559
mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,3,18796,Messenger Bag,Olive,0.5441
mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,4,49144,Lip Gloss,Brown,0.538
mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,5,39235,Dresses,Brown,0.5361
mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,6,39240,Nightdress,Brown,0.5237
nike-5644799_640.jpg,1,3745,Tshirts,Yellow,0.7933
nike-5644799_640.jpg,2,40050,Jackets,Yellow,0.7919
nike-5644799_640.jpg,3,3061,Tshirts,Yellow,0.784
nike-5644799_640.jpg,4,40138,Tshirts,Yellow,0.7828
nike-5644799_640.jpg,5,3319,Tshirts,Yellow,0.7758
nike-5644799_640.jpg,6,9953,Tshirts,Yellow,0.7699
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,1,29788,Tshirts,White,0.7392
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,2,14007,Tshirts,White,0.7278
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,3,35451,Tops,White,0.7061
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,4,35450,Tops,White,0.7061
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,5,34112,Tops,White,0.7061
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,6,11545,Kurtas,Green,0.7022
The_dress_blueblackwhitegold.jpg,1,33427,Handbags,Blue,0.7007
The_dress_blueblackwhitegold.jpg,2,19435,Caps,Blue,0.6474
The_dress_blueblackwhitegold.jpg,3,25860,Laptop Bag,Grey,0.6382
The_dress_blueblackwhitegold.jpg,4,30147,Caps,Grey,0.6258
The_dress_blueblackwhitegold.jpg,5,38748,Backpacks,Black,0.6207
The_dress_blueblackwhitegold.jpg,6,19973,Caps,Grey,0.6189
