query,rank,id,articleType,subCategory,masterCategory,baseColour,gender,usage,productDisplayName,image_path,similarity,mode
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,1,30976,Perfume and Body Mist,Fragrance,Personal Care,Red,Men,Casual,Cartier Men Declaration Perfume,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\30976.jpg,0.5588,letterbox
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,2,50401,Watches,Watches,Accessories,Gold,Women,Casual,Miss Sixty Gold Dial Watch,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\50401.jpg,0.557,letterbox
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,3,31005,Perfume and Body Mist,Fragrance,Personal Care,Pink,Women,Casual,Versace Women Bright Crystal Perfume,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\31005.jpg,0.5467,letterbox
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,4,13299,Shorts,Bottomwear,Apparel,White,Men,Casual,Gini and Jony Men Solid White Shorts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\13299.jpg,0.5239,letterbox
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,5,44140,Perfume and Body Mist,Fragrance,Personal Care,Copper,Men,Casual,Dunhill Men Perfume,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\44140.jpg,0.5221,letterbox
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,6,9357,Socks,Socks,Accessories,White,Men,Casual,Puma Men Sport Pack of 3 Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\9357.jpg,0.5165,letterbox
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,7,14748,Shirts,Topwear,Apparel,White,Men,Formal,Arrow Men Solid White Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\14748.jpg,0.5065,letterbox
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,8,18441,Fragrance Gift Set,Fragrance,Personal Care,White,Women,Casual,Ed Hardy Love & Luck Women Mermaid Fragrance Gift Set,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\18441.jpg,0.5039,letterbox
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,1,43838,Earrings,Jewellery,Accessories,Gold,Women,Ethnic,Royal Diadem Earrings,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\43838.jpg,0.6038,letterbox
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,2,43841,Earrings,Jewellery,Accessories,Gold,Women,Ethnic,Royal Diadem Red Earrings,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\43841.jpg,0.6037,letterbox
