query,rank,id,articleType,subCategory,masterCategory,baseColour,gender,usage,productDisplayName,image_path,similarity,mode
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,1,51017,Bra,Innerwear,Apparel,Navy Blue,Women,Casual,Enamor Eclipse Coloured Reveal Bra HB60,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\51017.jpg,0.673,nobg
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,2,21613,Bra,Innerwear,Apparel,White,Women,Casual,Enamor Women Smooth White Bra,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\21613.jpg,0.6155,nobg
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,3,35100,Stoles,Stoles,Accessories,Lavender,Women,Casual,Allen Solly Women Lavender Stole,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\35100.jpg,0.6109,nobg
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,4,13720,Mufflers,Mufflers,Accessories,Maroon,Men,Casual,Proline Maroon Striped Muffler,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\13720.jpg,0.6106,nobg
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,5,13810,Mufflers,Mufflers,Accessories,White,Men,Casual,Proline White Striped Muffler,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\13810.jpg,0.6083,nobg
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,6,12464,Stoles,Stoles,Accessories,Cream,Men,Casual,Basics Men Cream-Coloured Checked Stoles,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\12464.jpg,0.6012,nobg
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,7,17383,Mufflers,Mufflers,Accessories,Cream,Men,Casual,Reid & Taylor Men Check Cream Muffler,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\17383.jpg,0.5965,nobg
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,8,51827,Bra,Innerwear,Apparel,Grey,Women,Casual,Bwitch Grey Bra,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\51827.jpg,0.5878,nobg
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,1,43849,Earrings,Jewellery,Accessories,Green,Women,Ethnic,Royal Diadem White & Green Earrings,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\43849.jpg,0.6688,nobg
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,2,42620,Earrings,Jewellery,Accessories,Gold,Women,Casual,Estelle Gold Plated Drop Earrings,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\42620.jpg,0.6577,nobg
