file,top_match,top_colour,top_similarity,agreement,distinct_types,accepted
3-Stripes_High_Crew_Socks_3_Pairs_,Socks,White,0.769,8/8,1,True
The_dress_blueblackwhitegold.jpg,Handbags,Grey,0.742,5/8,3,True
Collier_ruban_or_vermeil_2.webp,Briefs,Skin,0.739,4/8,2,True
images (6).jpg,Flats,Pink,0.739,3/8,4,False
Afternoon_ensemble_MET_63.212a-b_C,Lehenga Choli,Blue,0.725,3/8,4,False
images (4).jpg,Handbags,Black,0.71,4/8,3,True
509.png,Socks,Lavender,0.699,7/8,2,True
images.jpg,Casual Shoes,Grey,0.698,4/8,3,True
1017_women_0023_a36fe2486db54e83b6,Bra,Navy Blue,0.673,3/8,3,False
2b3f6ff00db7a1efae21d85cfb8995eaff,Earrings,Green,0.669,7/8,2,True
giay-local-brand-viet-nam_b140845b,Socks,Brown,0.656,6/8,2,True
images (1).jpg,Tshirts,White,0.653,7/8,2,True
images (2).jpg,Tshirts,White,0.62,5/8,4,True
images (3).jpg,Bra,White,0.618,4/8,4,True
600_google-pattern-socks.jpg,Earrings,White,0.609,3/8,3,False
d8ff992811e561202194328c9562a843.j,Sports Sandals,Black,0.598,4/8,4,False
4130636080047_004_b14.webp,Watches,Black,0.593,3/8,5,False
mygoods_34_475601_3x4-ezgif.com-av,Tracksuits,Olive,0.586,5/8,4,False
images (5).jpg,Briefs,White,0.582,3/8,4,False
