id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,Unnamed: 10,Unnamed: 11,image_path
1163,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Sports,Nike Sahara Team India Fanwear Round Neck Jersey,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1163.jpg
1164,Men,Apparel,Topwear,Tshirts,Blue,Winter,2015,Sports,Nike Men Blue T20 Indian Cricket Jersey,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1164.jpg
1165,Men,Apparel,Topwear,Tshirts,Blue,Summer,2013,Sports,Nike Mean Team India Cricket Jersey,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1165.jpg
1525,Unisex,Accessories,Bags,Backpacks,Navy Blue,Fall,2010,Casual,Puma Deck Navy Blue Backpack,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1525.jpg
1526,Unisex,Accessories,Bags,Backpacks,Black,Fall,2010,Sports,Puma Big Cat Backpack Black,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1526.jpg
1528,Men,Apparel,Topwear,Jackets,Black,Fall,2010,Sports,Puma Men Ferrari Black Fleece Jacket,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1528.jpg
1529,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Casual,Ferrari Tee,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1529.jpg
1530,Men,Apparel,Topwear,Jackets,Red,Fall,2010,Sports,Puma Men Ferrari Track Jacket,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1530.jpg
1531,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Men Grey Solid Round Neck T-Shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1531.jpg
1532,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Men Grey Leaping Cat T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1532.jpg
1533,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Casual,Puma Men Cat Red T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1533.jpg
1534,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Casual,Puma Men Black Leaping Cat T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1534.jpg
1535,Unisex,Accessories,Headwear,Caps,Black,Fall,2010,Sports,Puma Unisex Logo Cap,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1535.jpg
1536,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Puma Men Black Net Jersey,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1536.jpg
1537,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Puma Men Red Net Jersey,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1537.jpg
1538,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,Puma Men Ferrari Track Black T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1538.jpg
1539,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Men Ferrari Grey T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1539.jpg
1540,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,Puma Men Ferrari Vintage Black Polo T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1540.jpg
1541,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Ballistic Spike White Green Shoe,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1541.jpg
1542,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Ballistic Rubber Shoe,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1542.jpg
1543,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010,Casual,Puma Men Basket-Biz Sneaker,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1543.jpg
1544,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010,Casual,Puma Men's Basket Bump Sneaker,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1544.jpg
